match	id_A	token_A	id_B	token_B
0	1-0	ci	1-0	ci
0	1-1	sono	1-1	sono
0	1-2	delle	1-2	delle
0	1-3	università	1-3	università
0	2-0	sì	2-0	sì
0	2-1	no	2-1	no
1	_	_	2-2	è
1	_	_	2-3	vero
1	_	_	2-4	in
1	_	_	2-5	città
2	2-2	le	2-6	e
2	2-3	università	2-7	un
2	2-4	è	2-8	po'
2	2-5	proprio	2-9	più
0	2-6	in	2-10	in
0	2-7	città	2-11	città
1	_	_	2-12	c'
2	2-8	x	2-13	è
2	3-0	o	2-14	tutto
0	3-1	più	3-0	più
0	3-2	nella	3-1	nella
2	3-3	capita-	3-2	capital-
2	4-0	okay	4-0	ok
0	4-1	{P}	4-1	{P}
1	4-2	okay	_	_
2	4-3	okay	4-2	ok
2	4-4	okay	4-3	ok
0	5-0	e	4-4	e
1	5-1	s-	_	_
2	5-2	{P}	5-0	di
2	5-3	in	5-1	em
0	5-4	capitale	5-2	capitale
0	5-5	in	6-0	in
0	5-6	capitale	6-1	capitale
2	5-7	okay	6-2	ok
2	5-8	eh	6-3	e
0	5-9	se	6-4	se
0	5-10	devi	6-5	devi
1	6-0	di	_	_
1	6-1	in	_	_
2	6-2	capitale	6-6	son
2	7-0	però	6-7	che
2	8-0	posso	7-0	suono
2	8-1	anche	7-1	ni..
0	9-0	vabbè	8-0	vabbè
0	9-1	adesso	8-1	adesso
0	9-2	faccio	8-2	faccio
0	9-3	finire	8-3	finire
1	9-4	qui	_	_
1	10-0	sì	_	_
1	11-0	x	_	_
1	11-1	così	_	_
1	11-2	che	_	_
1	11-3	ci	_	_
1	11-4	vengono	_	_
2	12-0	sta	9-0	si
2	12-1	andando	10-0	andava
0	12-2	abbastanza	10-1	abbastanza
0	12-3	bene	10-2	bene
0	12-4	no	10-3	no
0	13-0	sì	11-0	sì
0	14-0	proviamo	12-0	proviamo
1	_	_	12-1	a
0	14-1	vedere	12-2	vedere
0	14-2	se	12-3	se
1	_	_	12-4	em
0	15-0	allora	13-0	allora
0	15-1	dimmi	13-1	dimmi
0	15-2	la	13-2	la
0	15-3	capitale	13-3	capitale
0	15-4	è	13-4	è
0	15-5	molto	13-5	molto
0	15-6	grande	13-6	grande
0	16-0	la	14-0	la
0	16-1	capitale	14-1	capitale
1	16-2	è	_	_
0	16-3	molto	14-2	molto
0	16-4	grande	14-3	grande
1	16-5	{P}	_	_
0	16-6	e	14-4	e
1	_	_	14-5	trecento
2	16-7	trecentosei	14-6	sei
0	16-8	virgola	14-7	virgola
0	16-9	quattro	14-8	quattro
2	16-10	eh	14-9	e
2	16-11	kilometri	14-10	chilometri
0	16-12	quadrati	14-11	quadrati
2	17-0	okay	15-0	ok
0	17-1	e	15-1	e
0	17-2	popolazione	15-2	popolazione
0	18-0	in	16-0	in
2	19-0	eh	17-0	e
0	19-1	quattordici	17-1	quattordici
0	19-2	milioni	17-2	milioni
1	_	_	17-3	{P}
0	19-3	quattordici	17-4	quattordici
0	19-4	punto	17-5	punto
0	19-5	quattro	17-6	quattro
0	19-6	milioni	17-7	milioni
0	20-0	eh	18-0	eh
1	_	_	19-0	ceh
2	21-0	cioè	19-1	a
0	21-1	bologna	19-2	bologna
