tu_id	speaker	start	end	duration	text
     1	SP1	0.065	1.139	1.074	per quattro
     2	SP2	3.020	5.467	2.447	non un chilo settecento grammi di pasta
     3	SP1	5.673	7.849	2.176	e [vabbè ma] perché quello il pane se ne mangia assai io so
     4	SP2	5.717	6.105	0.388	[con due]
     5	SP2	8.276	11.052	2.776	il padre van- mangia: ne mangia una scodella d'insalata
     6	SP1	11.120	11.473	0.353	ah
     7	SP2	13.962	17.829	3.867	con due vasetti del pesto quello là barilla:
     8	SP1	18.084	20.084	2.000	[vabbè] grazie so settecento grammi di pasta
     9	SP2	18.084	18.332	0.248	[un po']
    10	SP2	20.719	28.106	7.387	ricotta e noci non contenta il fior di latte dentro non contenta il parmigiano sopra
    11	SP1	28.931	30.165	1.234	che non stona:
    12	SP2	30.757	34.046	3.289	non contenta mi hai detto ah se c'avevo le noci mettevo pure le noci sopra
    13	SP1	34.328	34.857	0.529	[no:]
    14	SP3	34.328	34.757	0.429	[no?]
    15	SP1	35.614	36.316	0.702	xxx
    16	SP2	36.763	39.771	3.008	guà mi piacevano tanto quelle zucchine le avete mangiate tutte
    17	SP1	40.191	40.788	0.597	sorry
    18	SP1	40.992	42.685	1.693	te le rifaccio prima che te ne vai
    19	SP3	42.834	43.172	0.338	eh
    20	SP2	43.575	44.400	0.825	ma che te ne vai?
    21	SP3	44.540	44.760	0.220	[mh]
    22	SP2	44.762	45.577	0.815	dov'è che va via
    23	SP2	45.957	46.951	0.994	sai che possiamo fare?
    24	SP3	47.336	47.673	0.337	no
    25	SP3	47.951	54.782	6.831	con questa zucchinona gigante che tengo la vogliamo arrostire? adesso tipo ceh non ce la mangiamo adesso però lo facciamo per domani magari
    26	SP1	54.725	55.331	0.606	va bene
    27	SP2	55.396	58.195	2.799	ma perché la zucchinona non l'avevi già fatta?
    28	SP3	58.271	59.360	1.089	amore erano due zucchinone
    29	SP2	59.406	59.973	0.567	°zucchinone°
    30	SP3	59.973	62.170	2.197	una l'ho fatta l'altra:
    31	SP1	62.209	64.699	2.490	eh ma l'[altra metà] perché metà [si de]ve tagliare
    32	SP3	62.704	63.260	0.556	[e nel frigo]
    33	SP3	63.740	63.990	0.250	[eh]
    34	SP3	64.710	71.941	7.231	perchè nel frigo [stava troppo] [forte e] il ghiaccio l'ha tipo un po' disturbata diciamo così non s[o co]me dire
    35	SP1	65.650	66.193	0.543	[il ghiaccio]
    36	SP1	66.299	67.063	0.764	[(laser)]
    37	SP2	71.172	71.387	0.215	[mh]
    38	SP3	72.169	74.021	1.852	e s'è fatta tipo molla s[trana]
    39	SP2	73.400	74.648	1.248	[s'è congela]ta
    40	SP3	75.377	77.304	1.927	eh ma s'è fatta molla strana [xxx]
    41	SP2	76.617	78.269	1.652	[si è bruciata] si è:
    42	SP3	78.035	80.000	1.965	bra- >tipo può essere< una bruciatura da gelo
    43	SP2	80.587	81.243	0.656	mh
    44	SP2	84.416	86.781	2.365	mi è piaciuto come le ha fatte miriana
    45	SP1	87.163	87.668	0.505	olè
    46	SP2	88.071	90.193	2.122	c'ha messo dentro l'origano tuttavia
    47	SP3	90.711	95.346	4.635	davvero d- s- dovresti essere contenta il primo complimento da qua- che hai cucinato qualcosa tu
    48	SP2	93.214	95.348	2.134	((applausi))
    49	SP1	95.503	99.103	3.600	grazie gra- me lo ricorderò a vita sappiate che non si replicherà mai più
    50	SP3	99.097	99.734	0.637	((ride))
    51	SP1	100.584	112.913	12.329	non perchè poi a me ceh a- adoro i come mangiano in ospedale praticamente fabiana me lo dice sempre adoro senza sale cioè meno sale c'è più mi piace senza olio senza niente ceh meno condimento è
    52	SP3	112.936	114.609	1.673	questo sale l'ho preso per[chè me] lo hai chiesto tu eh però
    53	SP1	113.500	113.754	0.254	[eh]
    54	SP1	114.823	115.942	1.119	no no sì sì questo sì
    55	SP3	116.837	117.312	0.475	più o meno
    56	SP1	118.302	119.633	1.331	no ci sono cose e cose
    57	SP1	120.233	123.408	3.175	però >tipo< la pasta io la sto mangiando quasi completamente senza sale
    58	SP3	123.519	123.733	0.214	mh
    59	SP3	124.765	126.071	1.306	non fa schifo la pasta senza sale?
