tu_id	speaker	start	end	duration	text
     1	SP1	0.030	7.720	7.690	e:: come tabacco no, [ e: di] là lavorando più di tre (.) tre mila per[sone] non sono esattamente o tremila o trentamila ma [tremila]
     2	SP2	1.470	1.850	0.380	[okay]
     3	SP2	4.520	5.100	0.580	[mhmh]
     4	SP2	7.040	7.720	0.680	[mhmh]
     5	SP1	7.790	8.570	0.780	che facciamo
     6	SP1	8.900	11.190	2.290	ma non si trovano adesso neanche online li appartamenti
     7	SP2	11.200	13.964	2.764	eh esatto te lo (.)  era: questo che: volevo chiederti
     8	SP2	14.121	14.478	0.357	perché
     9	SP1	14.914	15.314	0.400	ah sì
    10	SP2	15.321	16.749	1.428	se tutti vogliono vivere lì
    11	SP1	17.578	19.907	2.329	sì (.) non si trovano appartamenti, a dir la veri[tà]
    12	SP2	19.814	20.185	0.371	[mh]mh
    13	SP1	20.221	23.921	3.700	piuttosto che:: ci sono un sacco di: gente
    14	SP1	24.499	27.142	2.643	come non vuole dare appartamenti per la famiglia
    15	SP1	27.992	31.964	3.972	o che danno un po' di persone (.) [che] dopo fanno la istoria
    16	SP2	29.757	30.142	0.385	[°mhmh°]
    17	SP1	32.192	34.807	2.615	allora, (.) per pochi che: tutti quanti:
    18	SP2	35.735	36.964	1.229	sìsìsì certo ho [capi]to
    19	SP1	36.664	36.892	0.228	[°mh°]
    20	SP2	37.214	38.364	1.150	mh e: ma se
    21	SP2	38.642	41.078	2.436	se potessi un giorno vorresti vivere in città? [o,]
    22	SP1	40.999	46.842	5.843	[as]solutamente io  e sto provando tutti i giorni a [tro]vare cioè un appartamento per i:: trasferire in bolo[gna] cioè
    23	SP2	43.014	43.192	0.178	[okay]
    24	SP2	46.435	46.749	0.314	[mhmh]
    25	SP1	47.035	47.978	0.943	io lavoro qui
    26	SP1	48.314	49.992	1.678	è unutile che io vado a:
    27	SP1	50.628	53.249	2.621	esempio faccio così una una una, ragionamento
    28	SP1	53.421	55.792	2.371	se lo trovo (.) una casa in bologna
    29	SP1	56.299	57.499	1.200	che: mille euro,
    30	SP1	57.607	60.549	2.942	faccia[mo] perché:: una casa dev'essere mille euro
    31	SP2	57.849	58.157	0.308	[mhmh]
    32	SP1	60.699	64.778	4.079	e: non è che deve essere soltanto una camera un un monolocale che mille euro no
    33	SP1	65.242	65.642	0.400	è troppo
    34	SP2	65.664	66.449	0.785	è troppo sì
    35	SP1	66.549	71.664	5.115	dev'essere almeno, tre camere di le[tto per per] mille euro milledue millecento fa[cciamo] così
    36	SP2	68.035	68.857	0.822	[sìsì sì]
    37	SP2	71.057	71.464	0.407	[mhmh]
    38	SP1	72.764	74.485	1.721	se vado a : valsamogia
    39	SP1	74.757	77.785	3.028	ogni mese io espendo ci- più di duecento euro di benzina
    40	SP2	77.892	78.264	0.372	sìsì
    41	SP2	78.442	79.178	0.736	e il parcheggio
    42	SP1	79.278	80.085	0.807	e parcheggio più
    43	SP2	80.107	80.264	0.157	°sì°
    44	SP1	80.407	83.349	2.942	facciamo trecentocinquan[ta e]uro, di [ogni mese]
    45	SP2	81.707	82.099	0.392	[sìsì]
    46	SP2	82.507	83.349	0.842	[tantissimo]
    47	SP2	83.799	84.378	0.579	tantissimo
    48	SP1	84.578	85.242	0.664	tantissimo
    49	SP2	85.149	85.478	0.329	((ride))
    50	SP2	85.957	86.321	0.364	sìsì
    51	SP2	86.685	90.464	3.779	no io non ho la macchina quindi io non [mi rendo conto se] tutte queste [cifre ((ride))]
    52	SP1	88.157	89.278	1.121	[no intendevo]
    53	SP1	89.435	90.649	1.214	[intendevo]
    54	SP1	90.814	93.942	3.128	che se là pago settecento euro in affitto
    55	SP1	94.385	97.328	2.943	più (.) trecentocinquanta  [so]no mille,
    56	SP2	96.185	96.492	0.307	[mh]
    57	SP2	97.364	97.657	0.293	mhmh
    58	SP1	98.221	98.449	0.228	già
    59	SP1	98.678	102.999	4.321	mille mil- >mille: cento,< [mille] due  mille e cento, mille duecento dopo.
    60	SP2	99.592	99.907	0.315	[sìsì]
    61	SP1	103.049	105.064	2.015	perché non è che solo che devo pagare la macchina,
    62	SP1	105.278	107.321	2.043	la benzina e:::
    63	SP1	107.842	110.635	2.793	e anch[e il par]cheggio, [no? devo] far- as-
    64	SP2	108.442	108.892	0.450	[sìsìsì]
    65	SP2	109.392	109.707	0.315	[sìsì]
    66	SP1	111.742	113.042	1.300	allora com'è la città,
    67	SP1	113.121	117.535	4.414	se tu paghi duecento eur- cen- duecento euro in più? [ma ti tro]vi tutto
    68	SP2	116.564	116.935	0.371	[mhmh]
    69	SP2	117.707	118.435	0.728	certo sì
    70	SP2	118.671	119.399	0.728	certo certo
    71	SP1	119.392	124.571	5.179	come da là per fare una espesa, io devo fare cioè dieci chilometri cinque chilometri almeno
    72	SP2	124.585	124.764	0.179	°mh°
    73	SP2	125.721	126.871	1.150	no poi ti insomma
    74	SP2	126.949	129.807	2.858	ti svegli presto il [traffico, lo stress sì]
    75	SP1	127.728	130.792	3.064	[assolutamente ma guarda] che là:
    76	SP1	131.235	133.528	2.293	da vivere la differenza da città e fuori città
    77	SP1	134.078	137.442	3.364	se lavoro (.)  fuori città guarda che per me va bene
    78	SP2	137.442	137.628	0.186	mhmh
    79	SP1	137.628	139.464	1.836	ma, dentro la città [che devo la]vorare
    80	SP2	138.471	139.078	0.607	venendo qua
    81	SP2	139.514	140.135	0.621	certo sìsì
    82	SP1	140.142	143.842	3.700	significa che per me, non è che una giornata di: ventiquattro ore
    83	SP2	143.921	144.371	0.450	mhmh
    84	SP1	144.749	146.171	1.422	sono ventidue o[re]
    85	SP2	146.128	147.128	1.000	[ce]rto perché [uno]
    86	SP1	146.857	147.721	0.864	[ancora] meno
    87	SP2	147.892	148.092	0.200	mhmh
    88	SP1	148.264	149.314	1.050	sono venti ore tipo
    89	SP2	149.414	149.592	0.178	[°sì°]
    90	SP1	149.435	150.728	1.293	[per]ché ogni giorno io l'ho
    91	SP1	151.271	153.849	2.578	vada avanti e indietro, un'ora un'ora e mezza c(io)è
    92	SP1	153.978	159.157	5.179	per venire un'ora mezzo  un'[ora]  minimo e, ritornare ancora facciamo mezz'ora o un'ora
    93	SP2	155.599	155.885	0.286	[°mhmh°]
    94	SP2	159.392	159.707	0.315	mhmh
    95	SP1	159.714	160.935	1.221	allora due ore già è scalata
    96	SP2	161.035	161.628	0.593	sìsì [mh]
    97	SP1	161.478	162.578	1.100	[per] preparare c(io)è se
    98	SP1	163.057	164.714	1.657	tipo che noi abitiamo cioè
    99	SP1	164.971	168.099	3.128	facciamo come dentro la bologna, tu venti minuti
   100	SP1	168.364	169.821	1.457	trenta minuti sei in [lavoro]
   101	SP2	169.464	169.935	0.471	[mhmh]mh
   102	SP2	170.485	171.214	0.729	certo sìsì
   103	SP2	171.635	175.078	3.443	ma prima, di trasferirti in valsamogia d- in quale zona abitavi:
