tu_id	speaker	start	end	duration	text
     1	SP1	0.240	3.220	2.980	persone che magari puoi avere incontrato: un po',
     2	SP2	3.700	5.110	1.410	bah e::
     3	SP2	5.500	9.300	3.800	sì è sempre pieno di: persone che fanno l' elemosina, sotto i porti[ci]
     4	SP1	8.910	9.290	0.380	[mhm]h
     5	SP2	9.910	12.660	2.750	soprattutto su via indipendenza, ce ne sono [diversi]
     6	SP1	12.090	12.820	0.730	[sì è ve]ro
     7	SP2	13.520	15.410	1.890	anche sotto i portici di via:
     8	SP2	16.050	17.090	1.040	di viale:
     9	SP2	18.690	19.260	0.570	masini
    10	SP2	19.860	21.000	1.140	perché io passo spesso di lì
    11	SP2	22.080	22.970	0.890	e::
    12	SP2	24.410	28.050	3.640	però a parte insomma, persone: che [fanno] l' elemosina
    13	SP1	26.510	26.800	0.290	[mhmh]
    14	SP2	28.190	28.390	0.200	sì
    15	SP2	28.560	29.170	0.610	mh a,
    16	SP2	29.620	32.230	2.610	incontri anche molte persone che ti fermano per:
    17	SP1	32.340	32.610	0.270	sì
    18	SP2	32.600	34.490	1.890	chiederti di [fare, benefici]enza ((ride))
    19	SP1	32.760	33.930	1.170	[ ((ride)) esatto]
    20	SP1	34.670	37.520	2.850	((ride)) le classiche persone che sono sotto i portici
    21	SP2	38.620	39.170	0.550	e:
    22	SP2	39.640	43.230	3.590	a volte persone famose ogni tanto una volta ho incontrato piff ad esempi[o]
    23	SP1	43.180	44.450	1.270	[a:] ah sì sì sì
    24	SP2	44.550	44.960	0.410	e:
    25	SP2	45.200	47.320	2.120	>che era< in un hotel che è lì su via indipendenza
    26	SP1	47.320	49.310	1.990	anche cremonini dicono che si [aspetta]
    27	SP2	48.990	51.160	2.170	>cremonini?< eh non l'ho [ancora incontrato cremonini]
    28	SP1	49.900	51.120	1.220	[°poi niente° neanche io]
    29	SP2	51.210	52.030	0.820	((ride)) e:
    30	SP2	52.590	53.310	0.720	però è che sì
    31	SP2	53.420	55.260	1.840	tre anni, perché io sono dal: duemiladiciotto
    32	SP2	55.490	58.560	3.070	sono dal sì tre anni, che sono lì °non ho ancora°incrociato  cremonini
    33	SP1	59.060	61.820	2.760	beh magari dai quest'anno [sarà l'anno buono]
    34	SP2	60.270	61.840	1.570	[sì chissà ((ride))]
    35	SP2	62.010	62.250	0.240	beh
    36	SP1	62.840	68.730	5.890	e anche, emh (.) per il fatto che hanno messo le luci con le scritte delle canzoni [cosa ne pensi?]
    37	SP2	67.850	73.260	5.410	[ah bello quello,] mi è piaciuto molto sì sì quello: (.) si stava secondo me
    38	SP1	73.350	73.660	0.310	°bello°
    39	SP2	73.650	73.990	0.340	sì che:
    40	SP2	74.150	78.030	3.880	°beh dai,° cremonini comunque, è il cantante di bolo- cioè  [a par]te lucio dalla ovviamente
    41	SP1	76.540	76.810	0.270	[sì]
    42	SP2	78.180	78.390	0.210	però
    43	SP1	78.670	81.070	2.400	che poi hanno messo anche le [sue vero? sìsì]
    44	SP2	79.840	81.620	1.780	[il fatto che poi hanno messo anche] messo, anche le sue
    45	SP2	82.350	83.250	0.900	e::
    46	SP2	83.470	87.700	4.230	però ci sta, è il cantante moderno, [diciamo più: ]  (.) più bolognese
    47	SP1	85.350	87.010	1.660	[ mh mh anche secondo me]
    48	SP1	88.640	91.400	2.760	e [invece, ] il tuo posto del cuore di bologna?
    49	SP2	88.800	89.340	0.540	[carino]
    50	SP1	91.880	95.680	3.800	non so anche solo un bar, [a cu]i sei particolarmente affezionata?
    51	SP2	93.560	93.850	0.290	[mh]
    52	SP2	96.540	96.790	0.250	mh
    53	SP2	99.040	101.130	2.090	e: forse:: mh
    54	SP2	102.330	105.740	3.410	 mangiare un gelato seduti sul gradino di piazza santo stefa[no] ((ride))
    55	SP1	105.710	107.390	1.680	[ah,] lì è bellis[simo]
    56	SP2	107.160	111.120	3.960	[perché lì:] piazza santo stefano, mi piace molto. poi c'è di fianco la mia gelateria preferita
    57	SP2	111.580	118.250	6.670	e quindi spesso d'estate col mio ragazzo andiamo: andiamo lì prendiamo un gelato e ci sediamo: in [piazza] santo stefano. forse quello sì
    58	SP1	116.660	116.990	0.330	[bello]
    59	SP1	118.260	118.830	0.570	bellissimo
