tu_id	speaker	start	end	duration	text
     1	SP1	0.350	8.440	8.090	eh come tabacco no eh di là, lavorando più di tre-tremi:la persone non sono esattamente o tremila o trentamila ma 3000 che facciamo?
     2	SP1	8.840	11.170	2.330	ma non si trovano adesso neanche là >gli appartamenti<
     3	SP2	11.220	14.880	3.660	EH esatto te lo era (.) questo che volevo chiederti perché
     4	SP1	14.910	15.460	0.550	eh sì
     5	SP2	15.490	17.112	1.622	se tutti vogliono vivere lì
     6	SP1	17.560	20.000	2.440	°sì° non si trovano appartamenti [la] verità piuttosto che ci sono un sacco di gente
     7	SP2	19.070	19.520	0.450	mhmh
     8	SP2	20.020	20.360	0.340	mhmh
     9	SP1	20.390	23.700	3.310	piuttosto che: ci sono un sacco di: gente
    10	SP1	24.400	29.640	5.240	come: non vuole dare appartamenti per la famiglia, (.) un po' che danno: un po' di persone
    11	SP2	29.700	29.970	0.270	mhmh
    12	SP1	30.030	31.900	1.870	che: dopo fanno la storia,
    13	SP1	31.960	35.500	3.540	allora (.) per pochi che: tutti quanti ((inspira))
    14	SP2	35.680	40.880	5.200	sì sì sì certo capito (.) mh eh ma se- se potessi un giorno vorresti vivere in città:?
    15	SP1	40.940	46.680	5.740	assolutamente io sto provando tutti i giorni a [trovare] c'è un appartamento per eh: trasferire in bologn[a] cioè
    16	SP2	42.990	43.460	0.470	[(°okay°)]
    17	SP2	46.170	46.530	0.360	[mhmh]
    18	SP1	47.010	53.280	6.270	io lavoro qui (.) è inutile che io vado a (.) esempio faccio così una una una: ragionamento
    19	SP1	53.350	60.600	7.250	se lo trovo una casa in bologna (.) che è mille euro faccia[mo per]ché una casa deve essere mille euro
    20	SP2	57.820	58.270	0.450	[mhmh]
    21	SP1	60.740	65.050	4.310	e non è che deve essere soltanto una camera un mon- un monolocale che è mille euro no è troppo
    22	SP1	65.110	65.680	0.570	è troppo
    23	SP2	65.710	66.420	0.710	è troppo sì
    24	SP1	66.460	71.700	5.240	deve essere almeno tre camera di letto [per per] mille euro mille due mille cento facciamo così
    25	SP2	68.150	68.880	0.730	[sìsì sì]
    26	SP1	72.700	77.760	5.060	se vado a:  valsamoggia (.) ogni mese io spendo ce- più di duecento euro di benzina
    27	SP2	77.820	79.180	1.360	sì sì e parcheggio
    28	SP1	79.240	80.110	0.870	e parcheggio più facciamo 350 euro di ogni mese
    29	SP2	80.130	80.440	0.310	sì
    30	SP1	80.500	83.440	2.940	facciamo trecentocinquanta euro di [ogni mese]
    31	SP2	82.590	83.350	0.760	[°tantissimo°]
    32	SP2	83.930	85.390	1.460	tantissimo ((ride))
