tu_id	speaker	start	end	duration	text
     1	SP1	0.000	1.420	1.420	e:: come tabacco no?
     2	SP2	1.430	1.950	0.520	o[kay]
     3	SP1	1.510	4.913	3.403	[e::h (di)] là (.) lavorando più di tre:- tremila pers[one]
     4	SP2	4.520	5.060	0.540	[°mh][mh]
     5	SP1	4.940	8.490	3.550	[no]n sono esattamente o tremila o trentamila [ma tremi]la che facciamo
     6	SP2	7.010	7.590	0.580	[°mhmh°]
     7	SP1	8.720	11.360	2.640	ma non si trovano adesso neanche là gli appartamen[ti]
     8	SP2	11.100	14.200	3.100	[eh] esatto >te lo era< (.) questo che volevo chiederti
     9	SP2	14.260	14.700	0.440	>perché<
    10	SP1	14.830	15.330	0.500	ah sì
    11	SP2	15.380	16.850	1.470	se tutti vogliono vivere lì
    12	SP1	17.410	19.110	1.700	°sì° non si trovano appartamenti.
    13	SP2	19.120	19.300	0.180	°mhmh°
    14	SP1	19.320	20.040	0.720	la ver[ità]
    15	SP2	19.790	20.230	0.440	[mhmh]
    16	SP1	20.240	24.100	3.860	piuttosto che:: (.) ci sono un sacco di: gente,
    17	SP1	24.350	27.190	2.840	come non vuole dare appartamenti per la famiglia,
    18	SP1	27.930	32.030	4.100	un po' che danno un po' di perso[ne ch]e:: dopo fanno la storia
    19	SP2	29.580	30.140	0.560	[mhmh]
    20	SP2	32.107	32.587	0.480	[°mhmh°]
    21	SP1	32.110	32.590	0.480	[ora,]
    22	SP1	32.670	34.800	2.130	per pochi che: tutti quanti:
    23	SP1	34.910	35.600	0.690	((sospira))
    24	SP2	35.560	37.030	1.470	sì sì sì [certo capito]
    25	SP1	36.300	37.000	0.700	[°mh mh°]
    26	SP2	37.120	41.240	4.120	mh e ma se se potessi un giorno vorresti vivere in citt[à: (o)]
    27	SP1	40.850	45.373	4.523	[assolu]tamente io sto provando tutti i giorni a [trovare] c(io)è un appartamento per i::
    28	SP2	43.033	43.380	0.347	[(o)kay]
    29	SP1	45.470	48.190	2.720	trasferire in bol[ogna c(io)è] io lavoro qui,
    30	SP2	46.370	47.020	0.650	[mhmh]
    31	SP1	48.260	50.330	2.070	è inutile che io vado a
    32	SP1	50.580	53.310	2.730	esempio faccio così una una una ragionamento.
    33	SP1	53.380	55.800	2.420	se lo trovo (.) una casa, in bologna,
    34	SP1	56.120	61.030	4.910	che (.) mille euro (.) fa[cciamo per]ché:: una casa deve essere mille euro, [e]
    35	SP2	57.760	58.370	0.610	[mhmh]
    36	SP2	60.700	61.033	0.333	[mh]
    37	SP1	61.080	64.980	3.900	non è che deve essere soltanto una camera, un mo- un monolocale che mille euro no
    38	SP1	65.200	65.650	0.450	è troppo.
