tu_id	speaker	start	end	duration	text
1	SP1	0	1.47000000000003	1.47	[ci] sono delle università?
2	SP2	2.24000000000001	5.19299999999998	2.953	sì [no le università è pro]prio in città [xxx]
3	SP1	2.56000000000017	3.80000000000018	1.24	[o più nella capita-]
4	SP1	4.80000000000018	6.3900000000001	1.59	[okay] (.) okay okay okay
5	SP1	6.51300000000015	9.62000000000012	3.107	[e s-] (.) in capitale in capitale okay [eh se] devi::
6	SP2	6.64700000000016	7.65000000000009	1.003	[di:] in capitale
7	SP2	8.51999999999998	9.06000000000017	0.54	[però]
8	SP1	10.4350000000002	11.4350000000002	1	°posso anche°
9	SP2	13.74	15.22	1.48	°vabbè adesso faccio finire qui°
10	SP3	15.232	15.7640000000001	0.532	°sì°
11	SP2	17.0930000000001	18.45	1.357	xx così che ci vengono
12	SP1	19.25	20.6870000000001	1.437	°sta andando abbastanza bene no?°
13	SP3	21.0140000000001	21.421	0.407	°sì°
14	SP1	21.4670000000001	23.1290000000001	1.662	°proviamo vedere se:°
15	SP1	25.4860000000001	27.3050000000001	1.819	>allora< dimmi la capitale è molto [grande,]
16	SP2	26.819	32.874	6.055	[la capitale] è molto grande (.) e trecentosei virgola quattro e:h kilometri quadr[ati]
17	SP1	32.624	34.0930000000001	1.469	[okay] e po[po]lazione?
18	SP2	33.2630000000001	33.6660000000002	0.403	[in]
19	SP2	34.413	38.6800000000001	4.267	e:h quattordici milioni, quattordici punto quattro mi[lioni]
20	SP1	36.9390000000001	37.2660000000001	0.327	[EH]
21	SP1	38.444	41.1380000000001	2.694	[cioè] bologna è trecentocinquantamila persone
22	SP2	41.1380000000001	44.7630000000001	3.625	beh [trecento]cinquantamila ma devo essere quanto grande bologna
23	SP1	41.5410000000002	43.0410000000002	1.5	[eh] ((ride))
24	SP1	45.249	47.0930000000001	1.844	non so di kilometri quadrati però:
25	SP1	47.6000000000001	53.26	5.66	decisamente più grande, [ma infa]tti eh mi sembrava impossibile ma il ragazzo ie[ri insisteva (.) infa-]
26	SP3	48.9400000000001	49.327	0.387	[°no°]
27	SP2	51.902	54.944	3.042	[e guarda che bologna è] centoqua- centoquaran[ta]
28	SP1	54.5410000000002	55.444	0.903	[eh] (.) [sì]
29	SP2	55.2630000000002	59.3330000000001	4.07	[cento]quaranta virgola nove kilometri quadrati che se parliamo fino a
30	SP2	59.6520000000001	63.0070000000001	3.355	da: mh dove di: pilastro, fino a di:
31	SP1	63.0130000000001	63.4300000000001	0.417	mhmh
32	SP2	63.4860000000001	65.374	1.888	fino a di: mh
33	SP1	65.694	67.222	1.528	tipo casalecchio la [ba]rca xxxx
34	SP2	66.6660000000002	67.069	0.403	[sì]
35	SP3	66.951	68.3400000000002	1.389	[xxxx]
36	SP2	67.1110000000001	69.249	2.138	[sì proprio sì casa]lecchio
37	SP1	69.0410000000002	70.4160000000002	1.375	[sì] sì [sì sì]
38	SP2	69.3220000000001	72.9400000000001	3.618	[sì pro]prio il quadrato di: dentro c'è proprio quelle che le-
39	SP2	73.415	75.981	2.566	mh quelle che comune di bologna (.) esempio
40	SP1	76.0050000000001	76.319	0.314	mhmh
41	SP2	76.307	81.7530000000002	5.446	però è f- non è il fuori che hanno contato [cioè proprio la città e il capitale che hanno entrato] cioè proprio::
42	SP1	79.047	80.953	1.906	[sì sì certo (.) °sì sì sì°]
43	SP1	82.307	89.692	7.385	sì sì certo no ma [io-] a me mi sembrava impossibile che una città italiana neanche la capitale fosse grande come [la capita-] ((ride))
44	SP2	83.3870000000002	83.567	0.18	[mh]
45	SP2	88.6560000000002	98.047	9.391	[beh no è come] è più g- cioè è come grande della venezia che venezia è una città bella grande quattrocentoquatto- e:h quattrocentoquattordici metri quadrati
46	SP1	98.4200000000001	105.72	7.3	(>guarda<) che s- mh perché conteranno tutta la provincia per[ché vene]zia città è un'isoletta grande co[sì praticamente ((ride)) sì]
47	SP2	101.266	101.6	0.334	[sì]
48	SP2	103.22	110.222	7.002	[eh eh assolutamente] ((ride)) poi se andiamo ancora un po' avanti ci sono colli che non con- non contano [neanche]
49	SP1	108.913	113.3	4.387	[no no infa]tti infatti no ma mi sembrava strano in[fatti] ma
50	SP2	112.469	112.736	0.267	[sì]
51	SP1	113.327	119.747	6.42	no e quindi mi dicevi che nella (.) nella zona della tua famiglia ci sono delle ini- delle iniziative culturali [delle:]
52	SP2	118.957	119.787	0.83	[sì sì]
53	SP1	120.113	124.48	4.367	o e [dei siti storici] o che cosa: [anche o archeolo]gici?
54	SP2	120.656	121.656	1	[ma adesso uguale]
55	SP2	123.307	124.307	1	[no sì dei si-]
56	SP2	125.005	132.213	7.208	no guar[da] che là e: sì proprio: m:h ci sono la città un po' un po' più culturale
57	SP1	125.379	125.8	0.421	[°no°]
58	SP1	132.258	133.716	1.458	o[kay un po' più culturale]
59	SP2	132.38	134.2	1.82	[poi adesso guarda che] è un po'
60	SP2	134.7	141.427	6.727	già persa un po': che andava dice a vivere la città che adesso tutti quanti che sta perdendo il lavoro °e questo°
61	SP1	141.427	141.873	0.446	là
62	SP2	141.945	142.391	0.446	là
63	SP1	142.475	144.017	1.542	okay (.) [ma cioè]
64	SP2	143.174	149.667	6.493	[sì (.) cioè tutti] tutti adesso tornando come la città c'è anda[to:] cioè verso la cit[tà per vivere (lì e) sì]
