tu_id	speaker	start	end	duration	text
0	SP1	0.065	1.139	1.074	per quattro
1	SP2	3.020	5.467	2.447	non un chilo settecento grammi di pasta
2	SP1	5.673	7.849	2.176	e [vabbè ma] perché quello il pane se ne mangia assai io so
3	SP2	5.717	6.105	0.388	[con due]
4	SP2	8.276	11.052	2.776	il padre van- mangia: ne mangia una scodella d'insalata
5	SP1	11.120	11.473	0.353	ah
6	SP2	13.962	17.829	3.867	con due vasetti del pesto quello là barilla:
7	SP1	18.084	20.084	2.000	[vabbè] grazie so settecento grammi di pasta
8	SP2	18.084	18.332	0.248	[un po']
9	SP2	20.719	28.106	7.387	ricotta e noci non contenta il fior di latte dentro non contenta il parmigiano sopra
10	SP1	28.931	30.165	1.234	che non stona:
11	SP2	30.757	34.046	3.289	non contenta mi hai detto ah se c'avevo le noci mettevo pure le noci sopra
12	SP1	34.328	34.857	0.529	[no:]
13	SP3	34.328	34.757	0.429	[no?]
14	SP1	35.614	36.316	0.702	xxx
15	SP2	36.763	39.771	3.008	guà mi piacevano tanto quelle zucchine le avete mangiate tutte
16	SP1	40.191	40.788	0.597	sorry
17	SP1	40.992	42.685	1.693	te le rifaccio prima che te ne vai
18	SP3	42.834	43.172	0.338	eh
19	SP2	43.575	44.400	0.825	ma che te ne vai?
20	SP3	44.540	44.760	0.220	[mh]
21	SP2	44.762	45.577	0.815	dov'è che va via
22	SP2	45.957	46.951	0.994	sai che possiamo fare?
23	SP3	47.336	47.673	0.337	no
24	SP3	47.951	54.782	6.831	con questa zucchinona gigante che tengo la vogliamo arrostire? adesso tipo ceh non ce la mangiamo adesso però lo facciamo per domani magari
25	SP1	54.725	55.331	0.606	va bene
26	SP2	55.396	58.195	2.799	ma perché la zucchinona non l'avevi già fatta?
27	SP3	58.271	59.360	1.089	amore erano due zucchinone
28	SP2	59.406	59.973	0.567	°zucchinone°
29	SP3	59.973	62.170	2.197	una l'ho fatta l'altra:
30	SP1	62.209	64.699	2.490	eh ma l'[altra metà] perché metà [si de]ve tagliare
31	SP3	62.704	63.260	0.556	[e nel frigo]
32	SP3	63.740	63.990	0.250	[eh]
33	SP3	64.710	71.941	7.231	perchè nel frigo [stava troppo] [forte e] il ghiaccio l'ha tipo un po' disturbata diciamo così non s[o co]me dire
34	SP1	65.650	66.193	0.543	[il ghiaccio]
35	SP1	66.299	67.063	0.764	[(laser)]
36	SP2	71.172	71.387	0.215	[mh]
37	SP3	72.169	74.021	1.852	e s'è fatta tipo molla s[trana]
38	SP2	73.400	74.648	1.248	[s'è congela]ta
39	SP3	75.377	77.304	1.927	eh ma s'è fatta molla strana [xxx]
40	SP2	76.617	78.269	1.652	[si è bruciata] si è:
41	SP3	78.035	80.000	1.965	bra- >tipo può essere< una bruciatura da gelo
42	SP2	80.587	81.243	0.656	mh
43	SP2	84.416	86.781	2.365	mi è piaciuto come le ha fatte miriana
44	SP1	87.163	87.668	0.505	olè
45	SP2	88.071	90.193	2.122	c'ha messo dentro l'origano tuttavia
46	SP3	90.711	95.346	4.635	davvero d- s- dovresti essere contenta il primo complimento da qua- che hai cucinato qualcosa tu
47	SP2	93.214	95.348	2.134	((applausi))
48	SP1	95.503	99.103	3.600	grazie gra- me lo ricorderò a vita sappiate che non si replicherà mai più
49	SP3	99.097	99.734	0.637	((ride))
50	SP1	100.584	112.913	12.329	non perchè poi a me ceh a- adoro i come mangiano in ospedale praticamente fabiana me lo dice sempre adoro senza sale cioè meno sale c'è più mi piace senza olio senza niente ceh meno condimento è
51	SP3	112.936	114.609	1.673	questo sale l'ho preso per[chè me] lo hai chiesto tu eh però
52	SP1	113.500	113.754	0.254	[eh]
53	SP1	114.823	115.942	1.119	no no sì sì questo sì
54	SP3	116.837	117.312	0.475	più o meno
55	SP1	118.302	119.633	1.331	no ci sono cose e cose
56	SP1	120.233	123.408	3.175	però >tipo< la pasta io la sto mangiando quasi completamente senza sale
57	SP3	123.519	123.733	0.214	mh
58	SP3	124.765	126.071	1.306	non fa schifo la pasta senza sale?
59	SP1	126.064	130.948	4.884	lo so ma mi sono abituata al sapore ormai pure quando ci metti un pizzico di sale io la sento salatissima
60	SP3	131.045	132.706	1.661	te non metti proprio il sale nell'acqua
61	SP1	132.716	133.168	0.452	no
62	SP1	134.539	134.813	0.274	mh
63	SP2	135.201	135.649	0.448	[co]sa?
64	SP3	135.313	136.140	0.827	[schi]fo amò
65	SP1	136.687	139.703	3.016	eh lo so però no mi sono abituata non so perché
66	SP2	141.091	141.534	0.443	(ma va')
67	SP2	141.793	142.447	0.654	che problema hai
68	SP3	142.563	143.263	0.700	((ride))
69	SP1	142.697	145.321	2.624	e infatti che problema ho? ditemelo voi
70	SP2	145.434	146.807	1.373	vabbè meglio così in realtà eh
71	SP3	146.813	147.173	0.360	tanti
72	SP1	148.063	149.428	1.365	ma veramente tantissimi
73	SP3	148.943	149.428	0.485	((ride))
74	SP2	149.723	150.361	0.638	ceh voglio dire
75	SP3	150.358	150.681	0.323	ops
76	SP2	150.691	159.401	8.710	che non la vuoi che sala- ceh che non vuoi mettere il sale nel condimento della  pasta però non salare l'acqua quando la bolli è illegale [non si] [fa]
