tu_id	speaker	start	end	duration	text
0	SP1	0.000	1.420	1.420	e:: come xxxx?
1	SP2	1.430	1.950	0.520	okay
2	SP1	1.510	4.850	3.340	e:: là (.) lavorando più di tre tremila pers[one]
3	SP2	4.520	5.060	0.540	[°mh]
4	SP1	5.070	8.490	3.420	non sono esattamente o tremila o tr[entamila ma tr]emila che facciamo
5	SP2	7.010	7.590	0.580	[°]mhmh°
6	SP1	8.720	11.170	2.450	ma non si trovano adesso neanche là gli appartamenti
7	SP2	11.100	14.200	3.100	[eh] esatto >te lo era< (.) questo che volevo chiederti
8	SP2	14.260	14.700	0.440	>perché<
9	SP1	14.830	15.330	0.500	ah sì?
10	SP2	15.380	16.850	1.470	se tutti vogliono vivere lì
11	SP1	17.410	19.110	1.700	°sì° non si trovano appartamenti.
12	SP1	19.320	20.040	0.720	la ver[ità]
13	SP2	19.790	20.230	0.440	[mhmh]
14	SP1	20.240	24.100	3.860	piuttosto che:: (.) ci sono un sacco di: a(z)iende,
15	SP1	24.350	27.190	2.840	come non vuole dare appartamenti per la fami(gl)ia,
16	SP1	27.930	29.920	1.990	un po' che danno un po' di pers[one]
17	SP2	29.580	30.140	0.560	[mhmh]
18	SP1	30.090	32.030	1.940	che:: dopo fanno la (storia)
19	SP1	32.110	32.590	0.480	ora,
20	SP1	32.670	34.800	2.130	per pochi che: tutti quanti:
21	SP1	34.910	35.600	0.690	((sospira))
22	SP2	35.560	37.030	1.470	sì=sì=sì certo c[apito]
23	SP1	36.550	37.000	0.450	[°mh°]
24	SP2	37.120	41.240	4.120	mh e ma se se potessi un giorno vorresti vivere in citt[à: (o)]
25	SP1	40.850	45.100	4.250	[assolu]tamente io sto provando tutti i giorni a trovare c'è un appartamento per i::
26	SP1	45.470	48.190	2.720	trasferire in bol[ogna c(io)è] io lavoro qui,
27	SP2	46.370	47.020	0.650	[mhmh]
28	SP1	48.260	50.330	2.070	è (in)utile che io vado a
29	SP1	50.580	53.310	2.730	esempio faccio così una una una ragionamento.
30	SP1	53.380	55.800	2.420	se lo trovo (.) una casa, in bologna,
31	SP1	56.120	58.070	1.950	che (.) mille euro (.) fa[cciamo]
32	SP2	57.760	58.370	0.610	[mhmh]
33	SP1	58.200	61.030	2.830	perché:: una casa deve essere mille euro, e
34	SP1	61.080	64.980	3.900	non è che deve essere soltanto una camera, u- un monolocale che mille euro no
35	SP1	65.200	65.650	0.450	è troppo.
36	SP2	65.600	66.460	0.860	è troppo sì
37	SP1	66.540	71.760	5.220	deve essere almeno tr[e camere di letto per per] mille euro milledue millecento facci[amo così]
38	SP2	68.000	69.010	1.010	[sì sì sì]
39	SP2	71.140	71.760	0.620	[mhmh]
40	SP1	72.620	74.480	1.860	se vado a: valsamoggia,
41	SP1	74.820	77.710	2.890	con i xxxx io spendo c- più di duecento euro di benzina.
42	SP2	77.660	79.250	1.590	sì sì (.) e il parcheggio
43	SP1	79.190	83.610	4.420	e parcheggio più (.) [fa]cciamo trecento[cinquanta euro di ogni mese]
44	SP2	79.990	80.380	0.390	[°sì°]
45	SP2	81.450	83.610	2.160	[sì sì tantissimo]
46	SP2	83.720	84.620	0.900	tantissimo
47	SP1	84.520	85.520	1.000	tantissimo
48	SP2	84.750	85.720	0.970	((ride))
49	SP2	85.780	86.390	0.610	°sì sì°
50	SP2	86.550	90.630	4.080	no io non ho la macchina quindi [non mi rendo contO SENTO queste cifre] ((ride))
51	SP1	88.120	93.890	5.770	[no inteNDEVO (.) <intendevo>] (.) che se là pago settecento euro in affitto
52	SP1	94.290	97.370	3.080	più (.) trecentocinquant[a sono m]ille,
53	SP2	96.240	96.830	0.590	[mhmh]
54	SP2	97.310	97.950	0.640	mhmh
55	SP1	98.200	105.080	6.880	GIÀ (.) mille: e.h[m mill- millecen]to milleduemilacento m: milleduecento dopo [perché non è che solo] devo pagare la macchina,
56	SP2	99.390	100.160	0.770	[°sì=sì=sì°]
57	SP2	102.990	103.770	0.780	[°mhmh°]
58	SP1	105.210	107.570	2.360	la benzina e:: e:h
59	SP1	107.700	111.150	3.450	e anch[e il parcheggio] n[o, devo pa-] xxx
60	SP2	108.290	109.090	0.800	[sì=sì=sì]
61	SP2	109.240	109.990	0.750	[°sì=sì=sì°]
62	SP1	111.690	116.500	4.810	allora come la città, (.) se tu paghi duecento euro c(io)è duecento euro IN PI[Ù]
63	SP2	116.300	117.040	0.740	[mhmh]
64	SP1	116.600	117.580	0.980	[ma t]i trovi tutto.
65	SP2	117.580	118.280	0.700	certo sì
66	SP2	118.480	119.480	1.000	certo certo certo
67	SP1	119.390	124.800	5.410	come da là per fare un(a) spesa io devo fare c(io)è dieci chilometri cinque chilometri al[meno]
68	SP2	124.300	124.800	0.500	[mhmh]
69	SP2	125.680	130.000	4.320	no poi ti (.) >(in)somma< ti svegli presto, [traffico, stress sì]
70	SP1	127.890	131.120	3.230	[assolutamente ma (.) guarda che] (.) là
71	SP1	131.280	133.830	2.550	da vivere la differenza da città e fuori citt[à]
72	SP2	133.400	134.079	0.679	[mhmh]
73	SP1	133.950	137.410	3.460	SE LAVORO, fuori città, guarda che per me va be[ne]
74	SP2	137.290	137.810	0.520	[mhmh]
75	SP1	137.470	139.560	2.090	[ma] (.) de[ntro la città che devo lavorare]
76	SP2	138.280	140.410	2.130	[venendo qua] (.) certo sì=sì
77	SP1	140.100	144.060	3.960	significa che per me non è che una giornata di: (.) ventiquattro [ore.]
78	SP2	143.810	144.400	0.590	[mh]mh
79	SP1	144.540	146.330	1.790	sono (.) ventidue [ore]
80	SP2	145.900	148.200	2.300	[CERTO] (.) perch[é una è x mhmh]
81	SP1	146.910	150.950	4.040	[ANCORA MENO] (.) sono venti ore tipo perché: ogni giorno io lo
82	SP1	151.110	159.460	8.350	vado avanti indietro un'ora un'ora e mezzo c(io)è per venire un'ora e mezzo un'ora minimo e ritornare è ancora facciamo mezz'ora o un'ora
83	SP2	159.480	160.030	0.550	mh[mh]
84	SP1	159.570	161.200	1.630	[allora] due ore è già scalata
85	SP2	161.100	161.800	0.700	sì sì
86	SP1	161.400	164.740	3.340	per preparare c(io)é se (.) tipo che noi abitiamo c(io)è
87	SP1	164.820	167.980	3.160	facciamo come dentro la bologna, tu venti minuti,
88	SP1	168.300	170.100	1.800	trenta minuti se [(in lavoro).]
89	SP2	169.600	170.260	0.660	[mhmh]
90	SP2	170.350	175.150	4.800	°certo sì sì° (.) ma prima di trasferirti in valsamoggia m:h in quale zona abitav[i::?]
91	SP1	174.850	177.630	2.780	[in ce]ntro proprio in [centro storico] (.) [centro c]entro.
92	SP2	175.870	177.180	1.310	[centro centro?] (.) [okay]
93	SP1	178.480	181.150	2.670	DIECI MINUTI (DI) CAMMINATA (che) dove lavoro io:
94	SP2	181.210	183.880	2.670	però c'è un po' di casino in c[entro, sporco::]
95	SP1	182.740	188.520	5.780	[NO GUARDA CHE c]asino: no p- c(io)è proprio no non è che è sporco tu di- tu m:h non posso d-
96	SP1	188.600	191.380	2.780	c(io)è non puoi:: guardare tutte le cose insi[eme.]
97	SP2	191.070	191.670	0.600	[mh]mh
98	SP2	191.990	192.770	0.780	mhmh
99	SP2	192.930	196.510	3.580	quindi sì ti ti piac[erebbe rit]ornare a vivere [°(in centro storico)°]
100	SP1	193.860	194.430	0.570	[sì]
101	SP1	194.950	200.880	5.930	perché (.) è una persona che vanno c(io)è lavorare dentro, in città:, e va ad abitare fuo[ri,]
102	SP2	200.660	201.180	0.520	[mhmh]
103	SP1	200.980	203.350	2.370	[ti-] n- stai inquin[ando lo stesso]
104	SP2	202.230	206.410	4.180	[ANCHE (.) certo] (.) [ah no=no=no certamente] (.) sì=sì=sì=sì
105	SP1	204.030	205.690	1.660	[devi capire questa qua]
106	SP2	206.710	207.700	0.990	e:: nien[te x]
107	SP1	207.430	212.800	5.370	[ma s]e come io che vengo ad abitare: in cen- città (.) mh una macchina,
108	SP1	213.070	217.170	4.100	già f- (.) già ferma [ma per] (.) [non inqu]inare la ci[ttà]
109	SP2	214.710	215.350	0.640	[mhmh]
110	SP2	215.460	216.070	0.610	[mhmh]
111	SP2	216.730	219.320	2.590	[sì=sì=s]ì è vero capisco: perfettamente
112	SP2	219.410	222.930	3.520	m::h e sono curiosa di chiederti anche (.) perché
113	SP2	223.070	224.610	1.540	quindi immagino che la tua famiglia,
114	SP2	225.070	229.750	4.680	si sia trasfer[ita qui dal] bangl[adesh no? quindi i]n nella in casa con i tuoi genitori
115	SP1	225.840	226.260	0.420	[sì]
116	SP1	226.720	227.520	0.800	[sì (.) °sì°]
117	SP2	229.890	232.170	2.280	parla- m::h (.) che lingua parlate?
118	SP2	232.260	233.000	0.740	[quale lin-]
119	SP1	232.280	235.280	3.000	[(bangla) sì] (.) in lingua:: bangla che parlano.
120	SP2	235.300	235.640	0.340	e:
121	SP1	235.650	239.840	4.190	però eh tutti quanti lo sanno (anche) italiano tranquilla ((ride))
122	SP2	238.220	243.020	4.800	okay (.) e lo mi- mischiate un po' con l'i[taliano, quando: par]late [fra di voi o]
