tu_id	speaker	start	end	duration	text
0	SP1	0.120	1.860	1.740	va be' era leggera però
1	SP2	2.040	3.140	1.100	no no no è vero
2	SP3	3.130	3.380	0.250	sì
3	SP3	4.120	5.400	1.280	non era pesantissima
4	SP1	6.480	7.240	0.760	per niente
5	SP3	7.500	9.560	2.060	l'unica cosa ho esagerato un po' con l'olio forse
6	SP1	10.800	12.160	1.360	ma nell'impasto no fuori
7	SP3	12.160	14.360	2.200	fuori nell'impasto ci ho me[sso il giusto]
8	SP2	13.362	14.444	1.082	[nella padella]
9	SP3	14.720	15.660	0.940	però in padella
10	SP3	16.920	19.250	2.330	xx ha detto metti: quello là l'olio da friggere
11	SP3	19.560	20.580	1.020	così vengono meglio
12	SP3	20.880	21.720	0.840	ho detto okay
13	SP3	22.280	23.840	1.560	e ho fatto però praticamente
14	SP3	24.100	25.560	1.460	ho messo:
15	SP3	25.640	28.060	2.420	tutto l- tutto il fondo della padella era pieno di olio
16	SP3	29.380	30.390	1.010	io volevo mettere un filo
17	SP3	30.390	31.540	1.150	sai per farle venire
18	SP3	31.540	32.780	1.240	mezzi tra:
19	SP3	34.820	35.640	0.820	c(io)è cotti
20	SP3	35.760	36.944	1.184	nella padella unta
21	SP3	36.993	37.637	0.644	invece
22	SP3	38.840	39.800	0.960	i primi sono venuti un po'
23	SP3	39.800	41.281	1.481	deep fried quasi ((ride))
24	SP1	43.293	43.680	0.387	((tossisce))
25	SP1	43.820	45.660	1.840	beh oggi abbiamo fatto colazione con
26	SP1	45.660	47.380	1.720	pan- pancake con nutella
27	SP3	47.600	49.520	1.920	è rimasto un altro pancake se vuoi
28	SP2	49.555	50.719	1.164	uh [xxxx]
29	SP3	49.740	51.720	1.980	[mangiati tu il pan]cake che io mangio il gelato che ne dici?
30	SP1	53.056	54.700	1.644	(te lo tiro in) faccia sto pancake
31	SP2	53.174	53.943	0.769	stronzo
32	SP1	55.256	56.480	1.224	poi è rimasto
33	SP1	56.720	58.140	1.420	poi abbiamo mangiato
34	SP3	58.300	59.594	1.294	io [a pranzo ho esagerato]
35	SP1	58.350	59.587	1.237	[xxxxx nonna]
36	SP1	60.400	62.400	2.000	quattro gelati s'ha mangiato sto porc
37	SP3	62.412	63.912	1.500	quattro gelati non è ve-
38	SP3	63.940	66.575	2.635	xxxxxx abbiamo mangiato la stessa quantità di gelato
39	SP1	67.160	68.394	1.234	tu ne hai mangiati di più
40	SP3	68.425	69.262	0.837	no roberto
41	SP1	69.544	70.925	1.381	hai mangiato il pan di stelle
42	SP1	70.950	72.344	1.394	hai mangiato quello al caramello
43	SP1	72.350	73.358	1.008	e ne hai mangiato un al[tro]
44	SP3	73.160	74.453	1.293	[no no]n l'ho mangiato un altro
45	SP3	75.300	77.253	1.953	ho man- perché noi abbiamo comprato quelli pan di st[elle]
46	SP1	77.005	78.637	1.632	[va be'] sei un [maiale hai mangiato]
47	SP3	77.632	78.637	1.005	[che erano buoni]
48	SP3	78.800	80.000	1.200	si pure tu sei un maiale però
49	SP1	80.020	82.600	2.580	hai [mangiato pure le salsi]cce e [un sacco di] friarielli
50	SP3	80.184	81.121	0.937	[ti sto dicendo]
51	SP3	81.221	81.847	0.626	[perchè]
52	SP3	82.190	84.020	1.830	perché praticamente noi abbiamo comprato
53	SP3	84.100	85.920	1.820	questi gelati pan di stelle
54	SP3	85.920	87.420	1.500	che erano quelli là tipo a biscotto
55	SP3	87.500	89.342	1.842	che ce ne erano due in una:
56	SP3	89.395	90.211	0.816	bustina
57	SP3	90.432	92.916	2.484	io ho detto voglio questo però voglio anche quello al caramello
58	SP3	93.040	94.074	1.034	quindi ho mangiato uno
59	SP3	94.100	95.760	1.660	di quelli io ho dato l'altro a lui
60	SP3	95.760	99.632	3.872	io ho mangiato quello al caramello la stessa quantità che ha mangiato lui uguale identico
61	SP3	99.980	102.020	2.040	quindi la cosa che adesso io sono il porco e tu no
62	SP3	102.860	103.695	0.835	lasciamo stare
63	SP2	103.716	105.860	2.144	in generale: per una giornata:
64	SP2	105.960	107.960	2.000	c'è stato tanto cibo un po' chiatto
65	SP3	108.080	110.280	2.200	ma è domenica è festa [lo sanno tutti]
66	SP2	109.647	110.900	1.253	[eh lo so pe][rò:]
67	SP1	110.505	111.963	1.458	[mh] chiediamolo al diabete
68	SP1	111.968	114.080	2.112	di terzo tipo che avremo tra un paio di anni
69	SP2	116.021	117.453	1.432	tra [un paio di anni] ((ride))
70	SP3	116.200	118.658	2.458	[sì perchè tutti i giorni] mangio così ovviamente
71	SP1	120.620	122.360	1.740	(nervosamente) mi fa venire
72	SP2	122.360	124.137	1.777	avete mangiato l'insalata ieri eh
73	SP1	124.200	125.805	1.605	ieri ho mangiato l'insalatina
74	SP2	128.120	129.768	1.648	no non mi guardare così che ho detto?
75	SP1	129.932	131.495	1.563	vuoi sapere che c'era nell'insalatina?
76	SP1	131.500	132.905	1.405	c'erano i cubetti
77	SP2	133.200	134.500	1.300	di formaggio e di sa[lame
78	SP1	134.000	134.800	0.800	[di provolone]
79	SP2	134.542	135.537	0.995	(me l'ha] d[etto)]
80	SP1	134.868	135.847	0.979	[i: cubetti] di sa-
81	SP1	135.900	137.832	1.932	e ti sembra un'insalatina [questa?]
82	SP2	137.274	140.926	3.652	[va be'] però x non è che ha esaggerato sono degli affettati con l'insalata
83	SP2	140.942	142.016	1.074	c(io)è un pranzo:
84	SP2	142.174	143.511	1.337	[(secondo me) non] trop[po:]
85	SP3	142.174	142.811	0.637	[allora (miri)]
86	SP3	143.179	143.732	0.553	[te lo] giuro
87	SP3	143.779	145.763	1.984	ti ti fidi di me quando ti dico una cosa?
88	SP3	145.989	148.068	2.079	c(io)è non dico non ti ho mai detto una bugia in vita mia a te
89	SP3	148.770	149.065	0.295	allora
90	SP3	150.616	151.626	1.010	ho messo mezza
91	SP3	152.047	153.137	1.090	cosa di iceberg
92	SP3	153.592	154.655	1.063	poi ci ho messo
93	SP3	154.820	158.232	3.412	quattro fette contate di salame tagliate a cubetti
94	SP3	159.040	160.532	1.492	mezzo pezzo di auricchio
95	SP3	160.563	162.821	2.258	cioè di: provolone tagliato a cubetti
96	SP3	163.300	163.647	0.347	e
97	SP3	163.658	164.947	1.289	due fettine di pane
98	SP3	164.963	167.953	2.990	tagliate a cubetti saltate in padella che l'ho fatto tipo crostino
99	SP2	168.089	168.279	0.190	mh
100	SP3	168.479	168.874	0.395	basta
101	SP3	170.440	172.568	2.128	x ah è una carota:
102	SP2	171.094	172.247	1.153	xxxxxxx
103	SP3	172.580	174.300	1.720	che l'ho tagliata piccolina piccoli[na]
104	SP2	174.020	175.679	1.659	[no] secondo me la carota non ci stava bene
105	SP3	175.680	176.460	0.780	invece stava bene
106	SP2	176.637	176.789	0.152	sì?
107	SP2	177.500	180.340	2.840	no comunque no per me è un pranzo [standard]
108	SP3	179.542	180.700	1.158	[non è un pranzo] grasso
109	SP2	180.705	181.105	0.400	no
110	SP3	183.840	185.580	1.740	pranzo che è terminato col gelato
111	SP2	186.158	186.421	0.263	ah
112	SP3	186.679	187.780	1.101	[non solo per] me
113	SP2	186.694	187.505	0.811	[questo xxx]
114	SP3	187.900	188.660	0.760	ma anche per lui
115	SP3	188.732	189.074	0.342	quin[di]
116	SP2	188.853	191.640	2.787	[va be'] però comunque in generale state un pochino:
117	SP2	191.647	192.937	1.290	dando alla pazza gioia eh
118	SP1	193.160	194.240	1.080	ma io non sto dicendo
119	SP1	194.320	196.632	2.312	marco stai mangiando come il maiale
120	SP1	196.660	197.980	1.320	marco avrà diabete
121	SP1	198.000	200.060	2.060	sto dicendo marco entrambi
122	SP1	200.180	201.860	1.680	assumiamoci le responsabilità
123	SP1	202.260	203.830	1.570	che noi già viviamo in una terra
124	SP1	203.830	206.221	2.391	di merda che ci porta naturalmente
125	SP1	206.242	207.205	0.963	a morire prima
126	SP1	207.205	208.800	1.595	poi mangiamo anche molto male
127	SP2	208.805	210.305	1.500	però tipo ieri avete mangiato le [xxx]
128	SP3	209.795	211.180	1.385	[parla per] te io non abito qua
129	SP1	213.000	213.900	0.900	marco ma va cac
130	SP2	214.737	215.405	0.668	xxxx
131	SP3	215.195	216.220	1.025	si ma questo gay drama
132	SP3	216.240	217.140	0.900	non ho capito
133	SP3	217.305	217.979	0.674	co sta cosa che
134	SP3	220.963	222.510	1.547	per forza dobbiamo litigarci ogni volta
135	SP1	224.820	225.780	0.960	ma se vuoi
136	SP1	226.220	227.730	1.510	°(possiamo anche non litigarci più)°
137	SP1	229.758	230.599	0.841	a casa mia
138	SP3	230.605	231.284	0.679	((ride))
139	SP3	231.320	233.563	2.243	è già la trentesima volta che lo dici (ja) ((ride))
140	SP3	233.846	234.162	0.316	((ride))
141	SP3	234.740	236.584	1.844	lo sai che non è quello che voglio quindi:
142	SP1	237.500	239.610	2.110	°beh forse mi sono scocciato di stare [qua]°
143	SP3	239.295	241.420	2.125	[bravo] forse se tu ti sei scocciato ti riaccompagno
144	SP3	241.500	243.140	1.640	però se è per me lo sai che non è così
145	SP3	244.800	246.537	1.737	e evitiamo di continuare questo discorso
146	SP3	246.600	248.100	1.500	al momento che non mi sembra il caso
147	SP2	253.360	254.868	1.508	no anche perché mi deve venire il ciclo
148	SP2	254.900	256.510	1.610	mi metto a piangere se litigate
149	SP3	256.620	258.020	1.400	no amo mo ci prendiamo il gelato
150	SP3	258.020	259.395	1.375	così ti facciamo stare feli[ce]
151	SP1	259.310	259.658	0.348	[ec]co qua
152	SP2	260.389	262.232	1.843	aspetta xxxxxx digeriamo
153	SP1	262.216	263.500	1.284	sì mi fumo una sigaretta
154	SP2	263.540	265.363	1.823	va bene mi puoi portare anche il mio cellula-
155	SP2	265.500	268.200	2.700	ah stai qua va be'
156	SP1	268.200	268.860	0.660	ci serve urgente
157	SP2	269.500	270.640	1.140	no era giusto che andavi in coscienza
158	SP3	271.500	273.800	2.300	continuiamo una conversazione invece di stare con questi smartphone in mano
159	SP3	274.000	276.480	2.480	non mi dici che non è un amico raggiura
160	SP1	280.120	281.720	1.600	oggi a tavola bellissimo
161	SP1	281.920	283.640	1.720	roberto con lo smartphone da un lato
162	SP1	283.640	286.480	2.840	la nonna che si è messa con lo smartphone dall'altro
163	SP1	286.560	288.260	1.700	che leggeva cose
164	SP1	288.600	289.830	1.230	io non ho detto cose
165	SP1	289.830	291.500	1.670	è stato quasi surreale
166	SP1	291.500	294.120	2.620	vedermi con mia nonna che ho fidanzato con gli smartphone
167	SP1	294.120	295.460	1.340	io che li guardavo
168	SP3	295.680	297.680	2.000	però oggi la nonna
169	SP3	297.700	299.620	1.920	ha sforrato un sacco di perle
170	SP3	299.840	301.020	1.180	della sua
171	SP3	302.000	303.780	1.780	è stata molto interessante
172	SP2	306.800	307.620	0.820	queste storie
173	SP1	308.400	310.380	1.980	infatti secondo me dovrebbe raccontare
174	SP1	310.400	311.550	1.150	la storia della sua vita
175	SP1	311.550	313.080	1.530	dovrebbe scrivere un libro
176	SP1	313.500	314.800	1.300	si ma che intensa
177	SP1	315.500	316.980	1.480	questo non te l'ho detto prima
178	SP1	317.500	319.460	1.960	ma lei ha scritto un sacco di poesie
179	SP1	319.500	321.600	2.100	molto autobiografiche ovviamente
180	SP1	322.020	323.500	1.480	ma ha scritto davvero tante poesie
181	SP1	323.500	325.590	2.090	una delle quale gli hanno pubblicato tempo fa
182	SP1	325.590	328.420	2.830	una raccolta di poesie
183	SP1	330.120	330.520	0.400	c'era anche la sua
184	SP1	330.780	331.340	0.560	e comunque
185	SP1	333.580	334.540	0.960	oggi mentre raccontava le cose
186	SP1	334.540	336.480	1.940	all'improvviso è iniziato
187	SP1	336.940	338.240	1.300	recitando le poesie che ha scritto
188	SP1	338.520	339.360	0.840	varie
189	SP1	339.900	341.840	1.940	3 o 4 ce ne ha recitate
190	SP1	341.840	344.130	2.290	infatti io ho detto la prossima volta che andato
191	SP1	344.130	346.220	2.090	me le devo far trovare perché le voglio leggere
192	SP1	346.320	348.480	2.160	ma non è una bella
193	SP1	349.380	350.020	0.640	è perché le scritte lei
194	SP1	350.700	351.580	0.880	sono comunque
195	SP2	352.780	353.510	0.730	hanno un significato
196	SP2	353.510	356.010	2.500	quindi è difficile che te le dimenti
197	SP1	356.010	356.640	0.630	tipo quella del tramonto
198	SP2	358.000	359.930	1.930	mamma mia piango
199	SP3	359.930	361.040	1.110	infatti si vedeva
200	SP3	363.460	364.180	0.720	per lei secondo me
201	SP3	364.180	366.540	2.360	il momento più brutto della sua vita
202	SP3	367.140	368.280	1.140	è stato perdere sua figlia
203	SP3	370.000	370.480	0.480	si vede proprio
204	SP3	371.060	371.770	0.710	che dopo quel momento
205	SP3	371.770	374.060	2.290	la sua vita
206	SP1	374.060	376.500	2.440	infatti non è venuto neanche a parlare oggi
207	SP1	376.500	377.920	1.420	ci ha parlato di tutto di cose bruttissime
208	SP1	377.920	378.720	0.800	ma della morte della figlia no
209	SP3	379.500	380.680	1.180	cosa che parla al fine
210	SP3	383.960	384.480	0.520	erano divertenti
211	SP1	385.740	386.480	0.740	divertenti si
212	SP1	386.480	388.160	1.680	divertenti si però essere chiuso in manicomio
213	SP1	388.160	388.640	0.480	sai come
214	SP2	389.500	392.380	2.880	no quello è infatti scomvolgente
