tu_id	speaker	start	end	duration	text
0	SP1	0.530	3.370	2.840	m:h xx secondo me infatti il fatto che è aumentato il turismo
1	SP1	3.950	6.058	2.108	ha impattato molto anche [xx gli affitti]
2	SP2	5.050	6.058	1.008	[eh può essere]
3	SP2	6.400	7.191	0.791	è vero è vero
4	SP1	7.216	10.183	2.967	perchè: dicevano che molte persone molti::
5	SP1	10.310	13.342	3.032	proprietari hanno messo le case su airb and b
6	SP1	13.960	15.063	1.103	per per il turis[mo]
7	SP2	14.927	15.420	0.493	[mh]mh
8	SP1	16.293	18.556	2.263	e tutte queste case sono state tolte dal mercato
9	SP1	18.767	20.400	1.633	della gente che ci deve vivere insom[ma]
10	SP2	20.120	21.221	1.101	[mh]mh è vero
11	SP1	21.340	24.922	3.582	quindi sicuramente il turismo ha influito anche su questo:: questa cosa qua
12	SP1	26.240	26.728	0.488	però
13	SP1	26.840	27.920	1.080	capisco anche che vogliano
14	SP2	28.040	30.155	2.115	eh sì [xxxx] sì sì sì
15	SP1	28.540	29.807	1.267	[incentivare il turismo]
16	SP2	30.553	30.896	0.343	[e]
17	SP1	30.553	30.887	0.334	[però]
18	SP2	31.040	35.599	4.559	e invece per quanto riguarda il lavoro pensi che sia un buon posto in cui lavorare
19	SP2	36.220	39.173	2.953	[c(io)è sì secon]do te si trova lavoro [o::]
20	SP1	36.233	37.133	0.900	[ehm]
21	SP1	38.553	42.791	4.238	[ah] okay come s[ì no a bolo]gna sicuramente: secondo me
22	SP2	39.710	40.320	0.610	[mhmh]
23	SP1	43.290	45.508	2.218	ha molte opportunità: lavorative
24	SP1	45.850	46.530	0.680	m:h
25	SP1	46.910	50.845	3.935	rispetto a mh ad esempio forlì adesso prendiamo forlì come riferimento [però]
26	SP2	50.450	50.837	0.387	[mhmh]
27	SP1	51.770	56.145	4.375	c'è sicuramente molta più offerta lavorativa su bologna perchè:
28	SP1	57.420	61.463	4.043	un po' e:hm ci sono molte industrie poi dipende uno che cosa fa
29	SP1	61.590	62.082	0.492	però
30	SP1	62.490	63.592	1.102	c'è::
31	SP1	63.793	67.430	3.637	c'è sia l'industria: è la regione poi della motor valley
32	SP1	67.500	70.007	2.507	sai ci sono tutte le azien[de: dei motori]
33	SP2	68.640	70.000	1.360	[mh sì sì sì sì]
34	SP1	70.320	72.858	2.538	in quella zona lì poi anche più verso modena in realtà
35	SP1	73.050	73.655	0.605	però
36	SP1	74.427	75.528	1.101	e:hm
37	SP1	76.393	81.469	5.076	secondo me c'è un po' di tutto comunque anche a livello umanistico qualcosa si si tro[va] a bologna
38	SP2	80.430	80.919	0.489	[mhmh]
39	SP1	82.620	86.486	3.866	e:h io poi ho trovato lavoro tramite un concorso quin[di::]
40	SP2	85.720	86.910	1.190	[ah okay] mhmh
41	SP1	86.940	88.769	1.829	mh quello magari::
42	SP1	88.850	90.660	1.810	>è diverso< però anche nel pubblico
43	SP1	90.710	93.148	2.438	probabilmente a bologna c'è molto di più rispett[o:]
44	SP2	92.900	94.119	1.219	[ma]gari più post[i:]
45	SP1	94.050	95.960	1.910	[sì] esa[tto poi] l'università di bologna
46	SP2	94.607	94.973	0.366	[mhmh]
47	SP1	96.660	98.785	2.125	mh ha cioè diciamo che
48	SP1	99.040	100.898	1.858	porta tanto lavoro in tanti modi
49	SP2	100.900	101.386	0.486	mh[mh]
50	SP1	101.150	101.736	0.586	[sec]ondo me
51	SP1	103.610	105.727	2.117	°e quindi sì sicuramente°
52	SP1	105.780	108.200	2.420	°ci sono buone opportunità secondo me a bologna°
53	SP1	109.210	111.864	2.654	in tutta la regione penso [che sia la c]ittà in cui
54	SP2	110.440	110.945	0.505	[mhmh]
55	SP1	111.950	113.262	1.312	in cui si trova più [lavoro]
56	SP2	112.760	113.222	0.462	[meglio]
57	SP1	113.570	113.850	0.280	°sì°
58	SP2	113.573	116.000	2.427	[mh] e quindi tu di cosa ti occupi a:
59	SP1	116.053	118.510	2.457	allora io e:h lavoro nell'ufficio
60	SP1	118.620	121.135	2.515	e:h relazioni internazionali dell'università di bologna,
61	SP1	121.920	122.909	0.989	in particolare
62	SP1	123.100	125.745	2.645	in uf- in un ufficio che si chiama international desk,
63	SP1	126.540	132.778	6.238	che si occupa di dare supporto e orientamento agli studenti internazionali che vengono a iscriversi all'università di bologna
64	SP2	132.860	133.349	0.489	mhmh
65	SP1	133.388	136.561	3.173	quindi che fanno l'intero percorso triennale magistrale
66	SP1	137.550	139.993	2.443	e principalmente diamo supporto per
67	SP1	140.660	141.710	1.050	e::hm
68	SP1	141.830	145.178	3.348	o- o- mh orientamento sul processo proprio d'iscrizione
69	SP1	145.230	146.121	0.891	cosa fare
70	SP1	146.570	147.680	1.110	da dove partire ma
71	SP1	147.750	151.307	3.557	poi nel dettaglio in particolare sulle questioni che riguardano l'immigrazione
72	SP2	151.510	152.568	1.058	ah [mhmh]
73	SP1	151.880	154.790	2.910	[quin]di su come [ottenere un] visto,
74	SP2	153.400	154.092	0.692	[che bello]
75	SP1	154.840	156.451	1.611	come fare il permesso di soggiorno
76	SP1	156.840	159.067	2.227	e:h diamo informazioni sui titoli esteri
77	SP1	159.140	159.523	0.383	cosa
78	SP1	159.583	163.160	3.577	che documenti devono presentare per iscriversi con un titolo di studio estero
79	SP1	163.920	166.960	3.040	e: insomma queste cose: queste cose qui principalmente
80	SP1	167.840	168.753	0.913	e:h[m]
81	SP2	168.548	170.760	2.212	[hai] sempre fatto questo lavoro oppure:
82	SP1	171.007	172.551	1.544	allora dopo la laurea,
83	SP1	172.667	175.162	2.495	io mi son laureata nel duemiladiciassette
84	SP1	176.150	179.192	3.042	ho fatto e:h sei mesi in un azienda
85	SP1	179.980	182.185	2.205	e:hm che faceva mh
86	SP1	182.987	184.147	1.160	tende frangisole
87	SP2	184.373	184.751	0.378	mhmh
88	SP1	185.133	187.043	1.910	e:h come commerciale estero
89	SP1	187.140	187.525	0.385	tipo
90	SP1	188.420	190.947	2.527	però mh non mi è pia- non mi piaceva:
91	SP1	191.330	196.524	5.194	mh in particolare l'ambiente anche il lavoro in sè mh non mi faceva impazzire ma poi l'ambiente mh non era:
92	SP2	196.720	197.326	0.606	mhmh
93	SP1	197.320	199.099	1.779	particolarmente salutare
94	SP2	198.640	199.523	0.883	((ride))
95	SP1	199.170	202.716	3.546	e quindi quando è finito questo tirocinio di sei mesi poi dopo non [ho:]
96	SP2	202.370	203.476	1.106	[hai] abbando[nato]
97	SP1	202.770	204.083	1.313	[non ho] abbandonato
98	SP1	204.770	205.778	1.008	e::h
99	SP1	206.480	209.388	2.908	>poi< ho avuto un momento in cui dicevo cosa faccio della mia vita ((ride))
100	SP2	208.540	209.557	1.017	((ride))
101	SP1	209.430	211.551	2.121	questo classico momento che prima o poi arriva
102	SP1	212.200	213.085	0.885	e::hm
103	SP1	213.340	218.269	4.929	ho fatto ho iniziato facendo un tutorato al- sempre all'università
104	SP1	219.233	220.519	1.286	come: mh
105	SP1	221.260	224.273	3.013	tutor internazionale di un dipartimento
106	SP1	225.050	225.931	0.881	perchè premessa
107	SP1	226.140	227.639	1.499	durante la magistrale
108	SP1	228.100	232.840	4.740	avevo fatto e:h un tutorato (.) nell'ufficio relazioni internazio[nali dove adesso] lavoro
109	SP2	231.730	232.320	0.590	[mhmh]
110	SP1	233.847	237.192	3.345	son dei: dei lavori che posson fare gli studenti: tot ore
111	SP1	237.920	239.006	1.086	e: e quindi
112	SP1	239.193	244.118	4.925	siccome mi era piaciuta quell'esperienza che avevo fatto lì avevo detto eh proviamo a tornare a fare qualcosa all'università
113	SP1	244.660	246.329	1.669	quindi avevo fatto questo: mh
114	SP1	246.410	248.680	2.270	tutorato da laureata a [quel punto]
115	SP2	248.050	248.680	0.630	[mhmh]
116	SP1	249.653	252.223	2.570	mentre stavo facendo questo è uscito un concorso
117	SP1	252.660	254.879	2.219	specifico per le relazioni internazionali
118	SP1	255.440	256.234	0.794	e::h
119	SP1	256.310	261.640	5.330	e quindi l'ho fatto e son stata presa e [dopo ho lasciato il tutorato e ho iniziato] a fare ho iniziato a fare quello poi
120	SP2	258.300	259.917	1.617	[mhmh ah che bello]
121	SP1	261.810	263.447	1.637	ho fatto vari concorsi perchè
122	SP1	263.653	266.413	2.760	il primo che ho vinto era un concorso determinato
123	SP1	267.693	270.470	2.777	poi l'anno dopo ne ho fatto uno indeterminato,
