tu_id	speaker	start	end	duration	text
0	SP1	3.258	3.570	0.312	ue
1	SP2	6.314	6.602	0.288	°thank you°
2	SP2	15.446	16.160	0.714	meglio col sale?
3	SP1	17.624	18.005	0.381	eh sì
4	SP2	19.649	19.955	0.306	verso?
5	SP3	20.702	21.405	0.703	sì grazie
6	SP1	22.087	22.696	0.609	((ride))
7	SP2	23.057	24.001	0.944	tu vuoi rosa un po' di vi~?
8	SP1	24.011	24.687	0.676	no grazie amo'
9	SP2	24.760	25.915	1.155	un bicchierino così no?
10	SP2	26.469	27.420	0.951	per fare compagnia?
11	SP1	27.573	29.392	1.819	no: mo no magari durante la serata ja
12	SP2	29.416	30.000	0.584	okay ja
13	SP3	30.140	31.278	1.138	ma meglio se non lo beve
14	SP2	31.295	32.092	0.797	ma vuoi registrare?
15	SP2	33.032	33.489	0.457	registra ja
16	SP3	33.652	34.297	0.645	sto registrando
17	SP1	34.646	35.177	0.531	a:h già:?
18	SP2	37.829	38.163	0.334	ops
19	SP1	38.177	38.524	0.347	x[x]
20	SP2	38.239	38.549	0.310	[xx]
21	SP1	38.618	38.998	0.380	bra::
22	SP2	41.504	42.405	0.901	m:h comunque
23	SP2	45.090	45.813	0.723	a me piacciono
24	SP1	46.318	46.705	0.387	pure a me
25	SP1	48.083	49.575	1.492	però voglio assaggiare pure questa roba
26	SP2	50.050	51.583	1.533	un po' di sale sopra ci voleva
27	SP2	52.053	52.775	0.722	effettivamente
28	SP1	53.449	55.107	1.658	eh no sì era un po' indietro di sale
29	SP2	55.832	56.087	0.255	m:h
30	SP2	56.567	56.795	0.228	ma
31	SP1	57.238	57.711	0.473	[°ahia°]
32	SP2	58.100	60.205	2.105	l'ho messo sia quando le abbiamo[:::]
33	SP1	59.610	61.468	1.858	[eh no ma ti ho vi]sto [che quando xx]
34	SP2	60.604	61.748	1.144	[strizzate dicia]mo
35	SP2	62.302	63.655	1.353	sia poi:: nell'impasto [ma]
36	SP1	63.528	64.866	1.338	[eh] ma quello secondo me [xxx]
37	SP2	64.355	65.713	1.358	[UA che ]buono odore questo pesto
38	SP1	66.610	67.207	0.597	è quello di mamma
39	SP2	67.339	67.818	0.479	l'ha fatto lei?
40	SP1	68.014	68.313	0.299	sì sì
41	SP2	68.489	69.626	1.137	ma col basilico del giardino?
42	SP1	69.670	69.802	0.132	°sì°
43	SP2	70.070	70.439	0.369	m::h
44	SP3	70.681	72.557	1.876	ma questo è fatto con la nostra pasta sfoglia?
45	SP1	72.699	73.137	0.438	[sì]
46	SP2	72.700	73.139	0.439	[sì]
47	SP2	73.973	74.732	0.759	CHE ERA [VEGA]NA
48	SP3	74.086	74.426	0.340	[e che c~]
49	SP3	75.543	76.376	0.833	e che c'ha messo xx?
50	SP1	76.988	77.702	0.714	solo il pesto
51	SP3	78.267	78.502	0.235	ah
52	SP1	80.550	81.247	0.697	non ti piace?
53	SP3	82.889	83.621	0.732	#no sape e niente sì
54	SP2	83.644	84.907	1.263	((ride))
55	SP1	85.122	85.582	0.460	adoro
56	SP2	85.647	86.715	1.068	((ride))
57	SP1	86.715	89.003	2.288	no intendevo il pesto in generale non ti piace?
58	SP1	90.180	92.055	1.875	[(dico)] comunque è vero il pesto non è mo[lto saporito]
59	SP3	90.186	90.505	0.319	[AH]
60	SP3	91.293	92.755	1.462	[ah il pesto] l'ha fatto lei
61	SP3	93.715	94.323	0.608	cioè tua madre
62	SP1	94.765	95.056	0.291	m:h
63	SP2	95.840	100.008	4.168	>secondo me< si ste~ x pu~ due pomodorini dentro [gli davi un po' di sal]sa in più però mo assaggio e ti dico
64	SP1	97.673	98.454	0.781	[ce:rto]
65	SP3	98.352	98.505	0.153	[NO]
66	SP3	100.428	101.321	0.893	il pesto è buono
67	SP3	105.154	108.602	3.448	dico:: (.) proprio in generale la preparazione è un po:: scial[ba]?
68	SP1	108.411	109.255	0.844	[po::]vera sì:
69	SP2	111.317	111.500	0.183	m:h
70	SP2	112.711	113.481	0.770	però ha il suo perché
71	SP2	116.471	117.455	0.984	perché l'hai fatto rosa'?
72	SP1	117.561	117.988	0.427	<perché>
73	SP1	119.906	121.480	1.574	sì si doveva usare la pasta sfoglia
74	SP2	121.555	122.002	0.447	((ride))
