tu_id	speaker	start	end	duration	text
0	SP1	0.100	1.977	1.877	ci sono delle università?
1	SP2	2.500	6.800	4.300	sì no [è vero in città] e un po' più in città [(c'è) tutto]
2	SP1	2.900	4.395	1.495	più nella capital-
3	SP1	5.000	7.000	2.000	[ok {P} ok] ok [e:]
4	SP2	6.890	7.600	0.710	di: em capitale
5	SP1	7.790	11.803	4.013	in capitale ok [e se devi:] °son che°
6	SP2	8.600	9.275	0.675	suono ni..
7	SP2	13.710	15.400	1.690	vabbè adesso faccio finire
8	SP1	15.590	16.175	0.585	°si°
9	SP1	19.700	20.710	1.010	andava abbastanza bene no?
10	SP3	21.200	21.390	0.190	sì
11	SP1	21.500	23.506	2.006	proviamo a vedere se em:
12	SP1	25.600	27.600	2.000	allora dimmi la capitale è molto gra[nde]?
13	SP2	26.990	33.253	6.263	la capitale molto grande e: trecento sei virgola quattro e: chilometri quadr[ati]
14	SP1	32.700	34.500	1.800	[ok] e po[pola]zione?
15	SP2	33.490	33.700	0.210	in
16	SP2	34.700	39.036	4.336	e: quattordici milioni {P} >[quattordici< punto quattro milioni]
17	SP1	37.100	37.477	0.377	[EH]
18	SP1	38.610	42.600	3.990	[ceh] a bologna è trecento cinquantacinque mila persone [eh] {ride}
19	SP2	41.200	45.000	3.800	da trecento [cinquanta] mila ma devo essere quanto grande bologna
20	SP1	45.440	54.000	8.560	non so di chilometri quadrati però {P} {ride} decisamente più grande di [>bologna<] ma infatti mi sembrava impossibile ma [il ragazzo ieri insisteva e ancora]
21	SP2	52.100	55.213	3.113	[e guarda che bolognia è cento quattr]- cento quaranta
22	SP1	54.700	55.991	1.291	[EH sì:]
23	SP2	55.510	63.200	7.690	cento quaranta virgola nove chilometri quadrati che se parliamo fino a da: am: dove di pilastro
24	SP1	63.310	63.684	0.374	m: m:
25	SP2	63.882	65.610	1.728	fino a: di: m:
26	SP1	65.700	68.968	3.268	tipo casalecchio e [la barca sì sì sì]
27	SP2	66.900	69.300	2.400	[sì {P} sì proprio sì casalecchio]
28	SP1	69.100	70.000	0.900	[sì sì sì]
29	SP2	69.610	75.900	6.290	[tipo proprio] il quadrato di: dentro c'ha proprio quel chel m: quel che comune di bologna esempio
30	SP1	75.990	76.500	0.510	m: m:
31	SP2	76.500	83.112	6.612	però ef: non è il fuori che hanno cont[ato ceh proprio la città] e il capitale [che entrata] c'è proprio
32	SP1	79.110	80.110	1.000	[sì sì certo]
33	SP1	80.700	81.200	0.500	[sì sì sì]
34	SP1	82.490	90.282	7.792	sì sì certo no ma io- a me sembrava inpossibile che una città italiana neanche la capitale fosse grande come [la capitale]
35	SP2	83.610	83.897	0.287	mm
36	SP2	88.900	98.600	9.700	[beh no è come più-] g- ce come grande della venezia che venezia è una città bella grande quattrocento quatto- e: <quattrocento> quattordici metri quadrati
37	SP1	98.700	107.053	8.353	ma che em: perché conteranno tutta la provincia [perché vene]zia città è un'isoletta grande [così praticamente {ride} sì]
38	SP2	101.400	101.900	0.500	[sì
39	SP2	103.690	110.477	6.787	[eh assolutamente poi] se andiamo ancora un po' avanti ci sono colli che non [non contano neanche]
40	SP1	109.000	119.200	10.200	[no no infatti] no ma mi sembrava strano [infatti ma] e quindi mi dicevi che nella zona della tua famiglia ci sono delle iniz- delle iniziative cultur[ali? delle:]
41	SP2	112.700	113.069	0.369	[sì]
42	SP2	119.210	120.394	1.184	[sì] {P} [sì]
43	SP1	119.800	125.143	5.343	[o el dei siti storici] o che cosa ancheo? [archeologici]?
44	SP2	120.900	122.693	1.793	[ma adesso guarda °che sono°]
45	SP2	123.410	124.510	1.100	[no sì (ves-)]
46	SP2	125.390	141.400	16.010	guarda che lA: e: sì: proprio: m: ci sono la città un po' un po' più accultu[rata poi adesso guarda che] è un po' già persa un po': che andava di ceh vivere la città che adesso tutti quanti che sta perdendo lavoro °è così°
47	SP1	132.200	134.614	2.414	[ok punto un po' culturale ok]
48	SP1	141.490	141.910	0.420	la?
49	SP2	142.100	142.581	0.481	là
50	SP1	142.700	144.300	1.600	ok {P} ma [c'è]
51	SP2	143.200	150.000	6.800	[sì ce tutti]tutti stanno adesso ritornando come la città ce andato verso la città poi è andata a vivere (luogo sì)
52	SP1	146.900	155.490	8.590	mmm ok ce si spostano dalle zone ok ho capito ce c'è uno spostamento delle persone verso le città grandi per lavorare
53	SP2	150.200	150.410	0.210	sì
54	SP2	153.610	155.010	1.400	verso le cittè è vero
55	SP2	155.290	155.774	0.484	sì
56	SP1	155.910	163.728	7.818	sì sì è chiaro è chiaro sì sì certo ma vengono anche molti persone del bangladesh i- in- in europa per cercare lavoro?
57	SP2	156.300	157.600	1.300	[per vivere meglio eh]
58	SP1	163.800	164.278	0.478	[perché]
59	SP2	163.910	183.086	19.176	tutto il mondo che guarda che ci sono un mucchio di gente che stanno cer- guarda che bangladesh se parliamo che: e:
60	SP1	182.600	183.200	0.600	ok:
