tu_id	speaker	start	end	duration	text
0	SP1	0.460	5.100	4.640	e:m: di- infatti il fatto che ha aumentato il turismo ha impattato molto anche il tipo degli affari
1	SP2	5.100	6.900	1.800	eh può essere e' vero è vero
2	SP1	7.220	14.940	7.720	perché dicevano che molte persone molti: proprietari hanno messo le case su airbnb {P} per il turismo
3	SP2	15.000	15.684	0.684	m: m:
4	SP1	16.239	20.400	4.161	e tutte queste case sono state tolte dal mercato della gente che ci deve vivere insomma
5	SP2	20.400	21.390	0.990	e' vero
6	SP1	21.390	24.860	3.470	quindi sicuramente il turismo ha influito anche su questo: questa cosa qua
7	SP1	26.280	30.500	4.220	però capisco anche che vogliano comunque incentivare il turismo {ride} però
8	SP2	27.900	29.820	1.920	eh sì sì sì sì
9	SP2	30.910	35.480	4.570	e invece per il quanto riguarda il lavoro pensi che sia un buon posto in cui lavorare
10	SP2	36.140	38.280	2.140	cioè secondo te si trova lavoro:?
11	SP1	38.620	39.570	0.950	ah ok come:
12	SP1	39.570	48.790	9.220	sì no bologna sicuramente: secondo me ha molte opportunità lavorative rispetto ad esempio a forlì
13	SP1	48.790	55.160	6.370	adesso prendiamo forlì come riferimento però {P} c'è sicuramente molta più offerta lavorativa su bologna
14	SP1	55.200	64.959	9.759	perché: {P} un po' ci sono molte industrie poi dipende uno che cosa fa però c'è: sia l'industria
15	SP1	65.160	71.140	5.980	e la regione poi del motor valley sai ci sono più delle aziende di motori in quella zona lì
16	SP2	68.600	70.089	1.489	e: sì sì sì
17	SP1	71.140	77.710	6.570	poi anche più verso modena in realtà però e: secondo me c'è un po' di tutto comunque
18	SP1	77.710	81.500	3.790	anche a livello umanistico qualcosa sì si trova a bologna
19	SP1	82.700	89.330	6.630	e: io poi ho trovato lavoro tramite un concorso quindi quello magari è di piacere
20	SP2	85.909	87.298	1.389	ah ok m: m:
21	SP1	89.330	93.020	3.690	però anche nel pubblico probabilmente a bologna c'è molto di più rispetto
22	SP2	93.020	94.120	1.100	magari più posti
23	SP1	94.120	101.720	7.600	sì esatto l'università di bologna diciamo che {P} porta tanto lavoro in tanti modi secondo me
24	SP1	103.591	110.240	6.649	e: quindi sì so sicuramente ci sono buone opportunità secondo me bologna in tutta la regione
25	SP1	110.240	112.770	2.530	penso che sia la città in cui si trova più lavoro
26	SP2	112.770	115.560	2.790	[meglio] e quindi tu di cosa ti occupi?
27	SP1	116.100	121.200	5.100	allora io lavoro nell'ufficio relazioni internazionali dell'università di bologna
28	SP1	121.980	128.380	6.400	in particolare in un ufficio che si chiama international desk che si occupa di dare supporto
29	SP1	128.440	132.880	4.440	e orientamento agli studenti internazionali che vengono a iscriversi all'università di bologna
30	SP2	133.018	133.397	0.379	m: m:
31	SP1	133.460	139.760	6.300	quindi che fanno un intero percorso trinale magistrale e principalmente diamo supporto per
32	SP1	140.080	147.400	7.320	e: op- o- o- orientamento sul processo proprio di iscrizione cosa fare, da dove partire,
33	SP1	147.440	151.340	3.900	ma poi nel dettaglio in particolare sulle questioni che riguardano l'immigrazione
34	SP2	151.400	152.300	0.900	ah, m: m:
35	SP1	152.180	159.130	6.950	quindi su come ottenere un visto come fare per il suo giorno diamo informazioni sui titoli esteri
36	SP2	153.300	154.086	0.786	[che bello]
37	SP1	159.130	163.080	3.950	cosa: che documenti devono presentare per iscriversi con un titolo di studio estero
38	SP1	164.140	166.820	2.680	e insomma queste cose queste cose qui principalmente
39	SP1	167.800	168.481	0.681	em:
40	SP2	168.509	170.440	1.931	hai sempre fatto questo lavoro oppure?
41	SP1	170.980	179.080	8.100	allora dopo la laurea io mi sono laureato nel duemiladiciassette {P} ho fatto sei mesi in un'azienda
42	SP1	179.600	192.060	12.460	e: che faceva: tende frangisole come commerciale estero tipo però non mi piaceva in particolare l'ambiente
43	SP1	192.660	198.460	5.800	anche il lavoro in sé non mi faceva impazzire ma poi l'ambiente non era {ride} particolarmente saltare
44	SP2	196.600	197.381	0.781	m m:
