tu_id	speaker	start	end	duration	text
0	SP1	0.000	1.143	1.143	vabbè era leggera però
1	SP2	1.943	2.357	0.414	alla [fine]
2	SP3	2.043	2.946	0.903	[no no] è vero
3	SP2	3.055	3.208	0.153	sì
4	SP2	4.240	5.177	0.937	non era pesantissima
5	SP1	6.403	7.662	1.259	per niente [(anzi)]
6	SP2	7.190	9.658	2.468	[l'unica cosa] ho esagerato un po' con l'olio forse però
7	SP1	10.726	12.212	1.486	ma nell'impasto? no fuori
8	SP2	12.337	12.620	0.283	fuori
9	SP2	12.813	14.330	1.517	nell'impasto ce [ne ho messo il giu]sto
10	SP3	13.309	13.957	0.648	[nella padella]
11	SP2	14.649	15.405	0.756	però in padella
12	SP2	16.853	19.075	2.222	rosa ha detto metti: quello là l'olio da friggere
13	SP2	19.412	20.318	0.906	così vengono meglio
14	SP2	20.790	21.550	0.760	ho detto okay
15	SP2	22.128	25.352	3.224	e ho fatto però praticamente xxx messo::
16	SP2	25.545	27.939	2.394	cioè tutt~ tutto il fondo della padella era pieno d'olio
17	SP2	29.274	32.640	3.366	io volevo mettere un filo sai per farli venire: {P} mezzi tra
18	SP2	34.751	37.443	2.692	cioè cotti: nella padella unta invece
19	SP2	38.722	41.092	2.370	i primi sono venuti un po' deep [fried qua]si {ride}
20	SP1	40.063	40.613	0.550	[°fritti°]
21	SP1	43.170	43.471	0.301	{tossisce}
22	SP1	43.700	47.107	3.407	beh oggi abbiamo fatto colazione co~ pa~ pancake con nutella
23	SP2	47.678	49.177	1.499	è rimasto un altro pancake se vuoi
24	SP3	49.447	50.793	1.346	u::h [ma quanti ne avete fa~]?
25	SP2	49.644	51.578	1.934	[mangiati tu il pancake e io mi mangio il] gelato che ne dici
26	SP2	52.693	53.314	0.621	{ride}
27	SP1	52.726	54.480	1.754	mo to [chiavo n' faccia] stu pancake
28	SP3	52.997	53.760	0.763	[stronzo]
29	SP1	55.545	57.915	2.370	poi che è rimas~ poi abbiamo mangiato
30	SP2	58.179	59.307	1.128	[io [a pranzo ho esagerato]
31	SP1	58.221	59.436	1.215	[tanto da tua non]na
32	SP1	60.263	62.292	2.029	quatt gilat sa mangiat 'stu puorco
33	SP2	62.367	66.381	4.014	quattro gelati è esa~ non è vero xx >A PARTE IL FATTO CHE< abbiamo mangiato la STESSA quantità di gelato
34	SP1	67.215	68.185	0.970	tu ne hai mangiati di più
35	SP2	68.234	69.006	0.772	NO ALBERTO
36	SP1	69.343	73.305	3.962	hai mangiato il pan di stelle, hai mangiato quello al caramello, e ne hai mangiato un a[ltro]
37	SP2	72.925	74.303	1.378	[no] non l'ho mangiato un altro
38	SP2	75.242	77.363	2.121	ho ma~ perché nonna aveva comprato quei pan di ste[lle]
39	SP1	76.977	78.381	1.404	[vabbè sei un] maia[le hai mangiato]
40	SP2	77.678	78.442	0.764	[che erano buoni]
41	SP2	78.694	80.731	2.037	sì e pure tu sei un maiale però [ti sto dicendo]
42	SP1	79.917	82.396	2.479	[hai mangiato due sal]sicce [e un sa]cco di fria[rielli]
43	SP2	81.126	81.440	0.314	[perché]
44	SP2	81.959	83.649	1.690	[perché prati]camente la nonna a[veva comprato]
45	SP3	83.139	83.968	0.829	[buoni i friarie]lli
46	SP2	83.970	87.143	3.173	questi: gelati: pan di stelle che erano quelli là tipo a biscotto
47	SP2	87.403	89.896	2.493	che ce n'erano DUE in una:: [bustina]
48	SP3	89.172	90.134	0.962	[quindi avete fatto uno e u]no
49	SP2	90.256	92.744	2.488	io ho detto voglio questo però voglio anche quello al caramello
50	SP2	92.992	99.415	6.423	quindi ho mangiato UNO DI QUELLI e ho dato L'ALTRO a lui e ho mangiato quello al caramello la stessa quantità che ha mangiato lui uguale identico
51	SP2	99.950	102.108	2.158	quindi la cosa che adesso io sono il porco e tu no
52	SP2	102.828	103.664	0.836	lasci[amo stare]
53	SP3	103.017	107.851	4.834	[vabbuò comunque] in generale per una giornata:: c'è stato tanto cibo un po' chiatto
54	SP2	107.953	109.332	1.379	ma è domenica è festa
55	SP3	109.464	110.524	1.060	[eh lo so però::]
56	SP2	109.512	110.258	0.746	[lo sanno tutti]
57	SP1	110.539	114.112	3.573	[m]:h chiediamolo al diabete di terzo tipo che avremo tra un paio di anni
58	SP3	115.864	117.283	1.419	tra un [paio di anni]
59	SP2	116.190	118.369	2.179	[sì perché tutti i giorni] mangio così ovviamente?
60	SP3	120.451	120.910	0.459	[lite:]
61	SP2	120.451	122.440	1.989	[marò che] nervosamente mi fa ven[ire]
62	SP3	122.155	123.999	1.844	[vabbè s'è] mangiato l'insalata ieri eh
63	SP2	124.161	125.642	1.481	IERI HO MANGIATO L'INSALATINA
64	SP2	126.800	127.908	1.108	{ride}
65	SP3	127.974	129.655	1.681	no non mi guardare così che ha detto
66	SP2	129.697	130.794	1.097	d[evo mettere l'olio dentro]
67	SP1	129.764	133.006	3.242	[vuoi sapere che c'era n]ell'insalatina dentro l'insalati~> c'erano [i <cub]etti>
68	SP3	131.520	132.141	0.621	[che c'era]?
69	SP3	133.010	135.086	2.076	di formaggio e [di salame l'ha <detto>]
70	SP1	133.556	137.629	4.073	[<di provolone e i cu]betti di sa~ e ti sembra un'isalatina
71	SP3	136.955	143.400	6.445	vabbè però jà non è che ha esagerato sono degli affettati con l'insalata cioè è un pranzo: [m:h secondo me] non trop[po:]
72	SP2	141.944	142.496	0.552	[allora rosa]
73	SP2	142.980	145.619	2.639	[te lo giu]ro ti ti fidi di me quando ti ti dico una cosa? cioè non dic~ non ti ho mai detto una bugia in vita mia a te
74	SP2	145.869	147.885	2.016	cioè non dic~ non ti ho mai detto una bugia in vita mia a te
75	SP2	148.649	148.893	0.244	allò
76	SP2	150.549	151.418	0.869	ho messo MEZZA
77	SP2	151.882	152.946	1.064	cosa di iceberg
