tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	SP1	0.1	1.977	1.877	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	ci sono delle università?	ci sono delle università?	ci sono delle università
1	SP2	2.5	6.8	4.3	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	15	sì no [è vero in città] e un po' più in città [(c'è) tutto]	sì no [è vero in città] e un po' più in città [(c'è) tutto]	sì no è vero in città e un po' più in città c' è tutto
2	SP1	2.9	4.395	1.495	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	1=1.495	False	0	0	0	3	più nella capital-	più nella capital-	più nella capital-
3	SP1	5.0	7.0	2.0	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	4	[ok (.) ok] ok [e:]	[ok {P} ok] ok [e:]	ok {P} ok ok e
4	SP2	6.89	7.6	0.71	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	3=0.110	False	0	0	0	3	di: em capitale	di: em capitale	di em capitale
5	SP1	7.79	11.803	4.013	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	in capitale ok  [e se devi:] °son che°	in capitale ok [e se devi:] °son che°	in capitale ok e se devi son che
6	SP2	8.6	9.275	0.675	True	False	0	0	0	0	0	0	0	1	False	False	False	False	True	5=0.675	False	0	0	1, ni..	1	suono n.i.	suono ni..	suono ni..
7	SP2	13.71	15.4	1.69	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	vabbè adesso faccio finire	vabbè adesso faccio finire	vabbè adesso faccio finire
8	SP1	15.59	16.175	0.585	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	°si°	°si°	si
9	SP1	19.7	20.71	1.01	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	andava abbastanza bene no?	andava abbastanza bene no?	andava abbastanza bene no
10	SP3	21.2	21.39	0.19	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	sì	sì	sì
11	SP1	21.5	23.506	2.006	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	proviamo a vedere se em:	proviamo a vedere se em:	proviamo a vedere se em
12	SP1	25.6	27.6	2.0	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	7	allora dimmi la capitale è molto gra[nde?]	allora dimmi la capitale è molto gra[nde]?	allora dimmi la capitale è molto grande
13	SP2	26.99	33.253	6.263	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	12=0.610,14=0.553	True	0	0	0	12	la capitale molto grande e: trecento sei virgola quattro e: chilometri  quadr[ati]	la capitale molto grande e: trecento sei virgola quattro e: chilometri quadr[ati]	la capitale molto grande e trecento sei virgola quattro e chilometri quadrati
14	SP1	32.7	34.5	1.8	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	[ok] e po[pola]zione?	[ok] e po[pola]zione?	ok e popolazione
15	SP2	33.49	33.7	0.21	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	14=0.210	False	0	0	0	1	in	in	in
16	SP2	34.7	39.036	4.336	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	17=0.377,18=0.426	True	1	0	0	7	e: quattordici milioni (.) >[quattordici< punto quattro milioni]	e: quattordici milioni {P} >[quattordici< punto quattro milioni]	e quattordici milioni {P} quattordici punto quattro milioni
17	SP1	37.1	37.477	0.377	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[EH]	[EH]	eh
18	SP1	38.61	42.6	3.99	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	9	[ceh] a bologna è trecento cinquantacinque mila persone [eh] ((ride))	[ceh] a bologna è trecento cinquantacinque mila persone [eh] {ride}	ceh a bologna è trecento cinquantacinque mila persone eh {ride}
19	SP2	41.2	45.0	3.8	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	10	da trecento [cinquanta]  mila ma devo essere quanto grande bologna	da trecento [cinquanta] mila ma devo essere quanto grande bologna	da trecento cinquanta mila ma devo essere quanto grande bologna
20	SP1	45.44	54.0	8.56	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	21=1.900	True	1	1	0	23	non so di chilometri quadrati però (.) ((ride)) decisamente più grande di [>bologna<] ma infatti  mi sembrava impossibile ma [il ragazzo ieri insisteva e ancora]	non so di chilometri quadrati però {P} {ride} decisamente più grande di [>bologna<] ma infatti mi sembrava impossibile ma [il ragazzo ieri insisteva e ancora]	non so di chilometri quadrati però {P} {ride} decisamente più grande di bologna ma infatti mi sembrava impossibile ma il ragazzo ieri insisteva e ancora
21	SP2	52.1	55.213	3.113	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	20=1.900,22=0.513	True	0	0	0	9	[e guarda che bolognia è cento quattr]- cento quaranta	[e guarda che bolognia è cento quattr]- cento quaranta	e guarda che bolognia è cento quattr- cento quaranta
22	SP1	54.7	55.991	1.291	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	21=0.513,23=0.481	True	0	0	0	2	[EH sì:]	[EH sì:]	eh sì
23	SP2	55.51	63.2	7.69	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	22=0.481	False	0	0	0	16	cento quaranta virgola nove  chilometri quadrati che se parliamo fino a da: am: dove di pilastro	cento quaranta virgola nove chilometri quadrati che se parliamo fino a da: am: dove di pilastro	cento quaranta virgola nove chilometri quadrati che se parliamo fino a da am dove di pilastro
24	SP1	63.31	63.684	0.374	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	m: m:	m: m:	m m
25	SP2	63.882	65.61	1.728	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	fino a: di: m:	fino a: di: m:	fino a di m
26	SP1	65.7	68.968	3.268	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	tipo casalecchio e [la barca sì sì sì]	tipo casalecchio e [la barca sì sì sì]	tipo casalecchio e la barca sì sì sì
