tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	SP1	0.18	3.2	3.02	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	persone che magari puoi aver incontrato, un po':	persone che magari puoi aver incontrato, un po':	persone che magari puoi aver incontrato un po'
1	SP2	3.7	9.2	5.5	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	15	bah e::h (.) >sì c(io)è< è sempre pieno di persone che fanno emosina, sotto i porti[ci]	bah e::h {P} >sì c(io)è< è sempre pieno di persone che fanno emosina, sotto i porti[ci]	bah eh {P} sì cioè è sempre pieno di persone che fanno emosina sotto i portici
2	SP1	8.83	9.55	0.72	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[°mh]mh°	[°mh]mh°	mhmh
3	SP2	9.76	12.66	2.9	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	soprattutto se vieni indipendenza: ce ne sono d[iversi]	soprattutto se vieni indipendenza: ce ne sono d[iversi]	soprattutto se vieni indipendenza ce ne sono diversi
4	SP1	12.12	13.19	1.07	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	[sì è ve]ro	[sì è ve]ro	sì è vero
5	SP2	13.54	19.3	5.76	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	2	0	0	10	anche sotto i portici di via:: (.) di viale:: (.) m::h masini	anche sotto i portici di via:: {P} di viale:: {P} m::h masini	anche sotto i portici di via {P} di viale {P} mh masini
6	SP2	19.74	21.2	1.46	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	perché io passo spesso di lì	perché io passo spesso di lì	perché io passo spesso di lì
7	SP2	22.1	23.54	1.44	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	e::hm	e::hm	ehm
8	SP2	24.34	28.33	3.99	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	10	però a parte >insomma< persone: che [fanno l'elemo]sina:, si	però a parte >insomma< persone: che [fanno l'elemo]sina:, si	però a parte insomma persone che fanno l' elemosina si
9	SP1	26.53	27.14	0.61	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[°mhmh°]	[°mhmh°]	mhmh
10	SP2	28.64	32.38	3.74	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	11=0.090	False	1	0	0	10	m:h a:h (.) incontri anche molte persone che ti fermano per:	m:h a:h {P} incontri anche molte persone che ti fermano per:	mh ah {P} incontri anche molte persone che ti fermano per
11	SP1	32.29	34.21	1.92	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	10=0.090,12=1.650	True	0	1	0	2	sì ((ride)) [esatto]	sì {ride} [esatto]	sì {ride} esatto
12	SP2	32.56	37.48	4.92	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	12	chiederti di f[are beneficen]za ((ride)) le classiche persone che sono sotto i portici,	chiederti di f[are beneficen]za {ride} le classiche persone che sono sotto i portici,	chiederti di fare beneficenza {ride} le classiche persone che sono sotto i portici
13	SP2	38.63	39.45	0.82	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	e::hm	e::hm	ehm
14	SP2	39.64	43.59	3.95	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	12	a volte (.) persone famose ogni tanto una volta incontrato piff ad esem[pio::]	a volte {P} persone famose ogni tanto una volta incontrato piff ad esem[pio::]	a volte {P} persone famose ogni tanto una volta incontrato piff ad esempio
15	SP1	43.14	44.58	1.44	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	14=0.450,16=0.050	True	0	0	0	4	[a:h sì] sì sì	[a:h sì] sì sì	ah sì sì sì
16	SP2	44.53	47.44	2.91	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	15=0.050,17=0.180	True	0	0	0	13	°e:h so (che era)° in un hotel che è lì su via indipende[nza]	°e:h so (che era)° in un hotel che è lì su via indipende[nza]	eh so che era in un hotel che è lì su via indipendenza
17	SP1	47.26	49.36	2.1	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	[anch]e  cremonini dicono che si [(aspettano)]	[anch]e cremonini dicono che si [(aspettano)]	anche cremonini dicono che si aspettano
18	SP2	49.26	52.6	3.34	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	7	[eh n]on ho ancora incon[trato i cremonini] ((ride))	[eh n]on ho ancora incon[trato i cremonini] {ride}	eh non ho ancora incontrato i cremonini {ride}
19	SP1	50.16	52.47	2.31	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[°xx neanche io° xx]	[°xx neanche io° xx]	x neanche io x
20	SP2	52.72	58.66	5.94	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	21	però xx sì (tre anni) perché io sono dal: duemiladiciotto diciannove sì tre anni che sono °lì, non ho ancora incrociato cremonini°	però xx sì (tre anni) perché io sono dal: duemiladiciotto diciannove sì tre anni che sono °lì, non ho ancora incrociato cremonini°	però x sì tre anni perché io sono dal duemiladiciotto diciannove sì tre anni che sono lì non ho ancora incrociato cremonini
21	SP1	59.29	61.8	2.51	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	9	beh [magari dai quest'anno sarà ((ride)) l'anno buono]	beh [magari dai quest'anno sarà {ride} l'anno buono]	beh magari dai quest' anno sarà {ride} l' anno buono
22	SP2	59.5	62.73	3.23	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	21=2.300	False	0	1	0	3	((ride))  °ma sì xx infatti°	{ride} °ma sì xx infatti°	{ride} ma sì x infatti
23	SP1	63.0	68.73	5.73	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	1	0	0	19	e: anche ehm (.) per il fatto che hanno messo: le luci con le scritte delle canzoni co[sa ne pensi?]	e: anche ehm {P} per il fatto che hanno messo: le luci con le scritte delle canzoni co[sa ne pensi]?	e anche ehm {P} per il fatto che hanno messo le luci con le scritte delle canzoni cosa ne pensi
24	SP2	67.73	71.7	3.97	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	[ah bello: quello] m:h mi è piaciuto molto sì sì  quello::	[ah bello: quello] m:h mi è piaciuto molto sì sì quello::	ah bello quello mh mi è piaciuto molto sì sì quello
25	SP2	72.34	78.49	6.15	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	20	ci stava secondo m[e °x ch]e:° dai cremonini comunque è il cantante di bologn- c(io)[è a par]te lucio dalla ovviamente, però	ci stava secondo m[e °x ch]e:° dai cremonini comunque è il cantante di bologn- c(io)[è a par]te lucio dalla ovviamente, però	ci stava secondo me x che dai cremonini comunque è il cantante di bologn- cioè a parte lucio dalla ovviamente però
26	SP1	73.05	73.94	0.89	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[bello]	[bello]	bello
27	SP1	76.48	77.13	0.65	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[sì]	[sì]	sì
28	SP1	78.66	80.34	1.68	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	29=0.500	False	0	0	0	7	che poi hanno messo anche le su:e?	che poi hanno messo anche le su:e?	che poi hanno messo anche le sue
29	SP2	79.84	81.54	1.7	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	[il fatto che poi] (han [messo han messo) anche le s]ue	[il fatto che poi] (han [messo han messo) anche le s]ue	il fatto che poi han messo han messo anche le sue
30	SP1	80.51	81.2	0.69	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[sì sì]	[sì sì]	sì sì
31	SP2	82.35	83.15	0.8	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	e::h	e::h	eh
32	SP2	83.38	87.82	4.44	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	11	però ci sta è: il cantante moderno [diciamo più::] (.) più bolognese	però ci sta è: il cantante moderno [diciamo più::] {P} più bolognese	però ci sta è il cantante moderno diciamo più {P} più bolognese
33	SP1	85.38	87.01	1.63	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	[mhmh anche secondo me]	[mhmh anche secondo me]	mhmh anche secondo me
34	SP1	88.6	91.32	2.72	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	9	e [invece,] il tuo posto del cuore di bologna?	e [invece], il tuo posto del cuore di bologna?	e invece il tuo posto del cuore di bologna
35	SP2	88.7	89.23	0.53	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[°carino°]	[°carino°]	carino
36	SP1	91.86	95.78	3.92	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	11	non so anche solo un ba:r (.) [a cui sei par]ticolarmente affezionata?	non so anche solo un ba:r {P} [a cui sei par]ticolarmente affezionata?	non so anche solo un bar {P} a cui sei particolarmente affezionata
