tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	SP1	0.24	3.22	2.98	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	persone che magari puoi avere incontrato: un po',	persone che magari puoi avere incontrato: un po',	persone che magari puoi avere incontrato un po'
1	SP2	3.7	5.11	1.41	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	bah e::	bah e::	bah e
2	SP2	5.5	9.3	3.8	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	13	sì è sempre pieno di: persone che fanno l' elemosina, sotto i porti[ci]	sì è sempre pieno di: persone che fanno l' elemosina, sotto i porti[ci]	sì è sempre pieno di persone che fanno l' elemosina sotto i portici
3	SP1	8.91	9.29	0.38	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mhm]h	[mhm]h	mhmh
4	SP2	9.91	12.66	2.75	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	soprattutto su via indipendenza, ce ne sono [diversi]	soprattutto su via indipendenza, ce ne sono [diversi]	soprattutto su via indipendenza ce ne sono diversi
5	SP1	12.09	12.82	0.73	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	[sì è ve]ro	[sì è ve]ro	sì è vero
6	SP2	13.52	15.41	1.89	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	anche sotto i portici di via:	anche sotto i portici di via:	anche sotto i portici di via
7	SP2	16.05	17.09	1.04	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	di viale:	di viale:	di viale
8	SP2	18.69	19.26	0.57	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	masini	masini	masini
9	SP2	19.86	21.0	1.14	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	perché io passo spesso di lì	perché io passo spesso di lì	perché io passo spesso di lì
