tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	SP1	0.52	8.44	7.92	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	24	come tavacco no [eh di l]à (.) lavorando più di tre <tremila> pers[one non] sono esattamente o tremila o trenta mila [ma tre]mila che facciamo	come tavacco no [eh di l]à {P} lavorando più di tre <tremila> pers[one non] sono esattamente o tremila o trenta mila [ma tre]mila che facciamo	come tavacco no eh di là {P} lavorando più di tre tremila persone non sono esattamente o tremila o trenta mila ma tremila che facciamo
1	SP2	1.399	1.911	0.512	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[okay]	[okay]	okay
2	SP2	4.692	5.061	0.369	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[mh mh]	[mh mh]	mh mh
3	SP2	7.155	7.463	0.308	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[mh mh]	[mh mh]	mh mh
4	SP1	8.84	11.194	2.354	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	10	ma (.) non si trovano adesso neanche là il l'appartam[ento]	ma {P} non si trovano adesso neanche là il l'appartam[ento]	ma {P} non si trovano adesso neanche là il l' appartamento
5	SP2	11.094	14.055	2.961	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	9	[eh] esatto te lo era (.) questo che volevo chiederti	[eh] esatto te lo era {P} questo che volevo chiederti	eh esatto te lo era {P} questo che volevo chiederti
6	SP2	14.216	14.522	0.306	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	perché	perché	perché
7	SP1	14.872	15.299	0.427	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	eh s[ì]	eh s[ì]	eh sì
8	SP2	15.272	16.788	1.516	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	[s]e tutti vogliono vivere lì	[s]e tutti vogliono vivere lì	se tutti vogliono vivere lì
9	SP1	17.56	20.005	2.445	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	2	0	0	7	sì (.) non si trovano appartament[i] (.) la verit[à]	sì {P} non si trovano appartament[i] {P} la verit[à]	sì {P} non si trovano appartamenti {P} la verità
10	SP2	19.066	19.294	0.228	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[°mh mh°]	[°mh mh°]	mh mh
11	SP2	19.844	20.153	0.309	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[mh] mh	[mh] mh	mh mh
12	SP1	20.244	23.933	3.689	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	piuttosto che: ci sono un sacco di: gente	piuttosto che: ci sono un sacco di: gente	piuttosto che ci sono un sacco di gente
13	SP1	24.499	27.177	2.678	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	8	come: non vuole dare (.) appartamenti per la famiglia	come: non vuole dare {P} appartamenti per la famiglia	come non vuole dare {P} appartamenti per la famiglia
14	SP1	27.805	31.9	4.095	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	13	un po' che danno un po' di person[e (.) c]he: dopo fanno la storia	un po' che danno un po' di person[e {P} c]he: dopo fanno la storia	un po' che danno un po' di persone {P} che dopo fanno la storia
15	SP2	29.677	30.053	0.376	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[mh mh]	[mh mh]	mh mh
16	SP2	31.983	32.305	0.322	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[mh mh]	[mh mh]	mh mh
17	SP1	32.049	32.477	0.428	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[allora]	[allora]	allora
18	SP1	32.772	34.905	2.133	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	per pochi che: tutti quanti:	per pochi che: tutti quanti:	per pochi che tutti quanti
19	SP2	35.68	41.122	5.442	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	2	0	0	18	sì sì sì certo capito (.) mh e ma se (.) se potessi un giorno vorresti vivere in citt[à o,]	sì sì sì certo capito {P} mh e ma se {P} se potessi un giorno vorresti vivere in citt[à o],	sì sì sì certo capito {P} mh e ma se {P} se potessi un giorno vorresti vivere in città o
20	SP1	40.833	47.01	6.177	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	20	[assolu]tamente io e sto provando tutti i giorni a [trova]re c'è un appartamento per i: trasferire in bolo[gna cioè]	[assolu]tamente io e sto provando tutti i giorni a [trova]re c'è un appartamento per i: trasferire in bolo[gna cioè]	assolutamente io e sto provando tutti i giorni a trovare c' è un appartamento per i trasferire in bologna cioè
21	SP2	43.033	43.404	0.371	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[°okay°]	[°okay°]	okay
22	SP2	46.416	46.794	0.378	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[mh mh]	[mh mh]	mh mh
23	SP1	47.094	48.094	1.0	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	io lavoro qui	io lavoro qui	io lavoro qui
24	SP1	48.294	50.044	1.75	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	7	è un utile che io vado (.) a	è un utile che io vado {P} a	è un utile che io vado {P} a
