tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	SP1	0.35	8.44	8.09	True	False	0	1	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	1, tre-tremi:la	22	eh come tavacco no eh di là, lavorando più di tre-tremi:la persone non sono esattamente o tremila o trentamila ma 3000 che facciamo?	eh come tavacco no eh di là, lavorando più di tre-tremi:la persone non sono esattamente o tremila o trentamila ma tremila che facciamo?	eh come tavacco no eh di là lavorando più di tre-tremi:la persone non sono esattamente o tremila o trentamila ma tremila che facciamo
1	SP1	8.84	11.17	2.33	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	9	ma non si trovano adesso neanche là >gli appartamenti<	ma non si trovano adesso neanche là >gli appartamenti<	ma non si trovano adesso neanche là gli appartamenti
2	SP2	11.22	14.88	3.66	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	10	EH esatto te lo era (.) questo che volevo chiederti perché	EH esatto te lo era {P} questo che volevo chiederti perché	eh esatto te lo era {P} questo che volevo chiederti perché
3	SP1	14.91	15.46	0.55	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	eh sì	eh sì	eh sì
4	SP2	15.49	17.112	1.622	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	se tutti vogliono vivere lì	se tutti vogliono vivere lì	se tutti vogliono vivere lì
5	SP1	17.56	20.0	2.44	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	15	°sì° non si trovano appartamenti [la] verità piuttosto che ci sono un sacco di gente	°sì° non si trovano appartamenti [la] verità piuttosto che ci sono un sacco di gente	sì non si trovano appartamenti la verità piuttosto che ci sono un sacco di gente
6	SP2	19.07	19.52	0.45	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	5=0.450	False	0	0	0	1	mhmh	mhmh	mhmh
7	SP2	20.02	20.36	0.34	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	mhmh	mhmh	mhmh
8	SP1	20.39	23.7	3.31	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	piuttosto che: ci sono un sacco di: gente	piuttosto che: ci sono un sacco di: gente	piuttosto che ci sono un sacco di gente
9	SP1	24.4	29.64	5.24	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	16	come: non vuole dare appartamenti per la famiglia, (.) un po' che danno: un po' di persone	come: non vuole dare appartamenti per la famiglia, {P} un po' che danno: un po' di persone	come non vuole dare appartamenti per la famiglia {P} un po' che danno un po' di persone
10	SP2	29.7	29.97	0.27	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	mhmh	mhmh	mhmh
11	SP1	30.03	31.9	1.87	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	che: dopo fanno la storia,	che: dopo fanno la storia,	che dopo fanno la storia
12	SP1	31.96	35.5	3.54	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	1	0	6	allora (.) per pochi che: tutti quanti ((inspira))	allora {P} per pochi che: tutti quanti {inspira}	allora {P} per pochi che tutti quanti {inspira}
13	SP2	35.68	40.88	5.2	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	17	sì sì sì certo capito (.) mh eh ma se- se potessi un giorno vorresti vivere in città:?	sì sì sì certo capito {P} mh eh ma se- se potessi un giorno vorresti vivere in città:?	sì sì sì certo capito {P} mh eh ma se- se potessi un giorno vorresti vivere in città
14	SP1	40.94	46.68	5.74	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	19	assolutamente io sto provando tutti i giorni a [trovare] c'è un appartamento per eh: trasferire in bologn[a] cioè	assolutamente io sto provando tutti i giorni a [trovare] c'è un appartamento per eh: trasferire in bologn[a] cioè	assolutamente io sto provando tutti i giorni a trovare c' è un appartamento per eh trasferire in bologna cioè
15	SP2	42.99	43.46	0.47	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[(°okay°)]	[(°okay°)]	okay
16	SP2	46.17	46.53	0.36	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mhmh]	[mhmh]	mhmh
17	SP1	47.01	53.28	6.27	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	2	0	0	16	io lavoro qui (.) è inutile che io vado a (.) esempio faccio così una una una: ragionamento	io lavoro qui {P} è inutile che io vado a {P} esempio faccio così una una una: ragionamento	io lavoro qui {P} è inutile che io vado a {P} esempio faccio così una una una ragionamento
18	SP1	53.35	60.6	7.25	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	19	se lo trovo una casa in bologna (.) che è mille euro faccia[mo per]ché una casa deve essere mille euro	se lo trovo una casa in bologna {P} che è mille euro faccia[mo per]ché una casa deve essere mille euro	se lo trovo una casa in bologna {P} che è mille euro facciamo perché una casa deve essere mille euro
19	SP2	57.82	58.27	0.45	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mhmh]	[mhmh]	mhmh
20	SP1	60.74	65.05	4.31	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	20	e non è che deve essere soltanto una camera un mon- un monolocale che è mille euro no è troppo	e non è che deve essere soltanto una camera un mon- un monolocale che è mille euro no è troppo	e non è che deve essere soltanto una camera un mon- un monolocale che è mille euro no è troppo
21	SP1	65.11	65.68	0.57	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	è troppo	è troppo	è troppo
22	SP2	65.71	66.42	0.71	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	è troppo sì	è troppo sì	è troppo sì
23	SP1	66.46	71.7	5.24	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	17	deve essere almeno tre camera di letto [per per] mille euro mille due mille cento facciamo così	deve essere almeno tre camera di letto [per per] mille euro mille due mille cento facciamo così	deve essere almeno tre camera di letto per per mille euro mille due mille cento facciamo così
24	SP2	68.15	68.88	0.73	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[sìsì sì]	[sìsì sì]	sìsì sì
25	SP1	72.7	77.76	5.06	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	15	se vado a:  valsamoggia (.) ogni mese io spendo ce- più di duecento euro di benzina	se vado a: valsamoggia {P} ogni mese io spendo ce- più di duecento euro di benzina	se vado a valsamoggia {P} ogni mese io spendo ce- più di duecento euro di benzina
26	SP2	77.82	79.18	1.36	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	sì sì e parcheggio	sì sì e parcheggio	sì sì e parcheggio
27	SP1	79.24	80.11	0.87	True	False	0	1	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	9	e parcheggio più facciamo 350 euro di ogni mese	e parcheggio più facciamo trecentocinquanta euro di ogni mese	e parcheggio più facciamo trecentocinquanta euro di ogni mese
28	SP2	80.13	80.44	0.31	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	sì	sì	sì
29	SP1	80.5	83.44	2.94	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	facciamo trecentocinquanta euro di [ogni mese]	facciamo trecentocinquanta euro di [ogni mese]	facciamo trecentocinquanta euro di ogni mese
30	SP2	82.59	83.35	0.76	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[°tantissimo°]	[°tantissimo°]	tantissimo
31	SP2	83.93	85.39	1.46	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	1	tantissimo ((ride))	tantissimo {ride}	tantissimo {ride}
32	SP2	85.92	90.62	4.7	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	1	0	16	°sì sì° (.) no io non ho la macchina quindi non mi [rendo CONTO SENTO QUESTE CIF- ((ride))]	°sì sì° {P} no io non ho la macchina quindi non mi [rendo CONTO SENTO QUESTE CIF- {ride}]	sì sì {P} no io non ho la macchina quindi non mi rendo conto sento queste cif- {ride}
33	SP1	88.29	97.24	8.95	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	15	[no intendevo intendevo] che se là pago settecento euro in affitto più trecentocinquanta sono mille	[no intendevo intendevo] che se là pago settecento euro in affitto più trecentocinquanta sono mille	no intendevo intendevo che se là pago settecento euro in affitto più trecentocinquanta sono mille
34	SP2	97.3	98.0	0.7	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	mhmh	mhmh	mhmh
35	SP1	98.24	102.93	4.69	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	9	già (.) mille eh mil- millecento milledue- millecento milleduecento dopo	già {P} mille eh mil- millecento milledue- millecento milleduecento dopo	già {P} mille eh mil- millecento milledue- millecento milleduecento dopo
36	SP1	103.06	110.59	7.53	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	22	perché non è che è solo che devo pagare la macchina la benzina e:  e anche il parcheggio no devo fa- (as-)	perché non è che è solo che devo pagare la macchina la benzina e: e anche il parcheggio no devo fa- (as-)	perché non è che è solo che devo pagare la macchina la benzina e e anche il parcheggio no devo fa- as-
37	SP2	110.74	111.317	0.577	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	0	xxx	xxx	x
38	SP1	111.78	117.48	5.7	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	18	allora come la città se tu paghi duecento eu- cioè duecento euro in più. ma ti trovi tutto	allora come la città se tu paghi duecento eu- cioè duecento euro in più. ma ti trovi tutto	allora come la città se tu paghi duecento eu- cioè duecento euro in più ma ti trovi tutto
39	SP2	117.62	119.24	1.62	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	4	certo sì (.) certo certo	certo sì {P} certo certo	certo sì {P} certo certo
40	SP1	119.36	124.56	5.2	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	16	come da là per fare una spesa io devo fare cioè dieci chilometri cinque chilometri almeno	come da là per fare una spesa io devo fare cioè dieci chilometri cinque chilometri almeno	come da là per fare una spesa io devo fare cioè dieci chilometri cinque chilometri almeno
41	SP2	125.67	129.7	4.03	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	2	0	0	9	ma poi ti (.) insomma (.) ti svegli presto [traffico stress]	ma poi ti {P} insomma {P} ti svegli presto [traffico stress]	ma poi ti {P} insomma {P} ti svegli presto traffico stress
42	SP1	128.04	133.54	5.5	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	14	[assolutamente ma] guarda che là (.) da vivere la differenza da città e fuori città	[assolutamente ma] guarda che là {P} da vivere la differenza da città e fuori città	assolutamente ma guarda che là {P} da vivere la differenza da città e fuori città
43	SP1	134.08	137.43	3.35	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	10	se lavoro fuori città guarda che per me va bene	se lavoro fuori città guarda che per me va bene	se lavoro fuori città guarda che per me va bene
44	SP2	137.43	137.69	0.26	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	mhmh	mhmh	mhmh
45	SP1	137.73	139.04	1.31	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	ma dentro le [città devo lavorare]	ma dentro le [città devo lavorare]	ma dentro le città devo lavorare
46	SP2	138.54	140.12	1.58	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	5	[venendo qua] (.) certo sì sì	[venendo qua] {P} certo sì sì	venendo qua {P} certo sì sì
47	SP1	140.22	143.85	3.63	True	False	0	1	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	12	significa che per me non è che una giornata di (.) 24 ore	significa che per me non è che una giornata di {P} ventiquattro ore	significa che per me non è che una giornata di {P} ventiquattro ore
48	SP2	143.9	144.329	0.429	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	mhmh	mhmh	mhmh
49	SP1	144.41	146.17	1.76	True	False	0	1	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	sono 22 o[re]	sono ventidue o[re]	sono ventidue ore
50	SP2	145.98	147.36	1.38	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	[ce]rto perché è [un'ora]	[ce]rto perché è [un'ora]	certo perché è un' ora
51	SP1	146.87	147.81	0.94	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[ancora me]no	[ancora me]no	ancora meno
52	SP2	147.89	148.21	0.32	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	mhmh	mhmh	mhmh
53	SP1	148.27	149.24	0.97	True	False	0	1	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	sono 20 ore tipo	sono venti ore tipo	sono venti ore tipo
54	SP2	149.27	149.48	0.21	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	°sì sì°	°sì sì°	sì sì
55	SP1	149.5	153.79	4.29	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	16	perché ogni giorno io lo (.) vado avanti e indietro un'ora un'ora e mezzo cioè	perché ogni giorno io lo {P} vado avanti e indietro un'ora un'ora e mezzo cioè	perché ogni giorno io lo {P} vado avanti e indietro un' ora un' ora e mezzo cioè
56	SP1	154.0	159.2	5.2	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	18	per venire un'ora e mezzo un'ora minimo e ritornare ancora facciamo mezz'ora o un'ora	per venire un'ora e mezzo un'ora minimo e ritornare ancora facciamo mezz'ora o un'ora	per venire un' ora e mezzo un' ora minimo e ritornare ancora facciamo mezz' ora o un' ora
57	SP1	159.5	161.09	1.59	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	[allora] due ore è già scalata	[allora] due ore è già scalata	allora due ore è già scalata
58	SP2	159.53	159.925	0.395	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mhmh]	[mhmh]	mhmh
59	SP2	161.17	161.4	0.23	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	_	True	0	0	0	2	[sì sì]	[sì sì]	sì sì
60	SP1	161.43	164.79	3.36	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	9	per preparare cioè se tipo che noi abitiamo cioè	per preparare cioè se tipo che noi abitiamo cioè	per preparare cioè se tipo che noi abitiamo cioè
61	SP1	164.96	169.86	4.9	True	False	0	2	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	13	facciamo come dentro la bolonia tu 20 minuti (.) 30 minuti sei in la[voro]	facciamo come dentro la bolonia tu venti minuti {P} trenta minuti sei in la[voro]	facciamo come dentro la bolonia tu venti minuti {P} trenta minuti sei in lavoro
62	SP2	169.53	170.08	0.55	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mhmh]mh	[mhmh]mh	mhmhmh
63	SP2	170.42	171.3	0.88	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	certo sì sì	certo sì sì	certo sì sì
64	SP2	171.58	174.72	3.14	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	ma prima di trasferirti in valsamoggia n- in quale zona abitavi?	ma prima di trasferirti in valsamoggia n- in quale zona abitavi?	ma prima di trasferirti in valsamoggia n- in quale zona abitavi
65	SP1	174.86	176.5	1.64	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	al centro proprio al [centro storico]	al centro proprio al [centro storico]	al centro proprio al centro storico
66	SP2	176.1	176.68	0.58	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[centro ce]ntro	[centro ce]ntro	centro centro
67	SP1	176.73	177.4	0.67	True	False	0	0	0	0	0	0	0	0	False	False	False	True	True	68=0.420	False	0	0	0	2	cen[tro ce]ntro]	cen[tro ce]ntro]	centro centro
