tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	SP1	0.0	1.79	1.79	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	ci sono delle università	ci sono delle università	ci sono delle università
1	SP2	2.56	4.96	2.4	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	sì [no le università è pro]prio in città	sì [no le università è pro]prio in città	sì no le università è proprio in città
2	SP1	2.88	4.12	1.24	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	[o più nella capita-]	[o più nella capita-]	o più nella capita-
3	SP1	5.12	6.71	1.59	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	4	ok (.) ok ok ok	ok {P} ok ok ok	ok {P} ok ok ok
4	SP1	6.96	10.64	3.68	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	10	[e s-] in capitale in capitale ok e se devi	[e s-] in capitale in capitale ok e se devi	e s- in capitale in capitale ok e se devi
5	SP2	6.97	7.97	1.0	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	[di:] in capitale	[di:] in capitale	di in capitale
6	SP3	10.928	11.928	1.0	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	°solo che°	°solo che°	solo che
7	SP2	14.06	15.54	1.48	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	va be' adesso faccio finire qui	va be' adesso faccio finire qui	va be' adesso faccio finire qui
8	SP3	15.725	16.257	0.532	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	°sì°	°sì°	sì
9	SP2	17.413	19.713	2.3	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	detali così che ci vengono	detali così che ci vengono	detali così che ci vengono
10	SP3	19.743	21.18	1.437	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	vengono abbastanza bene no	vengono abbastanza bene no	vengono abbastanza bene no
11	SP1	21.32	23.449	2.129	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	4	sì (.) proviamo vedere se:	sì {P} proviamo vedere se:	sì {P} proviamo vedere se
12	SP1	25.806	27.625	1.819	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	7	>allora< dimmi la capitale è molto [grande,]	>allora< dimmi la capitale è molto [grande],	allora dimmi la capitale è molto grande
13	SP2	27.139	33.194	6.055	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	12	[la capitale] è molto grande (.) e trecentosei virgola quattro e: <chilometri quadr[ati>]	[la capitale] è molto grande {P} e trecentosei virgola quattro e: <chilometri quadr[ati>]	la capitale è molto grande {P} e trecentosei virgola quattro e chilometri quadrati
14	SP1	32.944	35.028	2.084	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	16=0.181,13=0.250,15=0.403	True	0	0	0	3	[ok] e po[po]lazione?	[ok] e po[po]lazione?	ok e popolazione
15	SP2	33.583	33.986	0.403	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[in]	[in]	in
16	SP2	34.847	39.0	4.153	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	14=0.181,17=0.236	True	0	0	0	7	e: quattordici <milioni> quattordici punto quattro mi[lioni]	e: quattordici <milioni> quattordici punto quattro mi[lioni]	e quattordici milioni quattordici punto quattro milioni
17	SP3	38.764	41.458	2.694	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	[cioè] bologna è trecentocinquantamila persone	[cioè] bologna è trecentocinquantamila persone	cioè bologna è trecentocinquantamila persone
18	SP2	41.458	45.083	3.625	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	beh [trecentocinquantamila] ma devo essere quanto grande bologna	beh [trecentocinquantamila] ma devo essere quanto grande bologna	beh trecentocinquantamila ma devo essere quanto grande bologna
19	SP1	41.861	43.361	1.5	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	1	[eh ((ride))]	[eh {ride}]	eh {ride}
20	SP3	45.569	49.48	3.911	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	9	non so di kilometri quadrati però decisamente più grande ((ride))	non so di kilometri quadrati però decisamente più grande {ride}	non so di kilometri quadrati però decisamente più grande {ride}
21	SP1	49.48	53.333	3.853	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	11	ma infatti mi sembrava impossibile ma il ragazzo ie[ri insisteva] (.) infa-	ma infatti mi sembrava impossibile ma il ragazzo ie[ri insisteva] {P} infa-	ma infatti mi sembrava impossibile ma il ragazzo ieri insisteva {P} infa-
22	SP2	52.222	55.264	3.042	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	[e guarda che bolo]nia è centoqua- centoquaran[ta]	[e guarda che bolo]nia è centoqua- centoquaran[ta]	e guarda che bolonia è centoqua- centoquaranta
23	SP1	54.861	55.764	0.903	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	22=0.403,24=0.181	True	1	0	0	2	[eh] (.) sì	[eh] {P} sì	eh {P} sì
24	SP2	55.583	59.653	4.07	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	23=0.181	False	0	0	0	9	centoquaranta virgola nove kilometri quadrati che separiamo fino a	centoquaranta virgola nove kilometri quadrati che separiamo fino a	centoquaranta virgola nove kilometri quadrati che separiamo fino a
25	SP2	59.972	63.354	3.403	True	False	0	0	0	0	0	0	1	0	False	False	False	False	False	_	False	0	0	0	7	da:mh dove di: pilastro, fino a di:	da:mh dove di: pilastro, fino a di:	damh dove di pilastro fino a di
26	SP1	63.354	63.75	0.417	True	False	0	0	0	0	0	0	1	0	False	False	False	False	False	_	False	0	0	0	2	mh mh	mh mh	mh mh
27	SP2	63.806	65.694	1.888	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	fino a di:mh	fino a di:mh	fino a dimh
28	SP1	66.014	67.542	1.528	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	29=0.403,30+31=0.098	True	0	0	0	4	tipo casalecchio la [ba]rca xxxx	tipo casalecchio la [ba]rca xxxx	tipo casalecchio la barca x
29	SP2	66.986	67.389	0.403	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[sì]	[sì]	sì
30	SP2	67.431	69.569	2.138	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	32=0.208,28+31=0.098	True	0	0	0	4	[sì proprio sì casa]lecchio	[sì proprio sì casa]lecchio	sì proprio sì casalecchio
31	SP3	67.444	68.833	1.389	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	0	[xxxx]	[xxxx]	x
32	SP3	69.361	70.736	1.375	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	[sì] sì [sì sì]	[sì] sì [sì sì]	sì sì sì sì
33	SP2	69.642	73.639	3.997	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	12	[sì pro]prio il quadrato di: dentro c'è proprio quelle che le-	[sì pro]prio il quadrato di: dentro c'è proprio quelle che le-	sì proprio il quadrato di dentro c' è proprio quelle che le-
34	SP2	73.735	76.301	2.566	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	7	mh quelle che comune di bolonia (.) esempio	mh quelle che comune di bolonia {P} esempio	mh quelle che comune di bolonia {P} esempio
35	SP1	76.325	76.633	0.314	True	False	0	0	0	0	0	0	1	0	False	False	False	False	False	_	False	0	0	0	2	mh mh	mh mh	mh mh
36	SP2	76.633	79.361	2.734	True	False	0	0	0	0	0	0	1	0	False	False	False	False	False	_	False	0	0	0	10	però è f- non è il fori che hanno contato	però è f- non è il fori che hanno contato	però è f- non è il fori che hanno contato
37	SP1	79.446	82.325	2.879	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	6	sì [sì certo (.) °sì sì sì°]	sì [sì certo {P} °sì sì sì°]	sì sì certo {P} sì sì sì
38	SP2	79.68	82.566	2.886	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	14	[c'è proprio la città e il capitale che hanno entrato] c'è proprio	[c'è proprio la città e il capitale che hanno entrato] c'è proprio	c' è proprio la città e il capitale che hanno entrato c' è proprio
39	SP3	82.627	83.482	0.855	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	sì sì certo	sì sì certo	sì sì certo
40	SP1	83.482	90.012	6.53	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	20	no ma io- a me mi sembrava impossibile che una città italiana neanche la capitale fosse grande come [la capita- ((ride))]	no ma io- a me mi sembrava impossibile che una città italiana neanche la capitale fosse grande come [la capita- {ride}]	no ma io- a me mi sembrava impossibile che una città italiana neanche la capitale fosse grande come la capita- {ride}
41	SP2	88.976	91.867	2.891	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	13	[beh no è come] è più g- cioè è come grande della venezia	[beh no è come] è più g- cioè è come grande della venezia	beh no è come è più g- cioè è come grande della venezia
42	SP2	92.0	98.819	6.843	True	False	0	0	0	0	0	0	1	0	False	False	False	False	False	_	False	0	0	0	12	che venezia è una città bella grande quattrocentoquatto- e: <quattrocentoquattordici metri quadrati>	che venezia è una città bella grande quattrocentoquatto- e: <quattrocentoquattordici metri quadrati>	che venezia è una città bella grande quattrocentoquatto- e quattrocentoquattordici metri quadrati
