tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	SP1	0.0	8.279	8.279	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	24	eh come tabacco no [eh di l]à {P} lavorando più di tre- tremila pers[one non] sono esattamente o tremila o trentamila [ma tre]mila che facciamo	eh come tabacco no [eh di l]à {P} lavorando più di tre- tremila pers[one non] sono esattamente o tremila o trentamila [ma tre]mila che facciamo	eh come tabacco no eh di là {P} lavorando più di tre- tremila persone non sono esattamente o tremila o trentamila ma tremila che facciamo
1	SP2	1.315	1.827	0.512	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[okay]	[okay]	okay
2	SP2	4.608	4.976	0.368	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mhmh]	[mhmh]	mhmh
3	SP2	7.071	7.379	0.308	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mhmh]	[mhmh]	mhmh
4	SP1	8.68	11.254	2.574	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	9	ma {P} non si trovano adesso neanche là gli appartam[enti]	ma {P} non si trovano adesso neanche là gli appartam[enti]	ma {P} non si trovano adesso neanche là gli appartamenti
5	SP2	11.01	13.971	2.961	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	9	[eh] esatto te lo era {P} questo che volevo chiederti	[eh] esatto te lo era {P} questo che volevo chiederti	eh esatto te lo era {P} questo che volevo chiederti
6	SP2	14.132	14.438	0.306	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	perché	perché	perché
7	SP1	14.712	15.139	0.427	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	eh sì	eh sì	eh sì
8	SP2	15.323	16.704	1.381	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	se tutti vogliono vivere lì	se tutti vogliono vivere lì	se tutti vogliono vivere lì
9	SP1	17.4	19.845	2.445	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	2	0	0	7	sì {P} non si trovano appartament[i] {P} la verit[à]	sì {P} non si trovano appartament[i] {P} la verit[à]	sì {P} non si trovano appartamenti {P} la verità
10	SP2	18.982	19.21	0.228	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[°mhmh°]	[°mhmh°]	mhmh
11	SP2	19.729	20.069	0.34	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mh]mh	[mh]mh	mhmh
12	SP1	20.133	23.773	3.64	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	piuttosto che: ci sono un sacco di: gente	piuttosto che: ci sono un sacco di: gente	piuttosto che ci sono un sacco di gente
13	SP1	24.339	27.017	2.678	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	8	come: non vuole dare {P} appartamenti per la famiglia	come: non vuole dare {P} appartamenti per la famiglia	come non vuole dare {P} appartamenti per la famiglia
14	SP1	27.645	31.74	4.095	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	13	un po' che danno un po' di person[e {P} c]he: dopo fanno la storia	un po' che danno un po' di person[e {P} c]he: dopo fanno la storia	un po' che danno un po' di persone {P} che dopo fanno la storia
15	SP2	29.593	29.969	0.376	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mhmh]	[mhmh]	mhmh
16	SP1	31.897	32.372	0.475	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[allora]	[allora]	allora
17	SP2	31.899	32.381	0.482	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mhmh]	[mhmh]	mhmh
18	SP1	32.612	34.745	2.133	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	per pochi che: tutti quanti:	per pochi che: tutti quanti:	per pochi che tutti quanti
19	SP2	35.596	41.038	5.442	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	2	0	0	18	sì sì sì c[erto] ca[pito] {P} mh e ma se {P} se potessi un giorno vorresti vivere in citt[à o],	sì sì sì c[erto] ca[pito] {P} mh e ma se {P} se potessi un giorno vorresti vivere in citt[à o],	sì sì sì certo capito {P} mh e ma se {P} se potessi un giorno vorresti vivere in città o
20	SP1	36.086	36.326	0.24	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mh]	[mh]	mh
21	SP1	36.56	36.72	0.16	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mh]	[mh]	mh
22	SP1	40.673	46.72	6.047	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	19	[assolu]tamente io sto provando tutti i giorni a [trova]re c'è un appartamento per i: trasferire in bolo[gna cioè]	[assolu]tamente io sto provando tutti i giorni a [trova]re c'è un appartamento per i: trasferire in bolo[gna cioè]	assolutamente io sto provando tutti i giorni a trovare c' è un appartamento per i trasferire in bologna cioè
23	SP2	42.949	43.32	0.371	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[°okay°]	[°okay°]	okay
24	SP2	46.332	46.71	0.378	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mhmh]	[mhmh]	mhmh
25	SP1	46.934	47.934	1.0	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	io lavoro qui	io lavoro qui	io lavoro qui
26	SP1	48.134	49.884	1.75	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	6	è inutile che io vado {P} a	è inutile che io vado {P} a	è inutile che io vado {P} a
27	SP1	50.395	55.812	5.417	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	14	esempio faccio così una una una ragionamento se {P} lo trovo una casa in bologna	esempio faccio così una una una ragionamento se {P} lo trovo una casa in bologna	esempio faccio così una una una ragionamento se {P} lo trovo una casa in bologna
28	SP1	56.078	60.489	4.411	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	2	0	0	11	che {P} mille euro {P} facci[amo pe]rché: una casa deve essere mille euro	che {P} mille euro {P} facci[amo pe]rché: una casa deve essere mille euro	che {P} mille euro {P} facciamo perché una casa deve essere mille euro
29	SP2	57.821	58.131	0.31	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mhmh]	[mhmh]	mhmh
30	SP1	60.58	64.634	4.054	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	18	e {P} non è che deve essere soltanto una camera un mon- un monolocale che è mille euro no	e {P} non è che deve essere soltanto una camera un mon- un monolocale che è mille euro no	e {P} non è che deve essere soltanto una camera un mon- un monolocale che è mille euro no
31	SP1	65.051	65.512	0.461	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	è troppo	è troppo	è troppo
32	SP2	65.593	66.336	0.743	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	è troppo sì	è troppo sì	è troppo sì
33	SP1	66.405	71.562	5.157	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	17	deve essere almeno tre camera di let[to per per] mille euro mille due mille cento facc[iamo] così	deve essere almeno tre camera di let[to per per] mille euro mille due mille cento facc[iamo] così	deve essere almeno tre camera di letto per per mille euro mille due mille cento facciamo così
34	SP2	67.999	68.721	0.722	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	[sì sì sì]	[sì sì sì]	sì sì sì
