tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	SP1	0.0	1.47	1.47	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	ci sono delle università?	ci sono delle università?	ci sono delle università
1	SP2	2.24	5.192	2.952	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	sì [no le università è pro]prio in città [xxx]	sì [no le università è pro]prio in città [xxx]	sì no le università è proprio in città x
2	SP1	2.56	3.8	1.24	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	[o più nella capita-]	[o più nella capita-]	o più nella capita-
3	SP1	4.8	6.39	1.59	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	4	[okay] {P} okay okay okay	[okay] {P} okay okay okay	okay {P} okay okay okay
4	SP1	6.513	9.62	3.107	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	10	[e s-] {P} in capitale in capitale okay [eh se] devi::	[e s-] {P} in capitale in capitale okay [eh se] devi::	e s- {P} in capitale in capitale okay eh se devi
5	SP2	6.647	7.65	1.003	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	[di:] in capitale	[di:] in capitale	di in capitale
6	SP2	8.519	9.06	0.541	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[però]	[però]	però
7	SP1	10.435	11.435	1.0	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	°posso anche°	°posso anche°	posso anche
8	SP2	13.74	15.22	1.48	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	°vabbè adesso faccio finire qui°	°vabbè adesso faccio finire qui°	vabbè adesso faccio finire qui
9	SP3	15.232	15.764	0.532	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	°sì°	°sì°	sì
10	SP2	17.093	18.45	1.357	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	xx così che ci vengono	xx così che ci vengono	x così che ci vengono
11	SP1	19.25	20.687	1.437	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	°sta andando abbastanza bene no?°	°sta andando abbastanza bene no?°	sta andando abbastanza bene no
12	SP3	21.014	21.421	0.407	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	°sì°	°sì°	sì
13	SP1	21.467	23.129	1.662	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	°proviamo vedere se:°	°proviamo vedere se:°	proviamo vedere se
14	SP1	25.486	27.305	1.819	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	>allora< dimmi la capitale è molto [grande],	>allora< dimmi la capitale è molto [grande],	allora dimmi la capitale è molto grande
15	SP2	26.819	32.874	6.055	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	12	[la capitale] è molto grande {P} e trecentosei virgola quattro e:h kilometri quadr[ati]	[la capitale] è molto grande {P} e trecentosei virgola quattro e:h kilometri quadr[ati]	la capitale è molto grande {P} e trecentosei virgola quattro eh kilometri quadrati
16	SP1	32.624	34.093	1.469	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	[okay] e po[po]lazione?	[okay] e po[po]lazione?	okay e popolazione
17	SP2	33.263	33.666	0.403	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[in]	[in]	in
18	SP2	34.413	38.68	4.267	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	19=0.327,20=0.236	True	0	0	0	7	e:h quattordici milioni, quattordici punto quattro mi[lioni]	e:h quattordici milioni, quattordici punto quattro mi[lioni]	eh quattordici milioni quattordici punto quattro milioni
19	SP1	36.939	37.266	0.327	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[EH]	[EH]	eh
20	SP1	38.444	41.138	2.694	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	[cioè] bologna è trecentocinquantamila persone	[cioè] bologna è trecentocinquantamila persone	cioè bologna è trecentocinquantamila persone
21	SP2	41.138	44.763	3.625	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	beh [trecento]cinquantamila ma devo essere quanto grande bologna	beh [trecento]cinquantamila ma devo essere quanto grande bologna	beh trecentocinquantamila ma devo essere quanto grande bologna
22	SP1	41.541	43.041	1.5	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	1	[eh] {ride}	[eh] {ride}	eh {ride}
23	SP1	45.249	47.093	1.844	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	non so di kilometri quadrati però:	non so di kilometri quadrati però:	non so di kilometri quadrati però
24	SP1	47.6	53.26	5.66	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	15	decisamente più grande, [ma infa]tti eh mi sembrava impossibile ma il ragazzo ie[ri insisteva {P} infa-]	decisamente più grande, [ma infa]tti eh mi sembrava impossibile ma il ragazzo ie[ri insisteva {P} infa-]	decisamente più grande ma infatti eh mi sembrava impossibile ma il ragazzo ieri insisteva {P} infa-
25	SP3	48.94	49.327	0.387	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[°no°]	[°no°]	no
26	SP2	51.902	54.944	3.042	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	[e guarda che bologna è] centoqua- centoquaran[ta]	[e guarda che bologna è] centoqua- centoquaran[ta]	e guarda che bologna è centoqua- centoquaranta
27	SP1	54.541	55.444	0.903	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	2	[eh] {P} [sì]	[eh] {P} [sì]	eh {P} sì
28	SP2	55.263	59.333	4.07	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	10	[cento]quaranta virgola nove kilometri quadrati che se parliamo fino a	[cento]quaranta virgola nove kilometri quadrati che se parliamo fino a	centoquaranta virgola nove kilometri quadrati che se parliamo fino a
29	SP2	59.652	63.007	3.355	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	da: mh dove di: pilastro, fino a di:	da: mh dove di: pilastro, fino a di:	da mh dove di pilastro fino a di
30	SP1	63.013	63.43	0.417	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	mhmh	mhmh	mhmh
31	SP2	63.486	65.373	1.887	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	fino a di: mh	fino a di: mh	fino a di mh
32	SP1	65.694	67.222	1.528	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	34+33=0.118,34+35=0.111	True	0	0	0	4	tipo casalecchio la [ba]rca xxxx	tipo casalecchio la [ba]rca xxxx	tipo casalecchio la barca x
33	SP2	66.666	67.069	0.403	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[sì]	[sì]	sì
34	SP3	66.951	68.34	1.389	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	32+33=0.118,32+35=0.111	True	0	0	0	0	[xxxx]	[xxxx]	x
35	SP2	67.111	69.249	2.138	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	36=0.208,32+34=0.111	True	0	0	0	4	[sì proprio sì casa]lecchio	[sì proprio sì casa]lecchio	sì proprio sì casalecchio
36	SP1	69.041	70.416	1.375	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	[sì] sì [sì sì]	[sì] sì [sì sì]	sì sì sì sì
37	SP2	69.322	72.94	3.618	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	12	[sì pro]prio il quadrato di: dentro c'è proprio quelle che le-	[sì pro]prio il quadrato di: dentro c'è proprio quelle che le-	sì proprio il quadrato di dentro c' è proprio quelle che le-
38	SP2	73.415	75.981	2.566	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	7	mh quelle che comune di bologna {P} esempio	mh quelle che comune di bologna {P} esempio	mh quelle che comune di bologna {P} esempio
39	SP1	76.005	76.319	0.314	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	mhmh	mhmh	mhmh
40	SP2	76.407	81.753	5.346	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	22	però è f- non è il fuori che hanno contato [cioè proprio la città e il capitale che hanno entrato] cioè proprio::	però è f- non è il fuori che hanno contato [cioè proprio la città e il capitale che hanno entrato] cioè proprio::	però è f- non è il fuori che hanno contato cioè proprio la città e il capitale che hanno entrato cioè proprio
41	SP1	79.047	80.953	1.906	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	6	[sì sì certo {P} °sì sì sì°]	[sì sì certo {P} °sì sì sì°]	sì sì certo {P} sì sì sì
42	SP1	82.307	89.692	7.385	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	23	sì sì certo no ma [io-] a me mi sembrava impossibile che una città italiana neanche la capitale fosse grande come [la capita-] {ride}	sì sì certo no ma [io-] a me mi sembrava impossibile che una città italiana neanche la capitale fosse grande come [la capita-] {ride}	sì sì certo no ma io- a me mi sembrava impossibile che una città italiana neanche la capitale fosse grande come la capita- {ride}
43	SP2	83.387	83.567	0.18	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mh]	[mh]	mh
44	SP2	88.656	98.047	9.391	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	25	[beh no è come] è più g- cioè è come grande della venezia che venezia è una città bella grande quattrocentoquatto- e:h quattrocentoquattordici metri quadrati	[beh no è come] è più g- cioè è come grande della venezia che venezia è una città bella grande quattrocentoquatto- e:h quattrocentoquattordici metri quadrati	beh no è come è più g- cioè è come grande della venezia che venezia è una città bella grande quattrocentoquatto- eh quattrocentoquattordici metri quadrati
45	SP1	98.42	105.72	7.3	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	19	(>guarda<) che s- mh perché conteranno tutta la provincia per[ché vene]zia città è un'isoletta grande co[sì praticamente {ride} sì]	(>guarda<) che s- mh perché conteranno tutta la provincia per[ché vene]zia città è un'isoletta grande co[sì praticamente {ride} sì]	guarda che s- mh perché conteranno tutta la provincia perché venezia città è un' isoletta grande così praticamente {ride} sì
46	SP2	101.266	101.6	0.334	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[sì]	[sì]	sì
47	SP2	103.22	110.222	7.002	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	19	[eh eh assolutamente] {ride} poi se andiamo ancora un po' avanti ci sono colli che non con- non contano [neanche]	[eh eh assolutamente] {ride} poi se andiamo ancora un po' avanti ci sono colli che non con- non contano [neanche]	eh eh assolutamente {ride} poi se andiamo ancora un po' avanti ci sono colli che non con- non contano neanche
48	SP1	108.913	113.3	4.387	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	[no no infa]tti infatti no ma mi sembrava strano in[fatti] ma	[no no infa]tti infatti no ma mi sembrava strano in[fatti] ma	no no infatti infatti no ma mi sembrava strano infatti ma
49	SP2	112.469	112.736	0.267	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[sì]	[sì]	sì
50	SP1	113.327	119.747	6.42	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	20	no e quindi mi dicevi che nella {P} nella zona della tua famiglia ci sono delle ini- delle iniziative culturali [delle:]	no e quindi mi dicevi che nella {P} nella zona della tua famiglia ci sono delle ini- delle iniziative culturali [delle:]	no e quindi mi dicevi che nella {P} nella zona della tua famiglia ci sono delle ini- delle iniziative culturali delle
51	SP2	118.957	119.787	0.83	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[sì sì]	[sì sì]	sì sì
52	SP1	120.113	124.48	4.367	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	o e [dei siti storici] o che cosa: [anche o archeolo]gici?	o e [dei siti storici] o che cosa: [anche o archeolo]gici?	o e dei siti storici o che cosa anche o archeologici
53	SP2	120.656	121.656	1.0	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	[ma adesso uguale]	[ma adesso uguale]	ma adesso uguale
54	SP2	123.307	124.307	1.0	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	[no sì dei si-]	[no sì dei si-]	no sì dei si-
55	SP2	125.005	132.213	7.208	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	18	no guar[da] che là e: sì proprio: m:h ci sono la città un po' un po' più culturale	no guar[da] che là e: sì proprio: m:h ci sono la città un po' un po' più culturale	no guarda che là e sì proprio mh ci sono la città un po' un po' più culturale
56	SP1	125.379	125.8	0.421	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[°no°]	[°no°]	no
57	SP1	132.258	133.716	1.458	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	o[kay un po' più culturale]	o[kay un po' più culturale]	okay un po' più culturale
58	SP2	132.38	134.2	1.82	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	[poi adesso guarda che] è un po'	[poi adesso guarda che] è un po'	poi adesso guarda che è un po'
59	SP2	134.7	141.427	6.727	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	22	già persa un po': che andava dice a vivere la città che adesso tutti quanti che sta perdendo il lavoro °e questo°	già persa un po': che andava dice a vivere la città che adesso tutti quanti che sta perdendo il lavoro °e questo°	già persa un po' che andava dice a vivere la città che adesso tutti quanti che sta perdendo il lavoro e questo
60	SP1	141.427	141.873	0.446	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	là	là	là
61	SP2	141.945	142.391	0.446	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	là	là	là
62	SP1	142.475	144.017	1.542	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	3	okay {P} [ma cioè]	okay {P} [ma cioè]	okay {P} ma cioè
63	SP2	143.174	149.667	6.493	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	21	[sì {P} cioè tutti] tutti adesso tornando come la città c'è andato: cioè verso la città per vivere (lì e) sì	[sì {P} cioè tutti] tutti adesso tornando come la città c'è andato: cioè verso la città per vivere (lì e) sì	sì {P} cioè tutti tutti adesso tornando come la città c' è andato cioè verso la città per vivere lì e sì
