"x","predicted","std.error","conf.low","conf.high","group","predictor","dependent_var"
"1",32.562848011531,8.93680036449271,14.6382527507846,50.4874432722774,"1","minute","n_TUs_norm"
"2",52.6312852193411,8.56307189859924,35.4562794330531,69.806291005629,"1","minute","n_TUs_norm"
"3",72.6992116478946,8.93680036449271,54.7746163871482,90.6238069086411,"1","minute","n_TUs_norm"
"expert",52.6312852193411,8.56307189859924,35.4562794330531,69.806291005629,"1","expert","n_TUs_norm"
"novice",49.0949865059068,11.6284160961391,25.7718010764789,72.4181719353346,"1","expert","n_TUs_norm"
"asr-assisted",52.6312852193411,8.56307189859924,35.4562794330531,69.806291005629,"1","phase","n_TUs_norm"
"manual",57.4191640072199,8.56307189859924,40.2441582209319,74.5941697935078,"1","phase","n_TUs_norm"
"free-conversation",52.6312852193411,8.56307189859924,35.4562794330531,69.806291005629,"1","data","n_TUs_norm"
"interview",22.1772605403644,8.56307189859924,5.00225475407646,39.3522663266524,"1","data","n_TUs_norm"
"L2-interview",59.7294242251061,6.70333309164021,46.2845079614496,73.1743404887625,"1","data","n_TUs_norm"
"1",-3.50712623256154,8.62587488564942,-20.8086062504059,13.7943537852828,"1","minute","n_TUs_delta"
"2",-10.8025975320557,8.26734265975537,-27.3849460734652,5.77975100935376,"1","minute","n_TUs_delta"
"3",-18.0980353234706,8.62587488564941,-35.399515341315,-0.79655530562631,"1","minute","n_TUs_delta"
"expert",-10.8025975320557,8.26734265975537,-27.3849460734652,5.77975100935376,"1","expert","n_TUs_delta"
"novice",-5.62579104430565,11.3354930849867,-28.3621290624456,17.1105469738344,"1","expert","n_TUs_delta"
"asr-assisted",-10.8025975320557,8.26734265975537,-27.3849460734652,5.77975100935376,"1","phase","n_TUs_delta"
"manual",-15.5904763199345,8.26734265975537,-32.172824861344,0.991872221474971,"1","phase","n_TUs_delta"
"free-conversation",-10.8025975320557,8.26734265975537,-27.3849460734652,5.77975100935376,"1","data","n_TUs_delta"
"interview",11.3393100475302,8.26734265975537,-5.24303849387931,27.9216585889397,"1","data","n_TUs_delta"
"L2-interview",-3.92301958042824,6.46815989423958,-16.8966298687698,9.0505907079133,"1","data","n_TUs_delta"
"1",61.5138147024891,9.63862869012333,42.2336793980937,80.7939500068844,"1","minute","TUs_duration_norm"
"2",101.63111919986,8.70035926160763,84.2278029031615,119.034435496558,"1","minute","TUs_duration_norm"
"3",141.747587429762,9.63862869012333,122.467452125366,161.027722734157,"1","minute","TUs_duration_norm"
"expert",101.63111919986,8.70035926160763,84.2278029031615,119.034435496558,"1","expert","TUs_duration_norm"
"novice",97.6583100860312,7.6874350660108,82.2811446217866,113.035475550276,"1","expert","TUs_duration_norm"
"asr-assisted",101.63111919986,8.70035926160763,84.2278029031615,119.034435496558,"1","phase","TUs_duration_norm"
"manual",97.0541798059201,8.70035926160763,79.650863509222,114.457496102618,"1","phase","TUs_duration_norm"
"free-conversation",101.63111919986,8.70035926160763,84.2278029031615,119.034435496558,"1","data","TUs_duration_norm"
"interview",61.6785574980008,8.70035926160763,44.2752412013027,79.0818737946988,"1","data","TUs_duration_norm"
"L2-interview",122.544177422,7.3930306859105,107.7559086219,137.3324462221,"1","data","TUs_duration_norm"
"1",-23.671641328715,8.96314076515496,-41.6360279206953,-5.70725473673474,"1","minute","TU_duration_delta"
"2",-33.321362223448,8.52181626956832,-50.4012236184069,-16.2415008284891,"1","minute","TU_duration_delta"
"3",-42.9726867832605,8.96314076515496,-60.9370733752408,-25.0083001912802,"1","minute","TU_duration_delta"
"expert",-33.321362223448,8.52181626956832,-50.4012236184069,-16.2415008284891,"1","expert","TU_duration_delta"
"novice",-21.7200854053184,9.87916825409188,-41.5204212891047,-1.91974952153212,"1","expert","TU_duration_delta"
"asr-assisted",-33.321362223448,8.52181626956832,-50.4012236184069,-16.2415008284891,"1","phase","TU_duration_delta"
"manual",-28.7564228295087,8.52181626956832,-45.8362842244675,-11.6765614345498,"1","phase","TU_duration_delta"
"free-conversation",-33.321362223448,8.52181626956832,-50.4012236184069,-16.2415008284891,"1","data","TU_duration_delta"
"interview",-0.840724987122611,8.52181626956831,-17.9205863820815,16.2391364078363,"1","data","TU_duration_delta"
"L2-interview",-12.1031681514706,6.77287791320042,-25.6777175600912,1.47138125714994,"1","data","TU_duration_delta"
"1",239.535155033439,30.3730269031813,178.78002770597,300.290282360908,"1","minute","n_tokens_norm"
"2",367.40035000747,27.4164970959513,312.559165516792,422.241534498149,"1","minute","n_tokens_norm"
"3",495.262427760712,30.3730269031813,434.507300433243,556.017555088181,"1","minute","n_tokens_norm"
"expert",367.40035000747,27.4164970959513,312.559165516792,422.241534498149,"1","expert","n_tokens_norm"
"novice",339.071398669047,24.2249789163181,290.614203959487,387.528593378607,"1","expert","n_tokens_norm"
"asr-assisted",367.40035000747,27.4164970959513,312.559165516792,422.241534498149,"1","phase","n_tokens_norm"
"manual",345.157925765046,27.4164970959513,290.316741274367,399.999110255724,"1","phase","n_tokens_norm"
"free-conversation",367.40035000747,27.4164970959513,312.559165516792,422.241534498149,"1","data","n_tokens_norm"
"interview",198.955170492873,27.4164970959512,144.113986002195,253.796354983552,"1","data","n_tokens_norm"
"L2-interview",375.989108178919,23.2967582364897,329.388632122088,422.589584235751,"1","data","n_tokens_norm"
"1",-97.1519746112301,33.9346778002875,-165.132627863812,-29.1713213586479,"1","minute","n_tokens_delta"
"2",-117.420881355288,32.036403029959,-181.598759178579,-53.2430035319959,"1","minute","n_tokens_delta"
"3",-137.697429156685,33.9346778002875,-205.678082409267,-69.7167759041025,"1","minute","n_tokens_delta"
"expert",-117.420881355288,32.036403029959,-181.598759178579,-53.2430035319959,"1","expert","n_tokens_delta"
"novice",-72.4492401758957,34.7605752233247,-142.084397021178,-2.81408333061336,"1","expert","n_tokens_delta"
"asr-assisted",-117.420881355288,32.036403029959,-181.598759178579,-53.2430035319959,"1","phase","n_tokens_delta"
"manual",-95.1784571128633,32.036403029959,-159.356334936155,-31.0005792895716,"1","phase","n_tokens_delta"
