"variable","term","edf","ref_df","F","p_value","r_squared"
"n_TUs_norm","s(minute)",1.00021202157817,1.00042399820319,61.5396733859131,0,0.697474318351573
"n_TUs_norm","s(transcriber)",6.95462138159285,9,3.60858681771229,0.000142952609877067,0.697474318351573
"n_TUs_norm","(Intercept)",NA,NA,NA,1.53981070789262e-07,0.697474318351573
"n_TUs_norm","expertnovice",NA,NA,NA,0.708840796840187,0.697474318351573
"n_TUs_norm","phasemanual",NA,NA,NA,0.256795341874471,0.697474318351573
"n_TUs_norm","datainterview",NA,NA,NA,2.44549020419783e-05,0.697474318351573
"n_TUs_norm","dataL2-interview",NA,NA,NA,0.222956541985748,0.697474318351573
"n_TUs_delta","s(minute)",1.00024572591489,1.00049139144856,8.7810248107803,0.00454691701849053,0.470099216990939
"n_TUs_delta","s(transcriber)",7.02153018243013,9,3.69968802164964,0.000122595355217747,0.470099216990939
"n_TUs_delta","(Intercept)",NA,NA,NA,0.0806770504832377,0.470099216990939
"n_TUs_delta","expertnovice",NA,NA,NA,0.576845520805892,0.470099216990939
"n_TUs_delta","phasemanual",NA,NA,NA,0.238884157732825,0.470099216990939
"n_TUs_delta","datainterview",NA,NA,NA,0.000986092320207776,0.470099216990939
"n_TUs_delta","dataL2-interview",NA,NA,NA,0.220329358144994,0.470099216990939
"TUs_duration_norm","s(minute)",1.00011038046221,1.00022074874057,93.5002843970917,0,0.690280798132453
"TUs_duration_norm","s(transcriber)",0.000998408550833723,9,8.10065009962329e-05,0.677267902693463,0.690280798132453
"TUs_duration_norm","(Intercept)",NA,NA,NA,4.29125206040804e-17,0.690280798132453
"TUs_duration_norm","expertnovice",NA,NA,NA,0.575634869797934,0.690280798132453
"TUs_duration_norm","phasemanual",NA,NA,NA,0.501865102634942,0.690280798132453
"TUs_duration_norm","datainterview",NA,NA,NA,5.26238497263166e-05,0.690280798132453
"TUs_duration_norm","dataL2-interview",NA,NA,NA,0.013520732873174,0.690280798132453
"TU_duration_delta","s(minute)",1.00033580453392,1.00067149630315,12.0559109638354,0.00101101903298534,0.427323532523526
"TU_duration_delta","s(transcriber)",5.25065332796489,9,1.31432939821631,0.0318998135001052,0.427323532523526
"TU_duration_delta","(Intercept)",NA,NA,NA,4.77464194437228e-06,0.427323532523526
"TU_duration_delta","expertnovice",NA,NA,NA,0.127226143542108,0.427323532523526
"TU_duration_delta","phasemanual",NA,NA,NA,0.318765635681144,0.427323532523526
"TU_duration_delta","datainterview",NA,NA,NA,1.63905514445933e-05,0.427323532523526
"TU_duration_delta","dataL2-interview",NA,NA,NA,0.000911736540931954,0.427323532523526
"n_tokens_norm","s(minute)",1.00011354115459,1.00022706941758,95.6579167796196,0,0.693207809569617
"n_tokens_norm","s(transcriber)",0.00121957352256354,9,0.000100524132781963,0.666987094433449,0.693207809569617
"n_tokens_norm","(Intercept)",NA,NA,NA,1.07363263135841e-19,0.693207809569617
"n_tokens_norm","expertnovice",NA,NA,NA,0.207695339298166,0.693207809569617
"n_tokens_norm","phasemanual",NA,NA,NA,0.301603625926516,0.693207809569617
"n_tokens_norm","datainterview",NA,NA,NA,2.37835131094162e-07,0.693207809569617
"n_tokens_norm","dataL2-interview",NA,NA,NA,0.741287556394896,0.693207809569617
"n_tokens_delta","s(minute)",1.00034306788057,1.00068601806556,3.27770877903078,0.0755293050211577,0.332404510101679
"n_tokens_delta","s(transcriber)",4.04907112421091,9,0.805085328926046,0.0911075389766324,0.332404510101679
"n_tokens_delta","(Intercept)",NA,NA,NA,4.72424937930455e-05,0.332404510101679
"n_tokens_delta","expertnovice",NA,NA,NA,0.0905441994139529,0.332404510101679
"n_tokens_delta","phasemanual",NA,NA,NA,0.228737804594474,0.332404510101679
"n_tokens_delta","datainterview",NA,NA,NA,0.00241620257635564,0.332404510101679
"n_tokens_delta","dataL2-interview",NA,NA,NA,0.000288146801900633,0.332404510101679
"n_lingtoks_norm","s(minute)",1.00004270784416,1.00008541386435,98.854197505126,0,0.69922168688892
"n_lingtoks_norm","s(transcriber)",0.000421190674016311,9,2.81379008782185e-05,0.788678183776894,0.69922168688892
"n_lingtoks_norm","(Intercept)",NA,NA,NA,5.5246777345908e-20,0.69922168688892
"n_lingtoks_norm","expertnovice",NA,NA,NA,0.222546230965203,0.69922168688892
"n_lingtoks_norm","phasemanual",NA,NA,NA,0.275468322429367,0.69922168688892
"n_lingtoks_norm","datainterview",NA,NA,NA,1.49589570118705e-07,0.69922168688892
"n_lingtoks_norm","dataL2-interview",NA,NA,NA,0.819298147353215,0.69922168688892
"n_lingtoks_delta","s(minute)",1.00033950229394,1.00067888932608,2.6895297437691,0.106539958350784,0.315933242845184
"n_lingtoks_delta","s(transcriber)",4.45128277833696,9,0.964212477730397,0.0635302354194263,0.315933242845184
"n_lingtoks_delta","(Intercept)",NA,NA,NA,0.000253123476823801,0.315933242845184
"n_lingtoks_delta","expertnovice",NA,NA,NA,0.163395130369922,0.315933242845184
"n_lingtoks_delta","phasemanual",NA,NA,NA,0.229321033277336,0.315933242845184
"n_lingtoks_delta","datainterview",NA,NA,NA,0.0038245909429966,0.315933242845184
"n_lingtoks_delta","dataL2-interview",NA,NA,NA,0.000724463193288286,0.315933242845184
"n_NVB_norm","s(minute)",1.00044351275449,1.00088682880542,2.9454754766484,0.0917731649312729,0.198943743033413
"n_NVB_norm","s(transcriber)",5.20780022589029,9,1.40121931486844,0.021593964371257,0.198943743033413
"n_NVB_norm","(Intercept)",NA,NA,NA,0.00174922581379329,0.198943743033413
"n_NVB_norm","expertnovice",NA,NA,NA,0.518972316615717,0.198943743033413
"n_NVB_norm","phasemanual",NA,NA,NA,0.368419079482067,0.198943743033413
