phase	transcriber	expert	data	minutes	transcribed_seconds	transcribed_delta
manual	A	expert	L2-interview	30	74	74
manual	A	expert	L2-interview	60	110	36
manual	A	expert	L2-interview	90	153	43
asr-assisted	A	expert	L2-interview	30	60	60
asr-assisted	A	expert	L2-interview	60	129	69
asr-assisted	A	expert	L2-interview	90	193	64
manual	E	expert	interview	30	117	117
manual	E	expert	interview	60	268	151
manual	E	expert	interview	90	378	110
asr-assisted	E	expert	free-conversation	30	113	113
asr-assisted	E	expert	free-conversation	60	257	144
asr-assisted	E	expert	free-conversation	90	360	103
manual	I	expert	L2-interview	30	71	71
manual	I	expert	L2-interview	60	133	62
manual	I	expert	L2-interview	90	206	73
asr-assisted	I	expert	interview	30	69	69
asr-assisted	I	expert	interview	60	138	69
asr-assisted	I	expert	interview	90	229	91
manual	L	novice	L2-interview	30	41	41
manual	L	novice	L2-interview	60	79	38
manual	L	novice	L2-interview	90	130	51
asr-assisted	L	novice	interview	30	51	51
asr-assisted	L	novice	interview	60	118	67
asr-assisted	L	novice	interview	90	224	106
manual	M	novice	interview	30	48	48
manual	M	novice	interview	60	90	42
manual	M	novice	interview	90	149	59
asr-assisted	M	novice	free-conversation	30	67	67
asr-assisted	M	novice	free-conversation	60	162	95
asr-assisted	M	novice	free-conversation	90	239	77
manual	N	novice	interview	30	64	64
manual	N	novice	interview	60	117	53
manual	N	novice	interview	90	180	63
asr-assisted	N	novice	L2-interview	30	70	70
asr-assisted	N	novice	L2-interview	60	144	74
asr-assisted	N	novice	L2-interview	90	213	69
manual	O	expert	free-conversation	30	90	90
manual	O	expert	free-conversation	60	180	90
manual	O	expert	free-conversation	90	254	74
asr-assisted	O	expert	L2-interview	60	220	100
asr-assisted	O	expert	L2-interview	90	396	176
manual	R	novice	free-conversation	30	40	40
manual	R	novice	free-conversation	60	72	32
manual	R	novice	free-conversation	90	135	63
asr-assisted	R	novice	L2-interview	30	64	64
asr-assisted	R	novice	L2-interview	60	104	40
asr-assisted	R	novice	L2-interview	90	173	69
manual	S	novice	L2-interview	30	49	49
manual	S	novice	L2-interview	60	110	61
manual	S	novice	L2-interview	90	155	45
asr-assisted	S	novice	interview	30	180	180
asr-assisted	S	novice	interview	60	300	120
asr-assisted	S	novice	interview	90	410	110
manual	U	novice	L2-interview	30	42	42
manual	U	novice	L2-interview	60	77	35
manual	U	novice	L2-interview	90	110	33
asr-assisted	U	novice	free-conversation	30	82	82
asr-assisted	U	novice	free-conversation	60	147	65
asr-assisted	U	novice	free-conversation	90	236	89
manual	V	novice	free-conversation	30	53	53
manual	V	novice	free-conversation	60	73	20
manual	V	novice	free-conversation	90	138	65
asr-assisted	V	novice	L2-interview	30	69	69
asr-assisted	V	novice	L2-interview	60	149	80
asr-assisted	V	novice	L2-interview	90	217	68
