phase	transcriber	expert	data	minute	n.TUs
2	I	yes	parlabo	1	21
2	L	no	parlabo	1	32
2	S	yes	parlabo	1	14
1	E	yes	parlabo	1	23
1	M	no	parlabo	1	30
1	N	no	parlabo	1	24
1	O	yes	pasti	1	36
1	R	no	pasti	1	29
2	E	yes	pasti	1	35
2	M	no	pasti	1	30
1	V	no	pasti	1	21
2	U	no	pasti	1	36
1	I	yes	straparla	1	33
1	L	no	straparla	1	29
2	A	yes	straparla	1	26
2	V	no	straparla	1	18
1	A	yes	straparla	1	26
2	O	yes	straparla	1	22
2	R	no	straparla	1	18
1	S	yes	straparla	1	23
1	U	no	straparla	1	58
2	N	no	straparla	1	25
2	I	yes	parlabo	2	45
2	L	no	parlabo	2	59
2	S	yes	parlabo	2	27
1	E	yes	parlabo	2	48
1	M	no	parlabo	2	57
1	N	no	parlabo	2	48
1	O	yes	pasti	2	67
1	R	no	pasti	2	56
2	E	yes	pasti	2	64
2	M	no	pasti	2	57
1	V	no	pasti	2	42
2	U	no	pasti	2	71
1	I	yes	straparla	2	67
1	L	no	straparla	2	70
2	A	yes	straparla	2	58
2	V	no	straparla	2	40
1	A	yes	straparla	2	65
2	O	yes	straparla	2	50
2	R	no	straparla	2	48
1	S	yes	straparla	2	42
1	U	no	straparla	2	122
2	N	no	straparla	2	47
2	I	yes	parlabo	3	63
2	L	no	parlabo	3	82
2	S	yes	parlabo	3	42
1	E	yes	parlabo	3	67
1	M	no	parlabo	3	81
1	N	no	parlabo	3	65
1	O	yes	pasti	3	93
1	R	no	pasti	3	83
2	E	yes	pasti	3	92
2	M	no	pasti	3	85
1	V	no	pasti	3	66
2	U	no	pasti	3	107
1	I	yes	straparla	3	93
1	L	no	straparla	3	103
2	A	yes	straparla	3	91
2	V	no	straparla	3	69
1	A	yes	straparla	3	106
2	O	yes	straparla	3	80
2	R	no	straparla	3	79
1	S	yes	straparla	3	59
1	U	no	straparla	3	151
2	N	no	straparla	3	75
