0	SP1	persone che magari puoi avere incontrato [un pò:]	persone che magari puoi avere incontrato un po':

1	SP2	[m:h]	mh
2	SP2	bah e:h	bah eh
3	SP2	si cioè è sempre pieno di:persone che fanno l'elemosina sotto i [portici]	si cioè è sempre pieno dipersone che fanno l elemosina sotto i portici

4	SP1	[mh]mh	mhmh

5	SP2	soprattutto su via indipendenza: ce ne sono [diversi]	soprattutto su via indipendenza ce ne sono diversi

6	SP1	[sì è vero]	sì è vero

7	SP2	anche sotto i portici di via:	anche sotto i portici di via
8	SP2	di viale:	di viale
9	SP2	m:h masini	mh masini
10	SP2	perchè io passo spesso di lì	perché io passo spesso di lì
11	SP2	e:h	eh
12	SP2	però apparte insomma persone: che [fanno] l'elemosina: sì m:h a:h incontri anche molte persone che ti fermano per	però apparte insomma persone che fanno l elemosina sì mh ah incontri anche molte persone che ti fermano per

13	SP1	[mhmh]	mhmh
14	SP1	sì	sì

15	SP2	per chiederti di fare [beneficienza] ((ride)) le classiche persone che sono sotto ai portici	per chiederti di fare beneficienza {ride} le classiche persone che sono sotto ai portici

16	SP1	((ride)) [esatto]	{ride} esatto

17	SP2	e:h m:h a volte persone famose ogni tanto una volta ho incontrato piff ad esempi[o:]	eh mh a volte persone famose ogni tanto una volta ho incontrato piff ad esempio

18	SP1	[ah ah ah] sìsìsì	ah ah ah sìsìsì

19	SP2	e:h x un hotel che è lì su via indipenden[za]	eh x un hotel che è lì su via indipendenza

20	SP1	[anche] cremonini dicono che [(si aspetti) x neanche io mai]	anche cremonini dicono che si aspetti x neanche io mai

21	SP2	[cremoni- e:h] non l'ho ancora incontrato cremonini ((ride))	cremoni eh non l ho ancora incontrato cremonini {ride}
22	SP2	però in questi tre anni perchè io sono dal duemiladiciotto x sì tre anni che sono lì non ho ancora incrociato cremonini ((ride))	però in questi tre anni perché io sono dal duemiladiciotto x sì tre anni che sono lì non ho ancora incrociato cremonini {ride}

23	SP1	vabbè magari dai [quest'anno sarà l'anno buono]	vabbè magari dai quest anno sarà l anno buono

24	SP2	[ma sì chissà] infatti infatti	ma sì chissà infatti infatti

25	SP1	e:h anche per il fatto che hanno messo le luci con le scritte delle canzoni [cosa ne pensi?]	eh anche per il fatto che hanno messo le luci con le scritte delle canzoni cosa ne pensi

26	SP2	[ah bello quello] mi è piaciuto molto sìsì quello:	ah bello quello mi è piaciuto molto sìsì quello
27	SP2	ci stava secondo [me] perchè e:h dai cremonini comunque è il cantante di bolo- [cioè] apparte lucio dalla ovviamente però	ci stava secondo me perché eh dai cremonini comunque è il cantante di bolo cioè apparte lucio dalla ovviamente però

28	SP1	[bello]	bello
29	SP1	[sì]	sì
30	SP1	che poi hanno messo anche [le sue: vero?]	che poi hanno messo anche le sue vero

31	SP2	[e infatti poi] x [hanno messo] anche le sue	e infatti poi x hanno messo anche le sue

32	SP1	[sìsì]	sìsì

33	SP2	e:h però ci sta è: cantante moderno [diciamo più:]	eh però ci sta è cantante moderno diciamo più

34	SP1	[mhmh anche secondo me]	mhmh anche secondo me

35	SP2	più bolognese	più bolognese

36	SP1	[e invece] il tuo posto del cuore di bologna?	e invece il tuo posto del cuore di bologna

37	SP2	[carino]	carino

38	SP1	non so anche solo un bar [a cui] sei particolarmente affezionata?	non so anche solo un bar a cui sei particolarmente affezionata

39	SP2	[mh]	mh
40	SP2	m:h	mh
41	SP2	e:h forse: m:h	eh forse mh
42	SP2	mangiare un gelato seduti sul gradino di piazza santo stefano ((ride))	mangiare un gelato seduti sul gradino di piazza santo stefano {ride}

43	SP1	a:h lì è [bellissimo]	ah lì è bellissimo

44	SP2	[perchè lì] piazza santo stefano mi piace molto poi c'è di fianco la mia gelateria preferita	perché lì piazza santo stefano mi piace molto poi c è di fianco la mia gelateria preferita
45	SP2	e quindi spesso d'estate col mio ragazzo andiamo: andiamo lì; prendiamo un gelato e ci sediamo: in piazza: [santo] stefano quindi forse quello sì	e quindi spesso d estate col mio ragazzo andiamo andiamo lì prendiamo un gelato e ci sediamo in piazza santo stefano quindi forse quello sì

46	SP1	[bello]	bello
47	SP1	bellissimo	bellissimo
48	SP1	e in generale bologna ritieni che sia una bella città in cui vivere:	e in generale bologna ritieni che sia una bella città in cui vivere

49	SP2	sì sìsì secondo me è una bella città in cui vivere	sì sìsì secondo me è una bella città in cui vivere
50	SP2	e:h m:h	eh mh
51	SP2	non so se effettivamente ci vivrei forse con una famiglia [e:h (la)]	non so se effettivamente ci vivrei forse con una famiglia eh la

52	SP1	[okay quindi più] per giovani [magari]	okay quindi più per giovani magari

53	SP2	[sì] secondo me è una città più per giovani per studenti:	sì secondo me è una città più per giovani per studenti
54	SP2	perchè:	perché
55	SP2	sì ci sono molte attività che puoi fare poi sicuramente ci sono cose anche per per le famiglie chiaramente	sì ci sono molte attività che puoi fare poi sicuramente ci sono cose anche per per le famiglie chiaramente
56	SP2	però: mi sembra un pò più a misura di: di giovane	però mi sembra un po più a misura di di giovane

57	SP1	mhmh	mhmh

58	SP2	che: che famiglia	che che famiglia

59	SP1	e:h secondo te i suoi punti forti secondo te quali sono?	eh secondo te i suoi punti forti secondo te quali sono

60	SP2	ah i punti forti: sicuramente	ah i punti forti sicuramente
61	SP2	m:h la storia cioè l'architettura il il centro storico [è] proprio pieno di	mh la storia cioè l architettura il il centro storico è proprio pieno di

62	SP1	[mhmh]	mhmh
63	SP1	((schiarisce la voce))	{schiarisce_la_voce}

64	SP2	dalle torri: a: san petronio: insomma è proprio bella: a livello secondo me architettonico: e storico	dalle torri a san petronio insomma è proprio bella a livello secondo me architettonico e storico
65	SP2	e:h poi la vita c'è sempre un sacco di cose da fare: se il weekend esci è pieno di gente [in centro] tutti i locali:	eh poi la vita c è sempre un sacco di cose da fare se il weekend esci è pieno di gente in centro tutti i locali

66	SP1	[è vero]	è vero

67	SP2	e:h appunto senti che è viva è molto vissuta come città	eh appunto senti che è viva è molto vissuta come città
68	SP2	e:h poi vabbè ci sono concerti; stadio cioè ci son tante cose da fare: se se vuoi: se vuoi viverla quindi secondo me queste sono un pò:	eh poi vabbè ci sono concerti stadio cioè ci son tante cose da fare se se vuoi se vuoi viverla quindi secondo me queste sono un po':

69	SP1	i mezzi di trasporto anche:	i mezzi di trasporto anche

70	SP2	e:h i mezzi di trasporto: come dicevo se sei in centro sto- dentro alle mura	eh i mezzi di trasporto come dicevo se sei in centro sto dentro alle mura
71	SP2	m:h vai in bicicletta vai a piedi ovunque menomale	mh vai in bicicletta vai a piedi ovunque menomale
72	SP2	anche l'autobus secondo me funzionano abbastanza bene non mi sembrano:	anche l autobus secondo me funzionano abbastanza bene non mi sembrano
73	SP2	cioè m:h particolarmente: inefficienti	cioè mh particolarmente inefficienti

74	SP1	[mhmh]	mhmh

75	SP2	[però:]	però
76	SP2	sì l- la macchina a bologna non è: vivibile	sì l la macchina a bologna non è vivibile

77	SP1	non è [vivibile]	non è vivibile

78	SP2	[non è] vivibile perchè se ripeto de- se: sei fuori dal centro magari la usi [per] andare	non è vivibile perché se ripeto de se sei fuori dal centro magari la usi per andare

79	SP1	[mhmh]	mhmh

80	SP2	non so all'ikea o:	non so all ikea o

81	SP1	sì ((ride))	sì {ride}

82	SP2	fuori ((ride))	fuori {ride}
83	SP2	se devi venire in centro: è proprio scomodo perchè: ripet- ripeto vedo delle file per entrare nel parcheggio ((ride)) cioè quello lì in piazza otto agosto	se devi venire in centro è proprio scomodo perché ripet ripeto vedo delle file per entrare nel parcheggio {ride} cioè quello lì in piazza otto agosto

84	SP1	mhmh	mhmh

85	SP2	che tutte le settimane è abbastanza:	che tutte le settimane è abbastanza
86	SP2	x abbastanza lunga quella fila quindi:	x abbastanza lunga quella fila quindi
87	SP2	io: ho delle amiche che hanno la macchina	io ho delle amiche che hanno la macchina

88	SP1	mhmh	mhmh

89	SP2	perchè vivono fuori	perché vivono fuori
90	SP2	però anche loro ad esempio quando devono venire a casa mia [e:h]	però anche loro ad esempio quando devono venire a casa mia eh

91	SP1	[eh] fanno più [fatica]	eh fanno più fatica

