tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.1	1.977	1.877	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	ci sono delle università?	ci sono delle università?	ci sono delle università
2	SP2	2.5	6.8	4.3	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	15	sì no [è vero in città] e un po' più in città [(c'è) tutto]	sì no [è vero in città] e un po' più in città [(c'è) tutto]	sì no è vero in città e un po' più in città c' è tutto
3	SP1	2.9	4.395	1.495	True	0	0	0	0	0	0	0	False	False	False	False	True	2=1.495	0	0	0	3	più nella capital-	più nella capital-	più nella capital-
4	SP1	5.0	7.0	2.0	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	4	[ok (.) ok] ok [e:]	[ok {P} ok] ok [e:]	ok {P} ok ok e
5	SP2	6.89	7.6	0.71	True	0	0	0	0	0	0	0	False	False	False	False	True	4=0.110	0	0	0	3	di: em capitale	di: em capitale	di em capitale
6	SP1	7.79	11.803	4.013	True	1	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	in capitale ok  [e se devi:] °son che°	in capitale ok [e se devi:] °son che°	in capitale ok e se devi son che
7	SP2	8.6	9.275	0.675	True	0	0	0	0	0	0	0	False	False	False	False	True	6=0.675	0	0	1	1	suono n.i.	suono n.i.	suono n.i.
8	SP2	13.71	15.4	1.69	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	vabbè adesso faccio finire	vabbè adesso faccio finire	vabbè adesso faccio finire
9	SP1	15.59	16.175	0.585	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	°si°	°si°	si
10	SP1	19.7	20.71	1.01	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	andava abbastanza bene no?	andava abbastanza bene no?	andava abbastanza bene no
11	SP3	21.2	21.39	0.19	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
12	SP1	21.5	23.506	2.006	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	proviamo a vedere se em:	proviamo a vedere se em:	proviamo a vedere se em
13	SP1	25.6	27.6	2.0	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	allora dimmi la capitale è molto gra[nde?]	allora dimmi la capitale è molto gra[nde?]	allora dimmi la capitale è molto grande
14	SP2	26.99	33.253	6.263	True	1	0	0	0	0	0	0	False	False	False	False	True	13=0.610,15=0.553	0	0	0	12	la capitale molto grande e: trecento sei virgola quattro e: chilometri  quadr[ati]	la capitale molto grande e: trecento sei virgola quattro e: chilometri quadr[ati]	la capitale molto grande e trecento sei virgola quattro e chilometri quadrati
15	SP1	32.7	34.5	1.8	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[ok] e po[pola]zione?	[ok] e po[pola]zione?	ok e popolazione
16	SP2	33.49	33.7	0.21	True	0	0	0	0	0	0	0	False	False	False	False	True	15=0.210	0	0	0	1	in	in	in
17	SP2	34.7	39.036	4.336	True	0	0	0	0	0	0	0	False	False	False	False	True	18=0.377,19=0.426	1	0	0	7	e: quattordici milioni (.) >[quattordici< punto quattro milioni]	e: quattordici milioni {P} >[quattordici< punto quattro milioni]	e quattordici milioni {P} quattordici punto quattro milioni
18	SP1	37.1	37.477	0.377	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[EH]	[EH]	eh
19	SP1	38.61	42.6	3.99	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	9	[ceh] a bologna è trecento cinquantacinque mila persone [eh] ((ride))	[ceh] a bologna è trecento cinquantacinque mila persone [eh] {ride}	ceh a bologna è trecento cinquantacinque mila persone eh {ride}
