tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.46	5.1	4.64	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	18	e:m: di- infatti il fatto che ha aumentato il turismo ha impattato molto anche il tipo degli affari	e:m: di- infatti il fatto che ha aumentato il turismo ha impattato molto anche il tipo degli affari	em di- infatti il fatto che ha aumentato il turismo ha impattato molto anche il tipo degli affari
2	SP2	5.1	6.9	1.8	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	7	eh può essere e' vero è vero	eh può essere e' vero è vero	eh può essere e' vero è vero
3	SP1	7.22	14.94	7.82	True	1	0	0	0	0	0	1	0	False	False	False	False	False	_	1	0	0, 	16	perché dicevano che molte persone molti: proprietari hanno messo le case su airbnb(.) per il turismo	perché dicevano che molte persone molti: proprietari hanno messo le case su airbnb {P} per il turismo	perché dicevano che molte persone molti proprietari hanno messo le case su airbnb {P} per il turismo
4	SP2	15.0	15.684	0.684	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	2	m: m:	m: m:	m m
5	SP1	16.24	20.4	4.16	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	16	e tutte queste case sono state tolte dal mercato della gente che ci deve vivere insomma	e tutte queste case sono state tolte dal mercato della gente che ci deve vivere insomma	e tutte queste case sono state tolte dal mercato della gente che ci deve vivere insomma
6	SP2	20.4	21.39	0.99	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	2	e' vero	e' vero	e' vero
7	SP1	21.39	24.86	3.47	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	12	quindi sicuramente il turismo ha influito anche su questo: questa cosa qua	quindi sicuramente il turismo ha influito anche su questo: questa cosa qua	quindi sicuramente il turismo ha influito anche su questo questa cosa qua
8	SP1	26.28	30.5	4.22	True	1	0	0	0	0	0	0	0	False	False	False	False	True	9=1.920	0	1	0, 	10	però capisco anche che vogliano comunque incentivare il turismo((ride)) però	però capisco anche che vogliano comunque incentivare il turismo {ride} però	però capisco anche che vogliano comunque incentivare il turismo {ride} però
9	SP2	27.9	29.82	1.92	True	0	0	0	0	0	0	0	0	False	False	False	False	True	8=1.920	0	0	0, 	5	eh sì sì sì sì	eh sì sì sì sì	eh sì sì sì sì
10	SP2	30.91	35.48	4.57	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	17	e invece per il quanto riguarda il lavoro pensi che sia un buon posto in cui lavorare	e invece per il quanto riguarda il lavoro pensi che sia un buon posto in cui lavorare	e invece per il quanto riguarda il lavoro pensi che sia un buon posto in cui lavorare
11	SP2	36.14	38.28	2.14	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	6	cioè secondo te si trova lavoro:?	cioè secondo te si trova lavoro:?	cioè secondo te si trova lavoro
12	SP1	38.62	39.57	0.95	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	3	ah ok come:	ah ok come:	ah ok come
13	SP1	39.57	48.79	9.22	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	15	sì no bologna sicuramente: secondo me ha molte opportunità lavorative rispetto ad esempio a forlì	sì no bologna sicuramente: secondo me ha molte opportunità lavorative rispetto ad esempio a forlì	sì no bologna sicuramente secondo me ha molte opportunità lavorative rispetto ad esempio a forlì
14	SP1	48.79	55.16	6.37	True	1	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0, 	15	adesso prendiamo forlì come riferimento però(.) c'è sicuramente molta più offerta lavorativa su bologna	adesso prendiamo forlì come riferimento però {P} c'è sicuramente molta più offerta lavorativa su bologna	adesso prendiamo forlì come riferimento però {P} c' è sicuramente molta più offerta lavorativa su bologna
15	SP1	55.2	64.96	9.76	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0, 	19	perché: (.) un po' ci sono molte industrie poi dipende uno che cosa fa però c'è: sia l'industria	perché: {P} un po' ci sono molte industrie poi dipende uno che cosa fa però c'è: sia l'industria	perché {P} un po' ci sono molte industrie poi dipende uno che cosa fa però c' è sia l' industria
16	SP1	65.16	71.14	5.98	True	0	0	0	0	0	0	0	0	False	False	False	False	True	17=1.489	0	0	0, 	19	e la regione poi del motor valley sai ci sono più delle aziende di motori in quella zona lì	e la regione poi del motor valley sai ci sono più delle aziende di motori in quella zona lì	e la regione poi del motor valley sai ci sono più delle aziende di motori in quella zona lì
17	SP2	68.6	70.089	1.489	True	0	0	0	0	0	0	0	0	False	False	False	False	True	16=1.489	0	0	0, 	4	e: sì sì sì	e: sì sì sì	e sì sì sì
18	SP1	71.14	77.71	6.57	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	18	poi anche più verso modena in realtà però e: secondo me c'è un po' di tutto comunque	poi anche più verso modena in realtà però e: secondo me c'è un po' di tutto comunque	poi anche più verso modena in realtà però e secondo me c' è un po' di tutto comunque
19	SP1	77.71	81.5	3.79	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	10	anche a livello umanistico qualcosa sì si trova a bologna	anche a livello umanistico qualcosa sì si trova a bologna	anche a livello umanistico qualcosa sì si trova a bologna
20	SP1	82.7	89.33	6.63	True	0	0	0	0	0	0	0	0	False	False	False	False	True	21=1.389	0	0	0, 	15	e: io poi ho trovato lavoro tramite un concorso quindi quello magari è di piacere	e: io poi ho trovato lavoro tramite un concorso quindi quello magari è di piacere	e io poi ho trovato lavoro tramite un concorso quindi quello magari è di piacere
21	SP2	85.909	87.298	1.389	True	0	0	0	0	0	0	0	0	False	False	False	False	True	20=1.389	0	0	0, 	4	ah ok m: m:	ah ok m: m:	ah ok m m
22	SP1	89.33	93.02	3.69	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	13	però anche nel pubblico probabilmente a bologna c'è molto di più rispetto	però anche nel pubblico probabilmente a bologna c'è molto di più rispetto	però anche nel pubblico probabilmente a bologna c' è molto di più rispetto
23	SP2	93.02	94.12	1.1	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	3	magari più posti	magari più posti	magari più posti
24	SP1	94.12	101.72	7.6	True	1	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0, 	16	sì esatto l'università di bologna diciamo che(.) porta tanto lavoro in tanti modi secondo me	sì esatto l'università di bologna diciamo che {P} porta tanto lavoro in tanti modi secondo me	sì esatto l' università di bologna diciamo che {P} porta tanto lavoro in tanti modi secondo me
25	SP1	103.591	110.24	6.649	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	16	e: quindi sì so sicuramente ci sono buone opportunità secondo me bologna in tutta la regione	e: quindi sì so sicuramente ci sono buone opportunità secondo me bologna in tutta la regione	e quindi sì so sicuramente ci sono buone opportunità secondo me bologna in tutta la regione
26	SP1	110.24	112.77	2.53	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	11	penso che sia la città in cui si trova più lavoro	penso che sia la città in cui si trova più lavoro	penso che sia la città in cui si trova più lavoro
27	SP2	112.77	115.56	2.79	True	0	0	0	0	0	0	0	0	False	False	False	False	True	_	0	0	0, 	8	[meglio] e quindi tu di cosa ti occupi?	[meglio] e quindi tu di cosa ti occupi?	meglio e quindi tu di cosa ti occupi
