tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.0	7.62	7.62	True	0	0	0	0	0	0	0	False	False	False	False	False	_	3	0	0	15	bene (.) allora (.) intanto (.) ero curiosa di sapere da quanto tempo c'è questo negozio perché	bene {P} allora {P} intanto {P} ero curiosa di sapere da quanto tempo c'è questo negozio perché	bene {P} allora {P} intanto {P} ero curiosa di sapere da quanto tempo c' è questo negozio perché
2	SP1	7.8	11.54	3.74	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	16	io sono di qui e frequento un po' questa zona ma non l'avevo mai visto	io sono di qui e frequento un po' questa zona ma non l'avevo mai visto	io sono di qui e frequento un po' questa zona ma non l' avevo mai visto
3	SP2	11.82	12.96	1.14	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	no non [è così]	no non [è così]	no non è così
4	SP1	12.53	13.25	0.72	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[strana]mente	[strana]mente	stranamente
5	SP2	13.3	15.92	2.62	True	0	1	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	questo negozio è già da 22 anni	questo negozio è già da ventidue anni	questo negozio è già da ventidue anni
6	SP1	16.22	17.92	1.7	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	ok [Quindi non è nuovo]	ok [Quindi non è nuovo]	ok quindi non è nuovo
7	SP2	16.87	18.04	1.17	True	0	1	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	[sono qui da 6 an]ni	[sono qui da sei an]ni	sono qui da sei anni
8	SP2	18.04	19.7	1.66	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	no no no questo qua non è nuovo	no no no questo qua non è nuovo	no no no questo qua non è nuovo
9	SP2	19.7	21.82	2.12	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	di prima era una casa d'autrice vaisi	di prima era una casa d'autrice vaisi	di prima era una casa d' autrice vaisi
10	SP2	22.65	28.14	5.49	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	poi hanno: <chiuso> allora: già comprato un'altra persona e è fatta copisteria	poi hanno: <chiuso> allora: già comprato un'altra persona e è fatta copisteria	poi hanno chiuso allora già comprato un' altra persona e è fatta copisteria
11	SP1	28.3	28.6	0.3	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	ok	ok	ok
12	SP2	28.88	33.36	4.48	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	poi io sono da terza mano che: andando avanti	poi io sono da terza mano che: andando avanti	poi io sono da terza mano che andando avanti
13	SP1	33.68	34.48	0.8	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	mh mh ok	mh mh ok	mh mh ok
14	SP1	34.86	43.05	8.19	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	24	m:h noi siamo venuti qui a chiedere a te la disponibilità perché il- l-la verità è che siamo andati alla copisteria di via del guasto	m:h noi siamo venuti qui a chiedere a te la disponibilità perché il- l-la verità è che siamo andati alla copisteria di via del guasto	mh noi siamo venuti qui a chiedere a te la disponibilità perché il- l-la verità è che siamo andati alla copisteria di via del guasto
15	SP2	43.19	43.55	0.36	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
16	SP1	43.64	44.04	0.5	True	0	0	0	0	0	0	1	False	False	False	False	False	_	0	0	0	2	a chiedere	a chiedere	a chiedere
17	SP2	44.2	44.35	0.15	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mh	mh	mh
18	SP1	44.440000000000005	47.09	2.75	True	0	0	0	0	0	0	1	False	False	False	False	False	_	0	0	0	12	e i ragazzi ci hanno detto che dovremmo assolutamente venire da te	e i ragazzi ci hanno detto che dovremmo assolutamente venire da te	e i ragazzi ci hanno detto che dovremmo assolutamente venire da te
19	SP2	47.36	51.2	3.84	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	Beh e:h sì perché loro non è: non è abbastanza cioè loro non	Beh e:h sì perché loro non è: non è abbastanza cioè loro non	beh eh sì perché loro non è non è abbastanza cioè loro non
20	SP2	51.45	58.14	6.69	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	20	m:h loro sono bravi' ma non sono: bravi per rispondere a un sacco di [doma]nde che anche non sono bravi	m:h loro sono bravi' ma non sono: bravi per rispondere a un sacco di [doma]nde che anche non sono bravi	mh loro sono bravi' ma non sono bravi per rispondere a un sacco di domande che anche non sono bravi
21	SP1	56.11	56.52	0.41	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mh]	[mh]	mh
22	SP2	58.16	59.94	1.78	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	in italiano proprio per [parole]	in italiano proprio per [parole]	in italiano proprio per parole
23	SP1	59.31	64.44	5.13	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	15	[ok quindi] forse forse il problema era quello [non] abbiamo capito se erano preoccupati perché	[ok quindi] forse forse il problema era quello [non] abbiamo capito se erano preoccupati perché	ok quindi forse forse il problema era quello non abbiamo capito se erano preoccupati perché
24	SP2	61.57	61.92	0.35	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì]	[sì]	sì
25	SP2	64.64	71.64	7.0	True	0	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	21	no non so- non è preoccupati però e:h lo sai che quando qualcuno che m:h non capisce cosa è la do[manda]	no non so- non è preoccupati pero' e:h lo sai che quando qualcuno che m:h non capisce cosa è la do[manda]	no non so- non è preoccupati pero' eh lo sai che quando qualcuno che mh non capisce cosa è la domanda
26	SP1	71.13	71.62	0.49	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[mh mh]	[mh mh]	mh mh
27	SP2	71.84	77.62	5.78	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	17	e quale che è la ri-risposta che sta facendo in un'altra lingua che lui non è abbastanza	e quale che è la ri-risposta che sta facendo in un'altra lingua che lui non è abbastanza	e quale che è la ri-risposta che sta facendo in un' altra lingua che lui non è abbastanza
28	SP2	77.72	78.41	0.69	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	Brava	Brava	brava
29	SP2	78.52	81.5	2.98	True	0	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	11	allora è una [problema per-] [per(ciò)] che è una persona no	allora è una [problema per-] [per(cio')] che è una persona no	allora è una problema per- percio' che è una persona no
30	SP1	79.27	79.73	0.46	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[mh mh]	[mh mh]	mh mh
31	SP1	80.28	80.7	0.42	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[mh mh]	[mh mh]	mh mh
32	SP1	81.6	82.73	1.13	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	[mh mh sì forse]	[mh mh sì forse]	mh mh sì forse
