tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.0	1.79	1.79	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	4	ci sono delle università	ci sono delle università	ci sono delle università
2	SP2	2.56	4.96	2.4	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	8	sì [no le università è pro]prio in città	sì [no le università è pro]prio in città	sì no le università è proprio in città
3	SP1	2.88	4.12	1.24	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	4	[o più nella capita-]	[o più nella capita-]	o più nella capita-
4	SP1	5.12	6.71	1.59	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0, 	4	ok (.) ok ok ok	ok {P} ok ok ok	ok {P} ok ok ok
5	SP1	6.96	10.64	3.68	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	10	[e s-] in capitale in capitale ok e se devi	[e s-] in capitale in capitale ok e se devi	e s- in capitale in capitale ok e se devi
6	SP2	6.97	7.97	1.0	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	3	[di:] in capitale	[di:] in capitale	di in capitale
7	SP3	10.928	11.928	1.0	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	2	°solo che°	°solo che°	solo che
8	SP2	14.06	15.54	1.48	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	6	va be' adesso faccio finire qui	va be' adesso faccio finire qui	va be' adesso faccio finire qui
9	SP3	15.725	16.257	0.532	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	°sì°	°sì°	sì
10	SP2	17.413	19.713	2.3	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	5	detali così che ci vengono	detali così che ci vengono	detali così che ci vengono
11	SP3	19.743	21.18	1.437	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	4	vengono abbastanza bene no	vengono abbastanza bene no	vengono abbastanza bene no
12	SP1	21.32	23.449	2.129	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0, 	4	sì (.) proviamo vedere se:	sì {P} proviamo vedere se:	sì {P} proviamo vedere se
