tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.0	8.27999999999997	8.28	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0, 	24	eh come tabacco no [eh di l]à (.) lavorando più di tre- tremila pers[one non] sono esattamente o tremila o trentamila [ma tre]mila che facciamo	eh come tabacco no [eh di l]à {P} lavorando più di tre- tremila pers[one non] sono esattamente o tremila o trentamila [ma tre]mila che facciamo	eh come tabacco no eh di là {P} lavorando più di tre- tremila persone non sono esattamente o tremila o trentamila ma tremila che facciamo
2	SP2	1.31500000000005	1.827	0.512	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	[okay]	[okay]	okay
3	SP2	4.60800000000006	4.97699999999998	0.369	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	[mhmh]	[mhmh]	mhmh
4	SP2	7.07100000000003	7.37900000000002	0.308	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	[mhmh]	[mhmh]	mhmh
5	SP1	8.68000000000006	11.254	2.574	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0, 	9	ma (.) non si trovano adesso neanche là gli appartam[enti]	ma {P} non si trovano adesso neanche là gli appartam[enti]	ma {P} non si trovano adesso neanche là gli appartamenti
6	SP2	11.01	13.971	2.961	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0, 	9	[eh] esatto te lo era (.) questo che volevo chiederti	[eh] esatto te lo era {P} questo che volevo chiederti	eh esatto te lo era {P} questo che volevo chiederti
7	SP2	14.1320000000001	14.438	0.306	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	perché	perché	perché
8	SP1	14.712	15.139	0.427	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	2	eh sì	eh sì	eh sì
9	SP2	15.323	16.7040000000001	1.381	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	5	se tutti vogliono vivere lì	se tutti vogliono vivere lì	se tutti vogliono vivere lì
10	SP1	17.4	19.845	2.445	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	2	0	0, 	7	sì (.) non si trovano appartament[i] (.) la verit[à]	sì {P} non si trovano appartament[i] {P} la verit[à]	sì {P} non si trovano appartamenti {P} la verità
11	SP2	18.982	19.21	0.228	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	[°mhmh°]	[°mhmh°]	mhmh
12	SP2	19.729	20.069	0.34	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	[mh]mh	[mh]mh	mhmh
13	SP1	20.133	23.773	3.64	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	8	piuttosto che: ci sono un sacco di: gente	piuttosto che: ci sono un sacco di: gente	piuttosto che ci sono un sacco di gente
14	SP1	24.3390000000001	27.017	2.678	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0, 	8	come: non vuole dare (.) appartamenti per la famiglia	come: non vuole dare {P} appartamenti per la famiglia	come non vuole dare {P} appartamenti per la famiglia
15	SP1	27.645	31.74	4.095	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0, 	13	un po' che danno un po' di person[e (.) c]he: dopo fanno la storia	un po' che danno un po' di person[e {P} c]he: dopo fanno la storia	un po' che danno un po' di persone {P} che dopo fanno la storia
16	SP2	29.593	29.969	0.376	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	[mhmh]	[mhmh]	mhmh
17	SP1	31.897	32.373	0.476	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	[allora]	[allora]	allora
18	SP2	31.899	32.381	0.482	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	[mhmh]	[mhmh]	mhmh
19	SP1	32.612	34.745	2.133	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	5	per pochi che: tutti quanti:	per pochi che: tutti quanti:	per pochi che tutti quanti
20	SP2	35.596	41.038	5.442	True	0	0	0	0	0	0	0	1	False	False	False	False	False	_	2	0	0, 	18	sì sì sì c[erto] ca[pito] (.) mh e ma se (.) se potessi un giorno vorresti vivere in citt[à o,]	sì sì sì c[erto] ca[pito] {P} mh e ma se {P} se potessi un giorno vorresti vivere in citt[à o],	sì sì sì certo capito {P} mh e ma se {P} se potessi un giorno vorresti vivere in città o
21	SP1	36.086	36.326	0.24	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	[mh]	[mh]	mh
22	SP1	36.5600000000001	36.72	0.16	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	[mh]	[mh]	mh
