Transcript_ID	num_speakers	transcribed_minutes	num_total_tokens	num_linguistic_tokens	num_metaling_tokens	num_shortpauses	num_unknown	num_errors	num_overlaps	num_intonation_patterns	num_low_volume_spans	num_guessing_spans	num_fast_pace_spans	num_slow_pace_spans	num_prolongations	annotator	reviewer	transcription_type	expertise	accuracy	minutes_experience	sec30	sec60	sec90	sec120	sec_assignment	num_tu::0	num_tu::1	num_tu::2	num_tu::3	num_tu::4	num_tu::5	num_tu::6	num_tu::7	num_tu::8	num_tu::9	num_tu::10	tokens_per_minute::0	tokens_per_minute::1	tokens_per_minute::2	tokens_per_minute::3	tokens_per_minute::4	tokens_per_minute::5	tokens_per_minute::6	tokens_per_minute::7	tokens_per_minute::8	tokens_per_minute::9	tokens_per_minute::10	avg_duration_per_min::0	avg_duration_per_min::1	avg_duration_per_min::2	avg_duration_per_min::3	avg_duration_per_min::4	avg_duration_per_min::5	avg_duration_per_min::6	avg_duration_per_min::7	avg_duration_per_min::8	avg_duration_per_min::9	avg_duration_per_min::10	avg_tokens_per_min::0	avg_tokens_per_min::1	avg_tokens_per_min::2	avg_tokens_per_min::3	avg_tokens_per_min::4	avg_tokens_per_min::5	avg_tokens_per_min::6	avg_tokens_per_min::7	avg_tokens_per_min::8	avg_tokens_per_min::9	avg_tokens_per_min::10
03_StraParlaC_whi	3	4.301599999999997	718	694	6	15	3	0	106	6	5	2	2	3	30		Eleonora	Revised	-	-	-	-	-	-	-	-	27	48	75	106	0	0	0	0	0	0	0	144	325	530	718	0	0	0	0	0	0	0	2.1651481481481483	2.5228333333333337	2.5582266666666658	2.4348679245283003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.333333333333333	6.770833333333333	7.066666666666666	6.773584905660377	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01_StraParlaA_I	2	5.426966666666667	930	876	5	42	6	1	132	54	14	26	3	1	47	I	-	From-Scratch	sì			71	133	206	290	-	33	67	93	122	145	0	0	0	0	0	0	169	358	555	759	930	0	0	0	0	0	0	1.7748484848484847	1.9168656716417911	2.0976236559139787	2.171959016393443	2.245641379310345	0.0	0.0	0.0	0.0	0.0	0.0	5.121212121212121	5.343283582089552	5.967741935483871	6.221311475409836	6.413793103448276	0.0	0.0	0.0	0.0	0.0	0.0
02_StraParlaA_V	2	4.237666666666667	789	757	4	25	2	1	50	10	5	3	1	0	14	V	-	Whisper-Assisted	no			69	149	217	251	708	18	40	69	90	99	0	0	0	0	0	0	163	357	546	742	789	0	0	0	0	0	0	2.875111111111112	2.9559750000000005	2.5645362318840577	2.6343666666666667	2.568282828282828	0.0	0.0	0.0	0.0	0.0	0.0	9.055555555555555	8.925	7.913043478260869	8.244444444444444	7.96969696969697	0.0	0.0	0.0	0.0	0.0	0.0
02_StraParlaA_A	2	4.038000000000002	792	756	1	34	1	0	104	6	6	2	0	4	18	A	-	Whisper-Assisted	sì			60	129	193	232	643	26	58	91	121	0	0	0	0	0	0	0	182	395	601	792	0	0	0	0	0	0	0	2.0735	2.071534482758621	2.002164835164836	2.002314049586778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	6.810344827586207	6.604395604395604	6.545454545454546	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01_ParlaBOA_M	2	3.3399499999999995	602	586	7	6	3	0	52	8	3	5	3	6	71	M	-	From-Scratch	no			48	90	149	212	-	29	56	79	89	0	0	0	0	0	0	0	165	350	522	602	0	0	0	0	0	0	0	1.9391034482758625	2.0794285714285707	2.1792784810126578	2.251651685393258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.689655172413793	6.25	6.6075949367088604	6.764044943820225	0.0	0.0	0.0	0.0	0.0	0.0	0.0
03_ParlaBOA	2	8.282716666666664	1448	1433	12	0	3	0	128	8	7	15	10	0	86	esterno	?	Revised	-	-	-	-	-	-	-	-	28	61	92	119	150	184	218	249	261	0	0	167	350	516	668	843	1056	1220	1376	1448	0	0	2.157642857142857	2.0177540983606557	1.9446521739130436	1.9607647058823532	1.9476933333333333	1.9358369565217388	1.8981009174311925	1.8930160642570275	1.9040727969348652	0.0	0.0	5.964285714285714	5.737704918032787	5.608695652173913	5.61344537815126	5.62	5.739130434782608	5.5963302752293576	5.526104417670683	5.547892720306513	0.0	0.0
03_StraParlaB_whi	2	6.938883333333333	1223	1199	5	17	2	0	154	7	9	5	0	1	58	O	Eleonora	Revised	-	-	-	-	-	-	-	-	17	47	77	100	123	144	168	0	0	0	0	162	369	542	724	899	1057	1223	0	0	0	0	3.061	2.6460212765957443	2.3885194805194803	2.4931899999999994	2.4842601626016254	2.520444444444444	2.4781726190476188	0.0	0.0	0.0	0.0	9.529411764705882	7.851063829787234	7.038961038961039	7.24	7.308943089430894	7.340277777777778	7.279761904761905	0.0	0.0	0.0	0.0
01_StraParlaA_L	2	2.7967166666666676	522	512	2	8	0	0	52	26	6	2	1	0	20	L	-	From-Scratch	no			41	79	130	175	-	29	70	103	0	0	0	0	0	0	0	0	170	349	522	0	0	0	0	0	0	0	0	1.8467241379310344	1.630742857142857	1.6291553398058258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.862068965517241	4.985714285714286	5.067961165048544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
03_ParlaBOB	2	9.859083333333334	1719	1688	27	0	4	0	144	5	6	5	8	0	82	esterno	?	Revised	-	-	-	-	-	-	-	-	32	63	89	120	156	191	227	260	292	326	330	152	327	472	613	804	990	1182	1361	1536	1702	1719	1.71184375	1.7712539682539685	1.8590449438202252	1.8299416666666666	1.7878141025641026	1.7831047120418853	1.7818193832599127	1.7912653846153856	1.799787671232877	1.797365030674847	1.7925606060606063	4.75	5.190476190476191	5.303370786516854	5.108333333333333	5.153846153846154	5.183246073298429	5.20704845814978	5.234615384615385	5.260273972602739	5.220858895705521	5.209090909090909
01_PastiB_V	3	3.2131666666666674	634	597	7	18	10	2	50	13	5	7	4	3	19	V	-	From-Scratch	no			53	73	138	185	-	21	42	66	69	0	0	0	0	0	0	0	166	421	623	634	0	0	0	0	0	0	0	2.8342380952380957	2.9717857142857147	2.866666666666667	2.7940579710144933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.904761904761905	10.023809523809524	9.43939393939394	9.18840579710145	0.0	0.0	0.0	0.0	0.0	0.0	0.0
